file;xml_id;form;vers;action;review_grund;geaendert;alt_pos;neu_pos;alt_lemmaRef;neu_lemmaRef;alt_corresp;neu_corresp;verdict_lemma;verdict_pos;confidence;begruendung;kontext;vorgaenger_pos;schwer;pruefung;anmerkung
FDS.tei.xml;FDS_201005_2;stat;5;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'fuer die stat verre uf daz velt': Praeposition mit Artikel, Ortsangabe.;"alzehant ich slahen bat / für die **stat** verre uf daz velt / wol zehen hütte und ein gezelt ;";ART;nein;;
FD.tei.xml;FD_18601_3;stat;1;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'geherberget in die stat', Ortsangabe mit Artikel.;daz man dâ waere gezogenlîch / geherberget in die **stat** / wart ieslîch fürst reht als er bat;ART;nein;;
HMT.tei.xml;HMT_14100_6;stat;;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;Attributive Adjektive 'grozziu mehtigiu' vor dem Wort.;zu den zeiten diu haptstat dez lands , diu hiezz jaconites , ain grozziu mehtigiu **stat** , mit schönen muren , und hochen turn usswendig wol geziert . und innerhalb waz;ADJ;nein;;
HMT.tei.xml;HMT_38290_12;stat;;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;Attributkette 'ain grozz mähtig fest stat', Objekt zu 'haund'.;getaun haund . ir sächend und wizzend wol , daz wir ain grozz mähtig fest **stat** haund , so sei wir auch wol bewärt mit grozzem mänlichem ritterlichem volk , darzu;ADJ;nein;;
HTR.tei.xml;HTR_226610_5;stat;22661;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'die jungelinge in der stat': Praeposition plus Artikel, Stadt.;und wie ez im dar nâch ergienc : / alle die jungelinge in der **stat** / riten gegen im an daz pfat ,;ART;nein;;
JEW.tei.xml;JEW_1057900000_6;stat;10579;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'komen an dis stat' mit Demonstrativ, Richtungsangabe zum Verb 'komen'.;gewurr dir iht , daz wær mir leit . / dû bist mir komen an dis **stat** , / mîn lant dîn michel êr hât . >;DET;nein;;
JEW.tei.xml;JEW_2226300000_4;stat;22263;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'stiftet ein stat': unbestimmter Artikel, Objekt zu 'stiftet'.;daz sagt uns daz buoch für wâr . / der herr stiftet ein **stat** , / diu iezunt vil gewaltes hât .;;ja;;
JUD.tei.xml;JUD_784_3;stat;784;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'di stat riche' als Objekt zu 'wolden gewinnen', Artikel und Adjektiv.;sî garten sich alle gelîche , / sî wolden dî **stat** rîche / sâ gewinnen;ART;nein;;
MAI.tei.xml;MAI_66330_4;stat;6633;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_5710;;variants.xml#type_20050;lemma_5710;VRB;high;'waz an disem brief stat': Verbletztstellung im indirekten Fragesatz.;si sprachen : < herre , nu nempt war , / waz an disem brief **stat** / vnd wie er vns enboten hat .;NOM;ja;;
MAI.tei.xml;MAI_74520_1;stat;7452;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_5710;;variants.xml#type_20050;lemma_5710;VRB;high;'so stat ouch din chrone als eben': Verbzweitstellung mit Subjekt chrone.;do du hinne fuer mit chlage . / so **stat** ouch din chrone / als eben vnd als schone ,;ADV;ja;;
OVG.tei.xml;OVG_2010400_4;stat;20104;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;Artikel 'die', Akkusativobjekt zu 'rûmt': er räumt die Stadt.;des er si gefrâget hât . / allerêrst rûmt er die **stat** / und underwint sich schier;ART;nein;;
OVG.tei.xml;OVG_3103200_2;stat;31032;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;wart diu stat des guotes lære: Artikel plus Nominativsubjekt.;in einer kurzen frist / wart diu **stat** des guotes lære . / swie vil der ungenâden wære ,;ART;nein;;
OVG.tei.xml;OVG_5065300_2;stat;50653;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;"'in der stat wart', Präposition mit Artikel; Subjekt ist 'ein widerstôz'.";daz ein widerstôz / in der **stat** wart , / daz si die durchvart;ART;nein;;
OVG.tei.xml;OVG_647700_2;stat;6477;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'an dheiner stat' (an keiner Stelle) mit negativem Determinativ.;was zwischen im und kunic wêlân , / an dheiner **stat** wold er den hân / mit werken übertreten ,;ADJ NEG;nein;;
OVG.tei.xml;OVG_6510800_4;stat;65108;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'für die stat': Praeposition mit Artikel.;unde mit dem kunic giengen / und beleiten für die **stat** . / daz geschach , als er bat .;ART;nein;;
OVG.tei.xml;OVG_7546600_3;stat;75466;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'in al der stat ze paris': Praeposition mit Determinativ und Artikel.;beide en und dis / in al der **stat** ze paris , / mit grôzer schoenheit;ART;nein;;
OVG.tei.xml;OVG_8071000_3;stat;80710;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;Apposition mit Artikel: 'fuer oven die stat'.;und der unger vil , die mit im wârn , / für oven die **stat** / und vordert an die drât;ART;nein;;
PL1.tei.xml;PL1_110731_6;stat;;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'alle die innen der stat waren', Praeposition mit Artikel, Stadt.;und gestat nicht das ymant mit im ritte . phariens und alle die innen der **stat** waren machten großen jamer . die statt wart vol geschreys und jamers . lambegus kam;ART;nein;;
PL1.tei.xml;PL1_149723_3;stat;;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'an keiner stat' mit Negationsdeterminativ.;gefraget , ich wil yn uch sagen , wann er nie verholn wart an keiner **stat** da ich darumb gefraget wart : man heißt mich gawan des koniges neve . >;ADJ NEG;nein;;
PL3.tei.xml;PL3_355611_2;stat;;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;Akkusativobjekt mit Artikel nach Praeposition: 'flohen in die stat'.;und von allen den achczigen entgingen nye me wann dry , die flohen in die **stat** , und der was morderet eyner , und die andern zwen waren gesellen von der;ART;nein;;
PL3.tei.xml;PL3_356411_16;stat;;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'tragen in die stat': Akkusativ mit Artikel nach Praeposition.;yn hett thun legen off synen schilt , da det er yn tragen in die **stat** . darnach ging er suchen ob er syner fründe keynen mer enfünde . da sah;ART;nein;;
PL3.tei.xml;PL3_357012_8;stat;;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'in der stat zu kamlot': Ortsangabe mit Artikel und Stadtnamen.;wort gesprach noch gut noch böse . des nachtes was so groß betrubkeyt in der **stat** zu kamlot das nyman darinn was , er were sere betrübet und schru recht sere;ART;nein;;
RF.tei.xml;RF_140700_4;stat;1407;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;"'hie ane stat' = an dieser Stelle, Praeposition regiert; finites Verb ist 'hvete'.";daz er hvete des zageles sin / vor vch hie ane **stat** , / daz was reinhartes rat .;;ja;;
ROL.tei.xml;ROL_1043_3;stat;1043;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_5710;;variants.xml#type_20050;lemma_5710;VRB;high;Subjekt folgt im naechsten Vers ('beidu wistum un rat'), 'in sinem gnaden' ist Ortsangabe.;geuallez minem herren . / in sinem gnaden **stat** / beidu wistum un rat;NOM;ja;;
ROT.tei.xml;ROT_14420_3;stat;1442;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'den man inder stat vinde' - Praeposition mit Artikel, Verb ist 'vinde'.;daz her den bestin hof gewinne . / den man inder **stat** vinde . / in trowen sprach asprian .;;ja;;
SFE.tei.xml;SFE_12400_1;stat;1240;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_5710;;variants.xml#type_20050;lemma_5710;VRB;high;'er stat gezieret obene': Pronominalsubjekt in Verbzweitstellung mit Praedikativ.;"der ast ist wol ze lobene , / er **stat** gezieret obene / mit zwien wol geloubet ;";;ja;;
SFL.tei.xml;SFL_37760_2;stat;3776;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'êret dise stat': Akkusativobjekt mit Demonstrativ.;mîniu vil liebiu kint , durh daz / êret dise **stat** deste baz / mit gotes dienst an allen dingen ,;DET;nein;;
TAN.tei.xml;TAN_7450_2;stat;745;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'an keiner stat' mit Praeposition und flektiertem Indefinitum.;wan si ir zühte nie vergaz / an keiner **stat** , swie ez ergie . / ouch gelie si daz nie ,;ADJ NEG;nein;;
TRO.tei.xml;TRO_17523_5;stat;17523;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'in der stat' nach dem finiten Verb 'stuont': Praepositionalphrase.;der palas hôhe was erhaben / und stuont enmitten in der **stat** , / als in der künic setzen bat;ART;nein;;
TRO.tei.xml;TRO_25020_4;stat;25020;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'in sîne stat' mit Praeposition und Possessiv, Ziel zu 'genomen'.;die zuo der veste wâren komen . / er het in sîne **stat** genomen / von ritterschefte manger schar .;POS;nein;;
TRO.tei.xml;TRO_44914_2;stat;44914;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'gegen der stat' mit Praeposition und Artikel im Dativ.;zogeten si schôn über velt / gegen der **stat** . ûf strîtes gelt / bereiten ouch troiaere ir schar .;ART;nein;;
TRY.tei.xml;TRY_14971_4;stat;14971;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'in die stat' als Richtungsangabe zu 'senden'.;im die kuneginne / wolde senden in die **stat** / er hette sie gerne bestat;ART;nein;;
TRY.tei.xml;TRY_15927_3;stat;15927;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;Formel 'stat und lant' als Objekt zu 'ane gwn' (abgewinnen).;crises eine list vant / da mit er **stat** und lant / den von troyge ane gwn;PRO;nein;;
TR.tei.xml;TR_16955_5;stat;16955;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_5710;;variants.xml#type_20050;lemma_5710;VRB;high;Nebensatz mit Subjekt 'daz werc', Adverb 'da', Reim auf 'gat': steht.;und schouwen oben an daz werc , / daz an ir tugenden da **stat** , / daz von ir lobe her nider gat ,;ADV CNJ;ja;;
VER.tei.xml;VER_4470_6;stat;447;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'giengen si predigen in der stat': Praeposition plus Artikel, Stadt.;des mothen si sich sint gibagen , / do giengen si predigen in der **stat** . / unde wi sich der engel hadthe gisat ,;ART;nein;;
WGA.tei.xml;WGA_187200_3;stat;1872;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;Erstes Glied von 'von stat ze stat jeit', Praeposition regiert das Substantiv.;"waz im werr ; wizzt daz er treit / daz in von **stat** ze stat jeit . / unstæte versuochet vil der spîse";PRP;nein;;
WGL.tei.xml;WGL_110780_5;stat;11078;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;"Praeposition plus Artikel: 'ûz der stat'; Praedikat ist 'huop sich'.";"iedoch zoumt er lîônen dan . / dô huop sich ûz der **stat** sân / ze helfe im gar des vürsten kraft ;";ART;nein;;
WH.tei.xml;WH_11409_3;stat;9;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'diu stat' als Subjekt mit Artikel, Praedikat 'laster han'.;die sturmglocke man do zoch . / es solt diu **stat** laster han , / daz si gein dem einen man;ART;nein;;
