file;xml_id;form;vers;action;review_grund;geaendert;alt_pos;neu_pos;alt_lemmaRef;neu_lemmaRef;alt_corresp;neu_corresp;verdict_lemma;verdict_pos;confidence;begruendung;kontext;vorgaenger_pos;schwer;pruefung;anmerkung
OVG.tei.xml;OVG_9089300_5;stat;90893;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;"'an sîn stat' mit Possessiv; finites Verb ist 'gie'.";dâmit schiet ir sweher hin . / nû gie wider an sîn **stat** / der bischolf kuonrât;;ja;;
OVW.tei.xml;OVW_1039010020_1;stat;2;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'an stat, der alle ding vermag': Fuegung 'an stat' (anstelle dessen).;mein sünd und schuld eu priester klag / an **stat** , der alle ding vermag , / grob , lauter , schamrot , forchtlich das sag;;ja;;
PL1.tei.xml;PL1_149611_0;stat;;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;Genitivattribut 'an myner frauwen stat' = anstelle meiner Herrin.;> , sprach sie , < und wart sie bi uch geleit an myner frauwen **stat** . myn frau wart ferre in einen walt gefurt , da man ir ir heubt;NOM;ja;;
PL1.tei.xml;PL1_152033_12;stat;;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;Genitivattribut 'an eins ... mannes stat', Bedeutung anstelle eines Mannes.;must werden nach dem tag das er úmmer kron trúge an eins so biederben mannes **stat** als der konig artus were , und begund ußermaßen sere weynen und großen jamer machen;NOM;ja;;
PL3.tei.xml;PL3_300816_2;stat;;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'ging siczen an syn stat': Possessiv, der Platz bei Tisch.;dem essen und ging siczen zu dem essen , und yglicher ging siczen an syn **stat** . desselben tages dienten zu tische vier gekrönte konig und mit yn als vil hoher;;ja;;
PZ.tei.xml;PZ_24123_5;stat;23;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'hât dâ ninder stat': Objekt der Fuegung 'stat haben' (keinen Platz haben).;des in durch nôt verdriuzet / wan daz hât dâ ninder **stat** / und vil gerûmeclîchen phat;ADV NEG;ja;;
PZ.tei.xml;PZ_73413_5;stat;13;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'unz an ir lônes stat': Praeposition plus Genitivattribut lônes.;ir kiuschen wîplîchen sin / behielt unz an ir lônes **stat** , / dâ si in hôhe saelde trat :;NOM;ja;;
REN.tei.xml;REN_155850_5;stat;15585;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_5710;;variants.xml#type_20050;lemma_5710;VRB;high;Subjekt 'min herze' plus 'da gein': wie mein Herz dagegen steht.;vil wol dir bekennet ist / wie da gein min herze **stat** . / wol mich was ez nu vraeude hat ,;NOM;ja;;
REN.tei.xml;REN_241310_4;stat;24131;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;Genitivattribut 'des meres stat' nach 'braht an': an die Stelle des Meeres.;gar die lebenden wunden / braht an des meres **stat** . / sine artzet er mit vlize bat;NOM;ja;;
REN.tei.xml;REN_42440_3;stat;4244;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_5710;;variants.xml#type_20050;lemma_5710;VRB;high;'wie stat min muot': Verb vor dem Subjekt im indirekten Fragesatz.;daz ir mit ein ander tuet ? / wistet ir wie **stat** min muot , / ir stritet nit umme minen lip .;ADV IPA;ja;;
RF.tei.xml;RF_185100_11;stat;1851;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_5710;;variants.xml#type_20050;lemma_5710;VRB;high;Subjekt 'er' unmittelbar davor: 'sehet, wie er stat' = wie er steht.;< er hat ovch mir leide getan . > / dieprecht sprach : < herre kvnic , sehet , wie er **stat** , / der vch vil lasters erboten hat .;;ja;;
ROT.tei.xml;ROT_14420_3;stat;1442;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'den man inder stat vinde' - Praeposition mit Artikel, Verb ist 'vinde'.;daz her den bestin hof gewinne . / den man inder **stat** vinde . / in trowen sprach asprian .;;ja;;
ROT.tei.xml;ROT_40490_1;stat;4049;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_5710;;variants.xml#type_20050;lemma_5710;VRB;high;'nu stat her gevangin': Verbzweitstellung mit nachgestelltem Subjekt 'her'.;rotheren vzen bandin . / nu **stat** her gevangin . / vnde wirt her hude gehangin .;ADV CNJ;ja;;
RVBR.tei.xml;RVBR_1692_6;stât;1692;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_5710;;variants.xml#type_20048;lemma_5710;VRB;high;'sît al mîn leben an dir stât': Subjekt 'leben' plus Praepositionalergaenzung.;troest und hilf und gib mir rât , / sît al mîn leben an dir **stât** . > / alsus was ir gedenken .;;ja;;
RVBR.tei.xml;RVBR_19318_4;stât;19318;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_5710;;variants.xml#type_20048;lemma_5710;VRB;high;Koordiniert mit 'loufet', Subjekt 'daz volc': läuft und steht.;niht wan ûf eime beine / daz volc loufet unde **stât** . / vornen an der stirne hât;;ja;;
RVBR.tei.xml;RVBR_27353_6;stât;27353;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_5710;;variants.xml#type_20048;lemma_5710;VRB;high;'denn der dâ stât': Relativsatz mit Subjekt 'der' und Adverb 'dâ', Verb.;umb boesez guot , der selbe hât / mit unreht mê denn der dâ **stât** / und nienâ mac entwenken .;ADV CNJ;ja;;
RVBR.tei.xml;RVBR_3072_5;stât;3072;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_5710;;variants.xml#type_20048;lemma_5710;VRB;high;'der ûzern alsô vil dâ stât': Subjekt 'vil' mit Genitiv, Adverb 'dâ'.;und dringent vast an der getât . / der ûzern alsô vil dâ **stât** / daz jene belîbent dinne .;ADV CNJ;ja;;
RVBR.tei.xml;RVBR_5863_4;stât;5863;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_5710;;variants.xml#type_20048;lemma_5710;VRB;high;Subjekt 'ir wille' unmittelbar davor, Negation 'niht sô'.;ob sî trôst an mir begât ? / nein , ir wille **stât** niht sô . / ich muoz leider sus unfrô;;ja;;
SAL.tei.xml;SAL_256010_7;stat;1;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'inn die heubt stat': Kompositum Hauptstadt mit Artikel nach Präposition.;es were breit oder smale . / ich kam zu gilest inn die heubt **stat** , / da die sunne ir gesidel hat .;NOM;ja;;
SFL.tei.xml;SFL_13450_6;stat;1345;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;'an ein stat' mit unbestimmtem Artikel als Ort des Zusammenfuehrens.;sant francisk got erbat , / daz er si samte an ein **stat** . / mit fröuden sie einander sâhen ,;;ja;;
TR.tei.xml;TR_1208_3;stat;1208;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_5710;;variants.xml#type_20050;lemma_5710;VRB;high;'den ir dinc stat, als ez ir stuont': Subjekt 'dinc', Parallele zum Praeteritum 'stuont'.;als si ie taten und noch tuont , / den ir dinc **stat** , als ez ir stuont : / ir ougen über wielen ,;NOM;ja;;
TR.tei.xml;TR_8178_3;stat;8178;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_5710;;variants.xml#type_20050;lemma_5710;VRB;high;'min dinc stat also dar': Subjekt plus Adverbien, Praedikat des Nebensatzes.;daz ich wider ze lande var , / wan min dinc **stat** also dar , / daz ich langer niht beliben kan . >;NOM;ja;;
WGM.tei.xml;WGM_56540_2;stat;5654;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_5710;;variants.xml#type_20050;lemma_5710;VRB;high;Subjekt 'ain burg' plus Ortsadverb 'nahent hie': eine Burg steht nahe.;"sprach der kunig von lendrie , - / ain burg **stat** nahent hie , / da wil ich ein reytten ;";NOM;ja;;
WH.tei.xml;WH_9713_3;stat;13;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;Akkusativobjekt zu 'gap' neben Dativ 'ieslichem künege': Platz geben.;fabors , terramers sun , / gap ieslichem künege **stat** / als in sin vater ligen bat .;NOM;ja;;
WRW.tei.xml;WRW_7675000_3;stat;7675;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_5732;;variants.xml#type_20161;lemma_5732;NOM;high;Staedtekatalog: 'meichsen ist ein stat allain', Praedikatsnomen mit Artikel.;halberstat daz stet in sachsen . / meichsen ist ein **stat** allain / und hat ein march für sich gemain .;;ja;;
