file;xml_id;form;normalisiert;action;review_grund;neu_lemmaRef;neu_pos;regel;regel_text;konfidenz;beleg;ziel_lemma_form;lemma_kandidaten;lemma_pos_alle;vers;umfeld
WZB.tei.xml;WZB_127rb_15_6;bŏsen;boesen;ANNOTATE;;lexicon.xml#lemma_788;ADJ;R1;Adjektiv mit Bezugsnomen in der Phrase oder als Praedikat;hoch;die bŏsen tir die wilden;bœse;lemma_788;ADJ ADV GRA NOM;Und fried wil ich euch geben in ewern creissen Und werdet slafen vnd keiner ist der euch wirt erschrecken Uortilgen wil ich die **bŏsen** tir die wilden Und meyn swert wirt nicht durch ewer creisse;Uortilgen wil ich die **bŏsen** tir die wilden Und
WZB.tei.xml;WZB_127vb_5_0;Ŭmme;uemme;ANNOTATE;;lexicon.xml#lemma_6422;PRP;R7;Praeposition mit Rektion;hoch;Ŭmme sust, dieselbe Wendung im Bestand 5 mal PRP und 0 mal ADV;umbe;lemma_6422;ADV PRP;Und ich wil ouch euch das tvn Besuchen wil ich euch endlich in hunger vnd in durste die ewer ougen wirt vorterben vnd wirt ewer selen vorczern **Ŭmme** sust werdet ir seen ewren samen der von den veinden wirt gevressen;wirt ewer selen vorczern **Ŭmme** sust werdet ir seen
WZB.tei.xml;WZB_129ra_15_6;vŏr;voer;ANNOTATE;;lexicon.xml#lemma_7194;PRP;R7;Praeposition mit Rektion;hoch;vŏr das knechtil, rechts Nominalphrase;vor;lemma_7194;ADV GRA PRP;Von einem mened vncz bis zu dem funften iare **vŏr** das knechtil werden gegeben funf scot vor das meidil drei;zu dem funften iare **vŏr** das knechtil werden gegeben
WZB.tei.xml;WZB_130ra_15_5;pŏse;poese;ANNOTATE;;lexicon.xml#lemma_788;NOM;R2;Substantivierung: besetzt die Nominalstelle selbst;hoch;noch das gute noch das pŏse;bœse;lemma_788;ADJ ADV GRA NOM;Nicht schol man ous lesen noch das gute noch das **pŏse** noch mit einem andern vor wechselt Und das das do vorwechsilt ist das wirt geheiligt vnserm herren vnd wirt es nicht geloset;das gute noch das **pŏse** noch mit einem andern
WZB.tei.xml;WZB_136vb_22_2;ŏsterlichen;oesterlichen;ANNOTATE;;lexicon.xml#lemma_4451;ADJ;R1;Adjektiv mit Bezugsnomen in der Phrase oder als Praedikat;hoch;mit ŏsterlichen broten;ôsterlîche;lemma_4451;ADJ ADV;Und eynen korp mit **ŏsterlichen** broten die do besprenget sint mit ŏle vnd vngesowerte vladen gesalbet mit ŏle vnd yclicher opfer speise;Und eynen korp mit **ŏsterlichen** broten die do besprenget
WZB.tei.xml;WZB_137ra_29_4;tŭ;tue;ANNOTATE;;lexicon.xml#lemma_6301;VRB;R4;Vollverb;hoch;also tŭ her, 3. Sg. Konj., sic faciet;tuon;lemma_6301;NOM VRB;Das ist die e des nazareers so her gelobt sein opfer vnserm herren zu der czeit seiner heiligunge ousgenomenlich die das do vinden mag sein noch dem vnd her mit dem herczen gelobet hat also **tŭ** her zu der volkvmenheit seiner heiligunge;herczen gelobet hat also **tŭ** her zu der volkvmenheit
WZB.tei.xml;WZB_137vb_12_4;mŏrser;moerser;ANNOTATE;;lexicon.xml#lemma_26724;NOM;R9;Substantiv;hoch;einen guldein mŏrser von czehen scoten;morsære;lemma_26724;NOM VRB;Einen guldein **mŏrser** von czehen scoten voller weihrouches;der heilikeit Einen guldein **mŏrser** von czehen scoten voller
WZB.tei.xml;WZB_13ra_32_4;hŏhsten;hoehsten;ANNOTATE;;lexicon.xml#lemma_2866;ADJ;R1;Adjektiv mit Bezugsnomen in der Phrase oder als Praedikat;hoch;priester des hŏhsten gotis;hôch;lemma_2866;ADJ ADV GRA NOM;Und vorwar der kvnic von brachte brot vnd wein wenne er was priester des **hŏhsten** gotis;er was priester des **hŏhsten** gotis vnd gesegent im
WZB.tei.xml;WZB_13ra_35_0;hŏhsten;hoehsten;ANNOTATE;;lexicon.xml#lemma_2866;ADJ;R1;Adjektiv mit Bezugsnomen in der Phrase oder als Praedikat;hoch;von dem hŏhsten gote;hôch;lemma_2866;ADJ ADV GRA NOM;vnd gesegent im vnd sprach Gesegent sei von dem **hŏhsten** gote der do hat geschep ESIS fet himel vnd erden;Gesegent sei von dem **hŏhsten** gote der do hat
WZB.tei.xml;WZB_13rb_3_2;hŏchste;hoechste;ANNOTATE;;lexicon.xml#lemma_2866;NOM;R2;Substantivierung: besetzt die Nominalstelle selbst;hoch;gesegent sei der hŏchste;hôch;lemma_2866;ADJ ADV GRA NOM;Und gesegent sei der **hŏchste** der do beschirmet wenne die veinde sint in deiner hant Und gab im den czehenden aus allem dem das er hett;Und gesegent sei der **hŏchste** der do beschirmet wenne
WZB.tei.xml;WZB_144ra_8_3;pŏsem;poesem;ANNOTATE;;lexicon.xml#lemma_788;NOM;R2;Substantivierung: besetzt die Nominalstelle selbst;hoch;mit also vil pŏsem;bœse;lemma_788;ADJ ADV GRA NOM;Ist aber das dich das anders dvncket so bite ich das du mich vorterbest vnd vinde gnad in deinen ougen das ich mit also vil **pŏsem** icht werde gepeinigt;ich mit also vil **pŏsem** icht werde gepeinigt Und
WZB.tei.xml;WZB_145ra_34_8;Hŏret;hoeret;ANNOTATE;;lexicon.xml#lemma_2885;VRB;R4;Vollverb;hoch;Hŏret meine rede, Imperativ;hœren;lemma_2885;INJ NOM VRB;do sprach her zu in **Hŏret** ERI meine rede Welcher do ist vnder euch ein prophet des herren in gesichte erscheine ich ym oder durch trevme rede ich zu im;sprach her zu in **Hŏret** ERI meine rede Welcher
WZB.tei.xml;WZB_145va_5_0;tŏrlichen;toerlichen;ANNOTATE;;lexicon.xml#lemma_6117;ADV;R3;modifiziert ein Verb oder ein Adjektiv;hoch;die svnde di wir tŏrlichen habn begangen;tôrlich;lemma_6117;ADJ ADV GRA;do sprach her zu Ich bite dich mein herre nicht sache vns zu die svnde di wir **tŏrlichen** habn begangen;die svnde di wir **tŏrlichen** habn begangen das icht
WZB.tei.xml;WZB_148va_2_2;sŭzem;suezem;ANNOTATE;;lexicon.xml#lemma_5864;ADJ;R1;Adjektiv mit Bezugsnomen in der Phrase oder als Praedikat;hoch;zu einem sŭzem ruche;süeʒe;lemma_5864;ADJ ADV GRA NOM;vnd opfer wein des dritteils der selben mas sol her opfern thoho bz de e NUM zu einem **sŭzem** ruche vnserm herren;e NUM zu einem **sŭzem** ruche vnserm herren Wenne
WZB.tei.xml;WZB_149vb_17_7;tŏttest;toettest;ANNOTATE;;lexicon.xml#lemma_6133;VRB;R4;Vollverb;hoch;das du vns tŏttest in der wŭstenunge;tœten;lemma_6133;NOM VRB;Ist nv dir das ein cleines das du vns ousgefurt hast von der erden die do vleuset mit milch vnd mit honigseim so das du vns **tŏttest** in der wŭstenunge vnd wurdest vber vns herschen NUM;so das du vns **tŏttest** in der wŭstenunge vnd
WZB.tei.xml;WZB_14va_13_4;grŏslich;groeslich;ANNOTATE;;lexicon.xml#lemma_2536;ADV;R3;modifiziert ein Verb oder ein Adjektiv;hoch;machen dich wachsende grŏslich;grôzlich;lemma_2536;ADJ ADV;Und ich wil machen dich wachsende **grŏslich** vnd wil dich seczen in ge slechte vnd kunige werden aus dir kvmen;wil machen dich wachsende **grŏslich** vnd wil dich seczen
WZB.tei.xml;WZB_153ra_35_4;tŏte;toete;ANNOTATE;;lexicon.xml#lemma_6133;VRB;R4;Vollverb;hoch;vnd tŏte die in alles volkes angesicht;tœten;lemma_6133;NOM VRB;"vnd gib die dem priester; der fure sie ous den purgen vnd **tŏte** die in alles volkes angesicht";ous den purgen vnd **tŏte** die in alles volkes
WZB.tei.xml;WZB_153ra_6_9;schŏnste;schoenste;ANNOTATE;;lexicon.xml#lemma_5280;NOM;R2;Substantivierung: besetzt die Nominalstelle selbst;hoch;das schŏnste vnd das peste;schœne;lemma_5280;ADJ ADV GRA NOM;vnd sprich zu in Ist das ir das **schŏnste** vnd das peste opfert ous des czehenden wirt es euch geachtet recht sam ir von den tennen vnd von den pressen hett gegeben erstlinge;Ist das ir das **schŏnste** vnd das peste opfert
WZB.tei.xml;WZB_153va_5_4;schŭten;schueten;ANNOTATE;;lexicon.xml#lemma_5328;VRB;R4;Vollverb;hoch;sol sie schŭten ouserhalb den purgen;schüten;lemma_5328;NOM VRB;Aber zu samen sol clouben ein reiner man die aschen von der ku vnd sol sie **schŭten** ouserhalb den purgen an ein gar reine stat so das sie sint der menige in ein hute vnd in ein sprengwasser Wenne vmme die svnde ist die ku vorbrant;ku vnd sol sie **schŭten** ouserhalb den purgen an
WZB.tei.xml;WZB_154rb_4_2;pŏse;poese;ANNOTATE;;lexicon.xml#lemma_788;ADJ;R1;Adjektiv mit Bezugsnomen in der Phrase oder als Praedikat;hoch;die pŏse stat;bœse;lemma_788;ADJ ADV GRA NOM;"Worvmme habt ir ERI vns heissen ouf czihen von vnd habt vns gefurt an die **pŏse** stat die man nicht geern mag; die wedir veigen gepirt noch wein noch granat ŏpfel vnd vberal nicht wassers hat zu trinken";vns gefurt an die **pŏse** stat die man nicht
WZB.tei.xml;WZB_154va_17_4;mŭge;muege;ANNOTATE;;lexicon.xml#lemma_4240;VEM;R5;Modalverb mit abhaengigem Infinitiv;hoch;mŭge wir euch ousgefuren wasser;mügen;lemma_4240;VEM VRB;vnd sammete die menige vor den stein vnd sprach zu in Horet ir wider krigenden vnd ir vngeloubigen wenne ous dem steine **mŭge** wir euch ousgefuren wasser;wenne ous dem steine **mŭge** wir euch ousgefuren wasser
WZB.tei.xml;WZB_155vb_8_0;stŭrben;stuerben;ANNOTATE;;lexicon.xml#lemma_5752;VRB;R4;Vollverb;hoch;so das wir stŭrben;sterben;lemma_5752;NOM VRB;Und wart redende wider vnsern herren vnd vnd sprach Worvmme hastu vns ous gefurt von so das wir **stŭrben** in der wustenunge Brotes ist nicht nicht sint v wasser Unserr sele wullet nv vbir dise aller leichste speise;von so das wir **stŭrben** in der wustenunge Brotes
WZB.tei.xml;WZB_159ra_11_3;mŏcht;moecht;ANNOTATE;;lexicon.xml#lemma_4240;VEM;R5;Modalverb mit abhaengigem Infinitiv;hoch;wer mŏcht geczelen den stoup;mügen;lemma_4240;VEM VRB;Wer **mŏcht** geczelen den stoup vnd wissen die czal des geslechtes Sterb mein sele des todis der gerechten vnd mein leczten werden der gleich;es nicht geachtet Wer **mŏcht** geczelen den stoup vnd
WZB.tei.xml;WZB_164ra_5_4;Ŭmme;uemme;ANNOTATE;;lexicon.xml#lemma_6422;PRP;R7;Praeposition mit Rektion;hoch;Ŭmme das ist ... zu tvn;umbe;lemma_6422;ADV PRP;**Ŭmme** das ist das ichtesicht zu tvn wirt so rat vrage der priester den herren Czu seinem wort sol her ous geen vnd ein geen her vnd alle mit im vnd die ander menige;in hŏre alle sammenunge **Ŭmme** das ist das ichtesicht
WZB.tei.xml;WZB_16ra_6_5;tŏtest;toetest;ANNOTATE;;lexicon.xml#lemma_6133;VRB;R4;Vollverb;hoch;das du tŏtest den gerechten;tœten;lemma_6133;NOM VRB;Das sei von dir das du das dink tust das du **tŏtest** den gerechten mit dem vngerechten vnd das der gerechte werde als der vngerechte Das ist nicht dein der do vrteilet alle werlt Mit nichte nichte tu das gerichte;dink tust das du **tŏtest** den gerechten mit dem
WZB.tei.xml;WZB_173va_2_4;tŏten;toeten;ANNOTATE;;lexicon.xml#lemma_6133;VRB;R4;Vollverb;hoch;sol den manslechtigen tŏten;tœten;lemma_6133;NOM VRB;"Der nehste des ersla W e NUM gen sol den manslechtigen **tŏten** zu hant; so her in begreifet sol her in vorterben";"gen sol den manslechtigen **tŏten** zu hant; so her"
WZB.tei.xml;WZB_173vb_17_2;mŭgen;muegen;ANNOTATE;;lexicon.xml#lemma_4240;VEM;R5;Modalverb mit abhaengigem Infinitiv;hoch;mit nichte mŭgen gekeren;mügen;lemma_4240;VEM VRB;Die vortribnen vnd die vluchtigen vor dem tode des bischofes mit nichte **mŭgen** gekeren wider in ir stete;des bischofes mit nichte **mŭgen** gekeren wider in ir
WZB.tei.xml;WZB_176ra_11_1;bŏsen;boesen;ANNOTATE;;lexicon.xml#lemma_788;ADJ;R1;Adjektiv mit Bezugsnomen in der Phrase oder als Praedikat;hoch;dicz bŏsen geslechtes;bœse;lemma_788;ADJ ADV GRA NOM;Nicht wirt sehen keiner von leuten dicz **bŏsen** geslechtes die gute erde die ich vnder dem eide gelobt hab ewern vetern;keiner von leuten dicz **bŏsen** geslechtes die gute erde
WZB.tei.xml;WZB_176ra_31_0;wŭrden;wuerden;ANNOTATE;;lexicon.xml#lemma_7489;VEX;R6;Hilfsverb zum Partizip;hoch;so das sie gevangen wŭrden gefurt, Passiv;werden;lemma_7489;VEX VRB;E Ewer kinder von den ir gesprochen habt so das sie gevangen **wŭrden** gefurt vnd ew̆er svne die heute nicht w wissen die vnderscheide des guten vnd des bosen werden hin ein czihen vnd in wil ich geben die erde vnd si wer NOMIUS den sie besiczen;so das sie gevangen **wŭrden** gefurt vnd ew̆er svne
WZB.tei.xml;WZB_177ra_5_7;czŭgen;czuegen;ANNOTATE;;lexicon.xml#lemma_7861;VRB;R4;Vollverb;hoch;so das wir czŭgen vber die bach;ziehen;lemma_7861;NOM VRB;Ouf stunde wir dorvmme so das wir **czŭgen** vber die bach vnd quamen dor czu;dorvmme so das wir **czŭgen** vber die bach vnd
WZB.tei.xml;WZB_178ra_32_6;slŭgen;sluegen;ANNOTATE;;lexicon.xml#lemma_5525;VRB;R4;Vollverb;hoch;wir slŭgen sie;slahen;lemma_5525;NOM VRB;Nu gab dorvmme vnser herre got ouch in in vnser hant den kvnig von vnd alles sein volk vnd wir **slŭgen** sie vncz bis in die vorderbnusse;sein volk vnd wir **slŭgen** sie vncz bis in
WZB.tei.xml;WZB_181va_2_5;vŏrchtet;voerchtet;ANNOTATE;;lexicon.xml#lemma_7298;VRB;R4;Vollverb;hoch;wenne ir vŏrchtet das fewer;vürhten;lemma_7298;NOM VRB;U Und ich was ein svner vnd ein mitler czwischen got vnd euch in den selben tagen so das ich euch potschefte seine toho DEUTRO wort wenne ir **vŏrchtet** das fewer vnd stigt nicht ouf den perck Und her sprach;DEUTRO wort wenne ir **vŏrchtet** das fewer vnd stigt
WZB.tei.xml;WZB_182ra_17_4;geprŭfet;gepruefet;ANNOTATE;;lexicon.xml#lemma_4744;VRB;R4;Vollverb;hoch;haben heute geprŭfet;prüeven;lemma_4744;NOM VRB;Sich geczeigt hat vns vnser herregot got sein almechticheit vnd seine grose stimme hab wir gehort von der mitte des few̆ers vnd haben heute **geprŭfet** das redende got mit dem menschen lebt der mensch;few̆ers vnd haben heute **geprŭfet** das redende got mit
WZB.tei.xml;WZB_182rb_10_0;mŭge;muege;ANNOTATE;;lexicon.xml#lemma_4240;VEM;R5;Modalverb mit abhaengigem Infinitiv;hoch;vnd mŭge geleben;mügen;lemma_4240;VEM VRB;W Was ist alles vleisch so das es hore die stimme des lebendigen gotes der do ous der mitte des fewers redet vnd als wir haben gesehen vnd **mŭge** geleben;wir haben gesehen vnd **mŭge** geleben Du mer gee
WZB.tei.xml;WZB_182vb_15_6;gefŭret;gefueret;ANNOTATE;;lexicon.xml#lemma_7283;VRB;R4;Vollverb;hoch;dich ein gefŭret dein herre got, Partizip;vüeren;lemma_7283;NOM VRB;Und wenne dich ein **gefŭret** dein herre got in die erde vmme die her gesworn hat deinen vetern vnd vnd gibt dir grose stete vnd gar gute die du nicht hast zu sammen gelegt;Und wenne dich ein **gefŭret** dein herre got in
WZB.tei.xml;WZB_183ra_36_2;pŏse;poese;REVIEW;konfidenz-mittel;;;R1;"Vorschlag ADJ nach R1; dagegen: NOM, wenn 'vnd pŏse' als eigenes 'und Boeses' gelesen wird statt als Nachtrag zu 'wunder'";mittel;grose wunder vnd pŏse, nachgestellt zu wunder;bœse;lemma_788;ADJ ADV GRA NOM;V Und tat czeichen vnd grose wunder vnd **pŏse** zu NOMIUS gegen vnd allem seinem house in vnser angesicht;vnd grose wunder vnd **pŏse** zu NOMIUS gegen vnd
WZB.tei.xml;WZB_183rb_19_2;gefŭret;gefueret;ANNOTATE;;lexicon.xml#lemma_7283;VRB;R4;Vollverb;hoch;dich ein gefŭret dein herre got, Partizip;vüeren;lemma_7283;NOM VRB;enne dich ein **gefŭret** dein herre got in die erde die du zu besiczen ein wirst czihen vnd vortilget vil heiden vor dir den vnd vnd den vnd den vnd den vnd den vnd den siben geslechte vil groserr czal wenne du bist vnd sterker wenne du;gepoten enne dich ein **gefŭret** dein herre got in
WZB.tei.xml;WZB_184ra_14_0;bŏse;boese;ANNOTATE;;lexicon.xml#lemma_788;ADJ;R1;Adjektiv mit Bezugsnomen in der Phrase oder als Praedikat;hoch;die gar bŏse seuchen;bœse;lemma_788;ADJ ADV GRA NOM;Ouf wirt heben der herre von dir allen wetagen vnd die gar **bŏse** seuchen der die du kennest wirt her nicht einfŭren dir svnder alle deinen veinden;wetagen vnd die gar **bŏse** seuchen der die du
WZB.tei.xml;WZB_184ra_15_6;einfŭren;einfueren;ANNOTATE;;lexicon.xml#lemma_46217;VRB;R4;Vollverb;hoch;wirt her nicht einfŭren dir, Infinitiv;învüeren;lemma_46217;PRP VRB;Ouf wirt heben der herre von dir allen wetagen vnd die gar bŏse seuchen der die du kennest wirt her nicht **einfŭren** dir svnder alle deinen veinden;kennest wirt her nicht **einfŭren** dir svnder alle deinen
WZB.tei.xml;WZB_187ra_30_8;tŭ;tue;ANNOTATE;;lexicon.xml#lemma_6301;VRB;R4;Vollverb;hoch;vnd nv tŭ das, Imperativ;tuon;lemma_6301;NOM VRB;Und nv **tŭ** das dein herre got von dir bitet nvr das du vorchtest deinen herren got vnd wanderst in seinen wegen vnd habist in lip vnd dienest deinem her NOMIUS ren gote in ganczem deinem herczen vnd in ganczer deiner sele;in gebe Und nv **tŭ** das dein herre got
WZB.tei.xml;WZB_18rb_35_5;hŏrt;hoert;ANNOTATE;;lexicon.xml#lemma_2885;VRB;R4;Vollverb;hoch;wer das hŏrt;hœren;lemma_2885;INJ NOM VRB;Und sprach Ein gelechter hat mir got gemacht vnd wer das **hŏrt** der wirt lachen mit mir;gemacht vnd wer das **hŏrt** der wirt lachen mit
WZB.tei.xml;WZB_18va_2_5;hŏrende;hoerende;ANNOTATE;;lexicon.xml#lemma_2885;VRB;R4;Vollverb;hoch;welcher hŏrende geloubte, Partizip;hœren;lemma_2885;INJ NOM VRB;Und aber GENE sprach sie Welcher **hŏrende** geloubte des das seugte einen svn den sie im gepert hat also alden;GENE sprach sie Welcher **hŏrende** geloubte des das seugte
WZB.tei.xml;WZB_192rb_5_0;bŏser;boeser;ANNOTATE;;lexicon.xml#lemma_788;ADJ;R1;Adjektiv mit Bezugsnomen in der Phrase oder als Praedikat;hoch;bŏser gedancke;bœse;lemma_788;ADJ ADV GRA NOM;"Hute das leichte dir icht velschlich rate **bŏser** gedancke vnd sprechest in deinem herczen Czu nehent das sibende iar der vorgebvnge; vnd wendest die ougen von deinem armen bruder nicht wollende im das her heisset wechsilnde leihen das her icht schreie wider dich zu vnserm herren vnd werde dir in ein svnde";dir icht velschlich rate **bŏser** gedancke vnd sprechest in
WZB.tei.xml;WZB_193ra_14_0;getŏtet;getoetet;ANNOTATE;;lexicon.xml#lemma_6133;VRB;R4;Vollverb;hoch;das do getŏtet ist, Partizip;tœten;lemma_6133;NOM VRB;Nicht sol erscheinen gesowerteigtes in allen deinen creissen siben tage Und nicht sal vber bleiben des osterlammes vleische das do **getŏtet** ist des abendes in dem ersten tage vncz bis vru;osterlammes vleische das do **getŏtet** ist des abendes in
WZB.tei.xml;WZB_196rb_36_7;hŏrende;hoerende;ANNOTATE;;lexicon.xml#lemma_2885;VRB;R4;Vollverb;hoch;das das hŏrende die andern, Partizip;hœren;lemma_2885;INJ NOM VRB;so das das **hŏrende** die andern haben vorchte DEUTRO vnd mit nichte semeliche dink turren tvn;mitte so das das **hŏrende** die andern haben vorchte
WZB.tei.xml;WZB_1vb_25_3;hŏrent;hoerent;ANNOTATE;;lexicon.xml#lemma_2885;VRB;R4;Vollverb;hoch;das sie gerne hŏrent lesen;hœren;lemma_2885;INJ NOM VRB;;wesen Das sie gerne **hŏrent** lesen Oder selber lesen
WZB.tei.xml;WZB_202rb_8_2;grŏsers;groesers;REVIEW;konfidenz-mittel;;;R2;"Vorschlag NOM nach R2; dagegen: ADJ, wenn 'ein grŏsers' als Ellipse zu 'gewichte' im selben Satz gilt und nicht als Substantivierung";mittel;ein grŏsers vnd ein minners, Kopf getilgt;grôz;lemma_2534;ADJ ADV GRA NOM;Nicht soltu haben in dem sacke mancherlei gewichte ein **grŏsers** vnd ein minners;sacke mancherlei gewichte ein **grŏsers** vnd ein minners Noch
WZB.tei.xml;WZB_205ra_5_2;pŏser;poeser;ANNOTATE;;lexicon.xml#lemma_788;ADJ;R1;Adjektiv mit Bezugsnomen in der Phrase oder als Praedikat;hoch;mit pŏser luft;bœse;lemma_788;ADJ ADV GRA NOM;Sla DEUTRO hen wirt dich vnser herre gote mit armute czitterns vnd vrostes vnd dorrens vnd lechczens vnd mit **pŏser** luft vnd mit touben sat vnd die werden dich echten bis du vortirbest;vnd lechczens vnd mit **pŏser** luft vnd mit touben
WZB.tei.xml;WZB_205va_30_2;rŏte;roete;ANNOTATE;;lexicon.xml#lemma_10840;NOM;R9;Substantiv;hoch;wirt toube rŏte vorczeren, Subjekt;roete;lemma_10840;ADJ NOM;Alle deine povm vnd die fruchte deiner erden wirt toube **rŏte** vorczeren;deiner erden wirt toube **rŏte** vorczeren Der fremde der
WZB.tei.xml;WZB_206rb_16_3;mŏchte;moechte;ANNOTATE;;lexicon.xml#lemma_4240;VEM;R5;Modalverb mit abhaengigem Infinitiv;hoch;die ... nicht gegeen mŏchte;mügen;lemma_4240;VEM VRB;Ein iunge vrowe vnd ein czarte die ouf der erden nicht gegeen **mŏchte** noch ein fuztrit nicht geseczen durch ir vberige iugent vnd weiche wirt has tragen irem manne der do leit in irr schos vber ir svne vnd irr tochter vleisch;der erden nicht gegeen **mŏchte** noch ein fuztrit nicht
