lemma_id	majority_sense_id	majority_count	total_count	majority_pct	pending_tokens	note
lemma_5855	lemma_5855_sense_9270	35	35	100.0	52	1 senses in corpus
lemma_2629	lemma_2629_sense_4223	98	216	45.4	52	10 senses in corpus
lemma_784	lemma_784_sense_1270	18	18	100.0	52	1 senses in corpus
lemma_3815	lemma_3815_sense_6024	112	220	50.9	51	5 senses in corpus
lemma_3720	lemma_3720_sense_5885	263	371	70.9	51	6 senses in corpus
lemma_1376	lemma_1376_sense_2120	65	66	98.5	51	2 senses in corpus
lemma_6741	lemma_6741_sense_10713	166	309	53.7	51	8 senses in corpus
lemma_7163	lemma_7163_sense_11613	413	610	67.7	50	5 senses in corpus
lemma_3818	lemma_3818_sense_6029	7	21	33.3	50	5 senses in corpus
lemma_7782	lemma_7782_sense_12752	54	121	44.6	48	5 senses in corpus
lemma_5818	lemma_5818_sense_9199	287	320	89.7	48	3 senses in corpus
lemma_1436	lemma_1436_sense_2211	271	480	56.5	47	8 senses in corpus
lemma_7360	lemma_7360_sense_11947	30	100	30.0	47	6 senses in corpus
lemma_6722	lemma_6722_sense_10665	277	434	63.8	47	7 senses in corpus
lemma_3907	lemma_3907_sense_6161	67	159	42.1	47	4 senses in corpus
lemma_843	lemma_843_sense_17374	78	311	25.1	46	10 senses in corpus
lemma_2392	lemma_2392_sense_3860	26	49	53.1	45	3 senses in corpus
lemma_3770	lemma_3770_sense_5960	7332	7351	99.7	44	2 senses in corpus
lemma_3806	lemma_3806_sense_6008	309	611	50.6	43	4 senses in corpus
lemma_5393	lemma_5393_sense_8414	122	122	100.0	43	1 senses in corpus
lemma_5180	lemma_5180_sense_8055	434	545	79.6	43	4 senses in corpus
lemma_3732	lemma_3732_sense_5912	176	278	63.3	42	5 senses in corpus
lemma_5970	lemma_5970_sense_9460	447	449	99.6	42	2 senses in corpus
lemma_5033	lemma_5033_sense_7822	6	12	50.0	42	3 senses in corpus
lemma_8385	lemma_8385_sense_22492	40	61	65.6	41	4 senses in corpus
lemma_44214		0	0		41	no corpus data
lemma_3595	lemma_3595_sense_5694	830	1015	81.8	41	2 senses in corpus
lemma_4706	lemma_4706_sense_7296	246	246	100.0	40	1 senses in corpus
lemma_5309	lemma_5309_sense_8272	244	256	95.3	40	4 senses in corpus
lemma_2276	lemma_2276_sense_3634	9	9	100.0	38	1 senses in corpus
lemma_2044	lemma_2044_sense_3160	56	107	52.3	37	3 senses in corpus
lemma_4954	lemma_4954_sense_7708	310	543	57.1	37	3 senses in corpus
lemma_5771	lemma_5771_sense_9078	42	60	70.0	36	4 senses in corpus
lemma_1585	lemma_1585_sense_2468	257	436	58.9	36	3 senses in corpus
lemma_13697	lemma_13697_sense_22568	5	9	55.6	36	3 senses in corpus
lemma_6913	lemma_6913_sense_11079	412	777	53.0	35	3 senses in corpus
lemma_5435	lemma_5435_sense_8482	223	284	78.5	33	3 senses in corpus
lemma_4909	lemma_4909_sense_7627	9	18	50.0	33	3 senses in corpus
lemma_6797	lemma_6797_sense_10837	77	202	38.1	32	4 senses in corpus
lemma_5166	lemma_5166_sense_8035	794	794	100.0	32	1 senses in corpus
lemma_4649	lemma_4649_sense_7214	189	573	33.0	32	8 senses in corpus
lemma_5507	lemma_5507_sense_14934	275	551	49.9	32	6 senses in corpus
lemma_3157	lemma_3157_sense_4990	3366	3367	100.0	30	2 senses in corpus
lemma_2942	lemma_2942_sense_4729	105	232	45.3	30	3 senses in corpus
lemma_2486	lemma_2486_sense_3990	14	15	93.3	30	2 senses in corpus
lemma_7173	lemma_7173_sense_11626	78	251	31.1	30	5 senses in corpus
lemma_7428	lemma_7428_sense_12080	187	343	54.5	29	4 senses in corpus
lemma_2881	lemma_2881_sense_4620	59	65	90.8	29	2 senses in corpus
lemma_6010	lemma_6010_sense_9519	138	158	87.3	29	2 senses in corpus
lemma_448	lemma_448_sense_614	43	92	46.7	29	3 senses in corpus
lemma_4917	lemma_4917_sense_7645	65	166	39.2	29	7 senses in corpus
lemma_5903	lemma_5903_sense_9348	177	246	72.0	28	5 senses in corpus
lemma_7736	lemma_7736_sense_12685	173	175	98.9	28	2 senses in corpus
lemma_2939	lemma_2939_sense_4715	32	65	49.2	28	8 senses in corpus
lemma_7154	lemma_7154_sense_11604	1559	1560	99.9	27	2 senses in corpus
lemma_5864	lemma_5864_sense_9283	455	622	73.2	27	5 senses in corpus
lemma_706	lemma_706_sense_1149	10	10	100.0	27	1 senses in corpus
lemma_7439	lemma_7439_sense_12096	20	74	27.0	27	7 senses in corpus
lemma_1636	lemma_1636_sense_2549	15	28	53.6	26	3 senses in corpus
lemma_820	lemma_820_sense_1337	165	166	99.4	26	2 senses in corpus
lemma_4326	lemma_4326_sense_6761	27	40	67.5	26	2 senses in corpus
lemma_2875	lemma_2875_sense_4609	136	177	76.8	26	3 senses in corpus
lemma_7697	lemma_7697_sense_12612	10	10	100.0	25	1 senses in corpus
lemma_4290	lemma_4290_sense_6707	134	221	60.6	25	4 senses in corpus
lemma_5046	lemma_5046_sense_7853	72	115	62.6	25	5 senses in corpus
lemma_586	lemma_586_sense_895	3	9	33.3	25	4 senses in corpus
lemma_5754	lemma_5754_sense_9050	77	77	100.0	24	1 senses in corpus
lemma_2325	lemma_2325_sense_3721	266	272	97.8	24	3 senses in corpus
lemma_2866	lemma_2866_sense_4596	1200	1771	67.8	24	5 senses in corpus
lemma_7165	lemma_7165_sense_11615	118	121	97.5	23	3 senses in corpus
lemma_2075	lemma_2075_sense_3212	144	258	55.8	23	4 senses in corpus
lemma_2020	lemma_2020_sense_3114	25	66	37.9	23	3 senses in corpus
lemma_5310	lemma_5310_sense_8273	212	240	88.3	23	3 senses in corpus
lemma_2624	lemma_2624_sense_4218	688	699	98.4	23	4 senses in corpus
lemma_28890	lemma_28890_sense_45487	2	3	66.7	23	2 senses in corpus
lemma_269	lemma_269_sense_341	124	282	44.0	22	7 senses in corpus
lemma_2963	lemma_2963_sense_4757	46	131	35.1	22	6 senses in corpus
lemma_5516	lemma_5516_sense_8593	546	546	100.0	22	1 senses in corpus
lemma_3066	lemma_3066_sense_4882	29	52	55.8	22	3 senses in corpus
lemma_6851	lemma_6851_sense_10935	25	49	51.0	22	6 senses in corpus
lemma_7338	lemma_7338_sense_11895	460	584	78.8	22	3 senses in corpus
lemma_2588	lemma_2588_sense_4149	46	108	42.6	22	4 senses in corpus
lemma_4447	lemma_4447_sense_6932	404	406	99.5	21	3 senses in corpus
lemma_7615	lemma_7615_sense_12479	76	340	22.4	21	8 senses in corpus
lemma_5089	lemma_5089_sense_14229	81	131	61.8	21	3 senses in corpus
lemma_9487	lemma_9487_sense_15433	1	1	100.0	21	1 senses in corpus
lemma_527	lemma_527_sense_21930	72	158	45.6	20	5 senses in corpus
lemma_658	lemma_658_sense_1055	35	55	63.6	20	2 senses in corpus
lemma_3779	lemma_3779_sense_5969	8	8	100.0	20	1 senses in corpus
lemma_9050	lemma_9050_sense_20722	81	87	93.1	20	2 senses in corpus
lemma_5748	lemma_5748_sense_9036	44	104	42.3	20	5 senses in corpus
lemma_5212	lemma_5212_sense_8112	5	6	83.3	19	2 senses in corpus
lemma_5091	lemma_5091_sense_7923	16	42	38.1	19	4 senses in corpus
lemma_909	lemma_909_sense_1496	63	87	72.4	19	6 senses in corpus
lemma_1641	lemma_1641_sense_2560	71	96	74.0	19	2 senses in corpus
lemma_621	lemma_621_sense_14000	42	82	51.2	19	3 senses in corpus
lemma_5034	lemma_5034_sense_7829	63	64	98.4	19	2 senses in corpus
lemma_7648	lemma_7648_sense_12535	73	120	60.8	19	3 senses in corpus
lemma_2590	lemma_2590_sense_4151	143	178	80.3	19	3 senses in corpus
lemma_5045	lemma_5045_sense_7852	171	175	97.7	19	3 senses in corpus
lemma_2904	lemma_2904_sense_37995	92	147	62.6	19	2 senses in corpus
lemma_7635	lemma_7635_sense_12518	6	9	66.7	19	2 senses in corpus
lemma_5682	lemma_5682_sense_14993	11	14	78.6	18	2 senses in corpus
lemma_5924	lemma_5924_sense_9381	340	419	81.1	18	5 senses in corpus
lemma_4401	lemma_4401_sense_6867	3	10	30.0	18	4 senses in corpus
lemma_3837	lemma_3837_sense_6063	39	57	68.4	18	5 senses in corpus
lemma_3643	lemma_3643_sense_5751	92	110	83.6	18	2 senses in corpus
lemma_5041	lemma_5041_sense_7843	9	9	100.0	18	1 senses in corpus
lemma_7083	lemma_7083_sense_11474	118	120	98.3	18	2 senses in corpus
lemma_7058	lemma_7058_sense_11439	6	6	100.0	18	1 senses in corpus
lemma_27678	lemma_27678_sense_43890	5	5	100.0	18	1 senses in corpus
lemma_7057	lemma_7057_sense_11438	3	4	75.0	18	2 senses in corpus
lemma_4786	lemma_4786_sense_7393	254	595	42.7	17	10 senses in corpus
lemma_7722	lemma_7722_sense_12651	275	442	62.2	17	3 senses in corpus
lemma_2932	lemma_2932_sense_4708	18	27	66.7	17	2 senses in corpus
lemma_92	lemma_92_sense_115	12	13	92.3	17	2 senses in corpus
lemma_3349	lemma_3349_sense_5259	429	596	72.0	17	5 senses in corpus
lemma_2923	lemma_2923_sense_4694	87	128	68.0	17	5 senses in corpus
lemma_1899	lemma_1899_sense_2924	274	274	100.0	17	1 senses in corpus
lemma_6849	lemma_6849_sense_10930	11	13	84.6	17	2 senses in corpus
lemma_7538	lemma_7538_sense_12306	235	332	70.8	17	2 senses in corpus
lemma_6433	lemma_6433_sense_10179	1	1	100.0	17	1 senses in corpus
lemma_15183	lemma_15183_sense_25082	4	4	100.0	17	1 senses in corpus
lemma_7525	lemma_7525_sense_12286	58	64	90.6	17	2 senses in corpus
lemma_45677		0	0		17	no corpus data
lemma_7924	lemma_7924_sense_12998	135	222	60.8	16	4 senses in corpus
lemma_814	lemma_814_sense_1328	3170	3177	99.8	16	2 senses in corpus
lemma_7152	lemma_7152_sense_11597	93	115	80.9	16	2 senses in corpus
lemma_4842	lemma_4842_sense_7500	20	33	60.6	16	3 senses in corpus
lemma_312	lemma_312_sense_406	12	14	85.7	16	3 senses in corpus
lemma_2787	lemma_2787_sense_4489	178	412	43.2	16	10 senses in corpus
lemma_3494	lemma_3494_sense_5537	100	124	80.6	16	4 senses in corpus
lemma_1256	lemma_1256_sense_1975	4495	4495	100.0	16	1 senses in corpus
lemma_2113	lemma_2113_sense_3281	39	72	54.2	16	4 senses in corpus
lemma_439	lemma_439_sense_599	126	167	75.4	16	4 senses in corpus
lemma_3685	lemma_3685_sense_5832	26	64	40.6	16	6 senses in corpus
lemma_4755	lemma_4755_sense_7354	3	4	75.0	16	2 senses in corpus
lemma_704	lemma_704_sense_1136	51	121	42.1	15	7 senses in corpus
lemma_2315	lemma_2315_sense_3704	30	72	41.7	15	6 senses in corpus
lemma_1089	lemma_1089_sense_1732	59	64	92.2	15	3 senses in corpus
lemma_179	lemma_179_sense_220	34	67	50.7	15	6 senses in corpus
lemma_4956	lemma_4956_sense_14160	73	126	57.9	15	3 senses in corpus
lemma_8268	lemma_8268_sense_21679	108	110	98.2	15	3 senses in corpus
lemma_740	lemma_740_sense_14028	2	4	50.0	15	2 senses in corpus
lemma_744	lemma_744_sense_1220	14	16	87.5	15	2 senses in corpus
lemma_7153	lemma_7153_sense_11603	11	23	47.8	15	4 senses in corpus
lemma_5521	lemma_5521_sense_8598	206	385	53.5	15	7 senses in corpus
lemma_3337	lemma_3337_sense_5238	308	320	96.2	14	2 senses in corpus
lemma_5794	lemma_5794_sense_9143	19	21	90.5	14	2 senses in corpus
lemma_4349	lemma_4349_sense_6799	77	128	60.2	14	5 senses in corpus
lemma_1060	lemma_1060_sense_1696	23	56	41.1	14	6 senses in corpus
lemma_6888	lemma_6888_sense_11018	343	583	58.8	14	5 senses in corpus
lemma_2543	lemma_2543_sense_4074	3	5	60.0	14	2 senses in corpus
lemma_1984	lemma_1984_sense_3049	3	4	75.0	14	2 senses in corpus
lemma_7342	lemma_7342_sense_11901	111	168	66.1	14	2 senses in corpus
lemma_2363	lemma_2363_sense_3810	12	18	66.7	14	4 senses in corpus
lemma_2224	lemma_2224_sense_3539	34	52	65.4	14	4 senses in corpus
lemma_261	lemma_261_sense_330	9	9	100.0	14	1 senses in corpus
lemma_15569	lemma_15569_sense_25745	1	1	100.0	14	1 senses in corpus
lemma_7500	lemma_7500_sense_12237	1068	1142	93.5	13	3 senses in corpus
lemma_574	lemma_574_sense_854	28	33	84.8	13	3 senses in corpus
lemma_526	lemma_526_sense_763	168	198	84.8	13	6 senses in corpus
lemma_7449	lemma_7449_sense_12124	8	20	40.0	13	4 senses in corpus
lemma_2758	lemma_2758_sense_4451	8	22	36.4	13	4 senses in corpus
lemma_634	lemma_634_sense_1004	129	130	99.2	13	2 senses in corpus
lemma_99	lemma_99_sense_127	90	97	92.8	13	5 senses in corpus
lemma_1604	lemma_1604_sense_2499	17	17	100.0	13	1 senses in corpus
lemma_3673	lemma_3673_sense_5803	26	26	100.0	13	1 senses in corpus
lemma_5338	lemma_5338_sense_8340	7	7	100.0	13	1 senses in corpus
lemma_3480	lemma_3480_sense_5508	438	448	97.8	12	3 senses in corpus
lemma_6194	lemma_6194_sense_9769	253	393	64.4	12	6 senses in corpus
lemma_6857	lemma_6857_sense_10951	9	10	90.0	12	2 senses in corpus
lemma_24062	lemma_24062_sense_38802	12	12	100.0	12	1 senses in corpus
lemma_3102	lemma_3102_sense_4928	83	147	56.5	12	2 senses in corpus
lemma_7655	lemma_7655_sense_12558	30	33	90.9	12	2 senses in corpus
lemma_286	lemma_286_sense_372	118	124	95.2	12	3 senses in corpus
lemma_4476	lemma_4476_sense_6989	45	99	45.5	12	4 senses in corpus
lemma_5749	lemma_5749_sense_9041	42	50	84.0	12	3 senses in corpus
lemma_4459	lemma_4459_sense_6959	55	106	51.9	12	3 senses in corpus
lemma_3405	lemma_3405_sense_5367	16	20	80.0	12	3 senses in corpus
lemma_7226	lemma_7226_sense_11713	123	359	34.3	12	6 senses in corpus
lemma_5827	lemma_5827_sense_9219	15	16	93.8	12	2 senses in corpus
lemma_4046	lemma_4046_sense_6351	20	25	80.0	12	3 senses in corpus
lemma_44080	lemma_44080_sense_68576	9	9	100.0	12	1 senses in corpus
lemma_8598	lemma_8598_sense_13318	1	1	100.0	12	1 senses in corpus
lemma_5315	lemma_5315_sense_8280	52	109	47.7	11	3 senses in corpus
lemma_21255	lemma_21255_sense_34925	3	4	75.0	11	2 senses in corpus
lemma_270	lemma_270_sense_348	36	40	90.0	11	3 senses in corpus
lemma_4294	lemma_4294_sense_6714	5	5	100.0	11	1 senses in corpus
lemma_2156	lemma_2156_sense_3365	6	19	31.6	11	6 senses in corpus
lemma_2706	lemma_2706_sense_4361	98	152	64.5	11	3 senses in corpus
lemma_7146	lemma_7146_sense_11586	84	92	91.3	11	3 senses in corpus
lemma_5783	lemma_5783_sense_9109	73	120	60.8	11	5 senses in corpus
lemma_709	lemma_709_sense_1157	108	245	44.1	11	9 senses in corpus
lemma_2115	lemma_2115_sense_3286	21	24	87.5	11	2 senses in corpus
lemma_5696	lemma_5696_sense_8915	14	18	77.8	11	2 senses in corpus
lemma_1236	lemma_1236_sense_1945	28	50	56.0	11	4 senses in corpus
lemma_7031	lemma_7031_sense_11401	52	53	98.1	11	2 senses in corpus
lemma_5599	lemma_5599_sense_8759	33	44	75.0	11	3 senses in corpus
lemma_6743	lemma_6743_sense_10715	211	215	98.1	11	2 senses in corpus
lemma_6870	lemma_6870_sense_10982	64	117	54.7	11	4 senses in corpus
lemma_2789	lemma_2789_sense_4500	8	14	57.1	11	2 senses in corpus
lemma_1702	lemma_1702_sense_2676	2	2	100.0	11	1 senses in corpus
lemma_8550	lemma_8550_sense_20683	16	34	47.1	11	4 senses in corpus
lemma_12326	lemma_12326_sense_19453	55	55	100.0	11	1 senses in corpus
lemma_46787		0	0		11	no corpus data
lemma_5888	lemma_5888_sense_9328	33	48	68.8	11	3 senses in corpus
lemma_6784	lemma_6784_sense_10803	112	113	99.1	11	2 senses in corpus
lemma_7346	lemma_7346_sense_11909	54	58	93.1	10	2 senses in corpus
lemma_5196	lemma_5196_sense_8085	183	379	48.3	10	8 senses in corpus
lemma_2054	lemma_2054_sense_3172	103	103	100.0	10	1 senses in corpus
lemma_2931	lemma_2931_sense_4706	109	118	92.4	10	2 senses in corpus
lemma_3462	lemma_3462_sense_5483	56	98	57.1	10	6 senses in corpus
lemma_5755	lemma_5755_sense_9054	287	288	99.7	10	2 senses in corpus
lemma_7197	lemma_7197_sense_11660	20	43	46.5	10	3 senses in corpus
lemma_7334	lemma_7334_sense_11886	17	33	51.5	10	5 senses in corpus
lemma_2348	lemma_2348_sense_3773	184	617	29.8	10	8 senses in corpus
lemma_7549	lemma_7549_sense_12330	242	247	98.0	10	5 senses in corpus
lemma_5148	lemma_5148_sense_7997	273	425	64.2	10	3 senses in corpus
lemma_7084	lemma_7084_sense_11475	599	601	99.7	10	2 senses in corpus
lemma_3412	lemma_3412_sense_5379	1	1	100.0	10	1 senses in corpus
lemma_4335	lemma_4335_sense_6780	14	28	50.0	10	3 senses in corpus
lemma_2080	lemma_2080_sense_3221	63	100	63.0	10	3 senses in corpus
lemma_2149	lemma_2149_sense_3345	15	26	57.7	10	5 senses in corpus
lemma_17858	lemma_17858_sense_30261	13	13	100.0	10	1 senses in corpus
lemma_685	lemma_685_sense_1103	145	145	100.0	10	1 senses in corpus
lemma_7866	lemma_7866_sense_12901	67	102	65.7	9	3 senses in corpus
lemma_4042	lemma_4042_sense_6346	59	62	95.2	9	2 senses in corpus
lemma_1102	lemma_1102_sense_1748	20	27	74.1	9	3 senses in corpus
lemma_3692	lemma_3692_sense_5850	78	83	94.0	9	3 senses in corpus
lemma_15061	lemma_15061_sense_24798	6	6	100.0	9	1 senses in corpus
lemma_6852	lemma_6852_sense_10940	19	35	54.3	9	4 senses in corpus
lemma_2245	lemma_2245_sense_3576	63	121	52.1	9	4 senses in corpus
lemma_2240	lemma_2240_sense_3565	3	3	100.0	9	1 senses in corpus
lemma_2292	lemma_2292_sense_3657	181	222	81.5	9	4 senses in corpus
lemma_483	lemma_483_sense_681	126	218	57.8	9	4 senses in corpus
lemma_2310	lemma_2310_sense_3691	15	21	71.4	9	4 senses in corpus
lemma_4059	lemma_4059_sense_6371	70	174	40.2	9	6 senses in corpus
lemma_12343	lemma_12343_sense_19481	10	11	90.9	9	2 senses in corpus
lemma_2559	lemma_2559_sense_4102	120	121	99.2	9	2 senses in corpus
lemma_4216	lemma_4216_sense_6599	351	351	100.0	9	1 senses in corpus
lemma_3675	lemma_3675_sense_5812	14	26	53.8	9	4 senses in corpus
lemma_5594	lemma_5594_sense_8746	55	114	48.2	9	5 senses in corpus
lemma_4339	lemma_4339_sense_6785	42	55	76.4	9	4 senses in corpus
lemma_1151	lemma_1151_sense_1816	16	25	64.0	9	3 senses in corpus
lemma_6881	lemma_6881_sense_11000	111	136	81.6	9	2 senses in corpus
lemma_7730	lemma_7730_sense_12667	5	11	45.5	8	3 senses in corpus
lemma_1611	lemma_1611_sense_2513	56	83	67.5	8	5 senses in corpus
lemma_7284	lemma_7284_sense_11815	27	34	79.4	8	3 senses in corpus
lemma_7199	lemma_7199_sense_11667	27	30	90.0	8	2 senses in corpus
lemma_6175	lemma_6175_sense_9744	23	23	100.0	8	1 senses in corpus
