file;xml_id;form;normalisiert;action;review_grund;neu_lemmaRef;neu_pos;ziel_lemma_form;lemma_kandidaten;lemma_pos_alle;vers_n;vorvers;vers;folgevers;umfeld
WZB.tei.xml;WZB_26rb_5_5;ŏles;oeles;ANNOTATE;;lexicon.xml#lemma_4455;NOM;öl;lemma_4455;NOM;;Er gieng zu im vnd kuste yn Und zu hant do er enpfant des gewandes zusen ruch do gesegente her vnd sprach Secht der ruch meines kindes als der ruch eines vollen ackers Dem vnser herre hat gesegent;Gebe dir vnser herre von dem taw̆ des himels vnd von der veisticheit der erden die do genug getreides weines vnd **ŏles**;vnd die volck dienent dir Vnd dy leute dynen dir vnd dy geslecht an peten dich vnd solt sein ein herre deiner pruder Und die geslechte an beten dich vnd vor dir knien die kinder deiner muter Der dir vluchet der sei vorvlucht Der dir segent der werd mit segen erfullet;genug getreides weines vnd **ŏles** vnd die volck dienent
WZB.tei.xml;WZB_26vb_34_5;tŏch;toech;REVIEW;pos-mehrdeutig;;;ziehen;lemma_7861;NOM VRB;;vnd dorumbe rufte seinem svne vnd gesegente im vnd gebot im vnd sprach Nicht nyme dir ein housvrow von dem geslechte;sunder gee vnd czeuch in das lant in die stat zu in das hous deiner muter vater Und nym dir ein housvrow von den **tŏch** XXVIII GENE tern deines ŏhems;Got aber der almechtige der gesegen dir vnd mache dich wachsende vnd mere dich also das du werdest zu vil scharen des volkkes;ein housvrow von den **tŏch** XXVIII GENE tern deines
WZB.tei.xml;WZB_27ra_2_3;ŏhems;oehems;ANNOTATE;;lexicon.xml#lemma_4472;NOM;oeheim;lemma_4472;NOM;;vnd dorumbe rufte seinem svne vnd gesegente im vnd gebot im vnd sprach Nicht nyme dir ein housvrow von dem geslechte;sunder gee vnd czeuch in das lant in die stat zu in das hous deiner muter vater Und nym dir ein housvrow von den tŏch XXVIII GENE tern deines **ŏhems**;Got aber der almechtige der gesegen dir vnd mache dich wachsende vnd mere dich also das du werdest zu vil scharen des volkkes;XXVIII GENE tern deines **ŏhems** Got aber der almechtige
WZB.tei.xml;WZB_28ra_6_2;ŏhems;oehems;ANNOTATE;;lexicon.xml#lemma_4472;NOM;oeheim;lemma_4472;NOM;;Und noch redten sie mit ein ander Und XXIX GENE secht die quam mit ires vaters hert wenne sie hute der schaf;Do die ersach vnd woste daz sie waren geswister kint vnd die schaf seines **ŏhems** vnd wegte abe den stein mit dem der brvnne vorslossen was vnd trenkte die herte;vnd kuste sie Und si hub ouf ir stimme vnd warde weinen;vnd die schaf seines **ŏhems** vnd wegte abe den
WZB.tei.xml;WZB_28rb_12_4;blŏde;bloede;REVIEW;pos-mehrdeutig;;;blœde;lemma_764;ADJ ADV GRA NOM;;Nu hatt her czwu tochter Die groste hiesse die minner was genant;hete aber **blŏde** vnd trifende ougen was aber schonerr gestalt vnd ersamers angesichtes;Die hette lip vnd sprach Ich wil dienen vmb vmb die minneste tochter siben iar;was genant hete aber **blŏde** vnd trifende ougen was
WZB.tei.xml;WZB_28rb_34_12;gewŏnlichen;gewoenlichen;REVIEW;pos-mehrdeutig;;;gewonlich;lemma_2355;ADJ ADV;;Und des abendes sein tochter furte her im czu;vnd gab der ein mait die hies mit namen Und do bei der geslafen het als **gewŏnlichen** ist Und do es morgen wart do sach er das es was GENE;vnd sprach zu seinem sweher Hab ich dir nicht gedienet vmb worumbe hastu mir czu gelegt;der geslafen het als **gewŏnlichen** ist Und do es
WZB.tei.xml;WZB_28vb_33_4;erhŏret;erhoeret;ANNOTATE;;lexicon.xml#lemma_1576;VRB;erhoeren;lemma_1576;VRB;;vnd enpfienc vnd geperte einen svn;Und sprach Unser herre hat mir gericht vnd hat mich **erhŏret** vnd hat gegeben mir einen svn vnd dorumbe nante sie seinen namen;Und aber enpfing vnd geperte einen andern XXX c GENE svn;gericht vnd hat mich **erhŏret** vnd hat gegeben mir
WZB.tei.xml;WZB_31ra_22_3;Tŏrlichen;toerlichen;REVIEW;pos-mehrdeutig;;;tôrlich;lemma_6117;ADJ ADV GRA;;Worumbe woldestu vlihen vnwissende mir vnd woldest mir nicht sagen das ich dir noch hette gevolget mit vrowen vnd mit gesange vnd mit poucken vnd mit harpfen;Du hast nicht gehengit das ich gekust hette meine kinder vnd meine tochter **Tŏrlichen** hastu getan;Und nv mag dir mein hant hin wider getvn vbil Sunder der got deines vaters der sprach nechten zu mir Hute dich das du icht redest hertlichen czu;kinder vnd meine tochter **Tŏrlichen** hastu getan Und nv
WZB.tei.xml;WZB_31rb_2_4;tŏte;toete;REVIEW;pos-mehrdeutig;;;tœten;lemma_6133;NOM VRB;;Und antworte Das ich vnwissende dir hin geczogen bin do vorchte ich das du mir mit gewalt icht nemest deine tochter;Das du mich aber deupstrafest Bei welchem du deine SIS gŏte vindest den **tŏte** man vor vnsern brudern Suche was du vindest bei mir des deinen das nym Das sprechende enwost er nicht das hette die gŏte vorstoln;Und also gink in die geczelt vnd vnd in beider irr gesinde vnd vand nichtes nicht vnd do er in das geczelt gienk;SIS gŏte vindest den **tŏte** man vor vnsern brudern
WZB.tei.xml;WZB_31va_3_5;Ŭmb;uemb;REVIEW;pos-mehrdeutig;;;umbe;lemma_6422;ADV PRP;;Do sprach her Nicht czurne mein herre wenne ich mich gegen dir nicht ouf gerichten mag Wenne mir nach wibe siten ist nv geschehen also ist betrogen die sorge meines suchens;Und wart vnmutig vnd sprach mit czorne **Ŭmb** was schult oder vmb welche sunde bistu gegen mir enczunt;das du hast durch sucht alle meinen housrat Was hastu funden von aller deiner habe deins houses Lege das her fur deine bruder vnd vor die meinen das sie richten czwischen mir vnd dir;vnd sprach mit czorne **Ŭmb** was schult oder vmb
WZB.tei.xml;WZB_31vb_4_4;Tŏchter;toechter;ANNOTATE;;lexicon.xml#lemma_6135;NOM;tohter;lemma_6135;NOM;;Und wer nicht got meines vaters vnd die vorcht mit mir gewesen du hetest leicht nv mich blos von dir gelasen Mein vngemach vnd mein arbeit meiner hende SIS hat got angesehen vnd hat dich nechten gestrafet;Und antworte im **Tŏchter** vnd kinder vnd die hert vnd alles das du an sichst das ist mein was mag ich getvn meinen kindern vnd meinen neuen;kvme her dorumbe vnd mache wir einen friede das ein geczeugnusse sei czwischen mir vnd dir;gestrafet Und antworte im **Tŏchter** vnd kinder vnd die
WZB.tei.xml;WZB_32va_25_6;Erlŏse;erloese;ANNOTATE;;lexicon.xml#lemma_1611;VRB;erlœsen;lemma_1611;VRB;;czu wenig bin ich aller deiner barmherczicheit vnd deiner warheit die du hast volbracht deinem knechte An meinem stab bin ich gegangen vbir disen yordan vnd nv mit czwein scharen kvme ich her wider;**Erlŏse** herre mich ous den henden meines bruders wenne ich in sere vŏrchte das er leicht icht kvme vnd slahe die muter mit den kindern;Du hast gesprochen du wollest mir gutlich tvn vnd wollest meinen samen meren als den sant des meres der vor menige nicht mag geczalt werden;kvme ich her wider **Erlŏse** herre mich ous den
WZB.tei.xml;WZB_32vb_3_3;bŏcke;boecke;ANNOTATE;;lexicon.xml#lemma_784;NOM;boc;lemma_784;NOM;;Und do er die nacht al do geslief do svnderte er ous dem das er hatte gabe SIS seinem bruder;czweihundert czigen vnd czweinczig **bŏcke** Czweihundert vnd czweinczig wider;Sougende camelen mit iren keuchlein dreissick Uierczig ku vnd czweinczig ochsen Czweinczig esil vnd ir iungen czehen;czweihundert czigen vnd czweinczig **bŏcke** Czweihundert vnd czweinczig wider
WZB.tei.xml;WZB_33rb_9_3;rŏte;roete;REVIEW;pos-mehrdeutig;;;roete;lemma_10840;ADJ NOM;;Und do her sach das er in nicht vbirwinden mochte do rurte er im die ader seiner hufe vnd zu hant vordorte sie im;Und sprach zu im Las mich wenne yczunt geet ouf die morgen **rŏte** Und antworte Ich las dich nicht du gesegenst denne mir;Dorvmbe sprach er Wie ist dein name Und er antworte;geet ouf die morgen **rŏte** Und antworte Ich las
WZB.tei.xml;WZB_33rb_31_4;Ŭmb;uemb;REVIEW;pos-mehrdeutig;;;umbe;lemma_6422;ADV PRP;;Und ouf gieng zu hant die svnne do er komen was vber Her vorwar huffalczte mit dem fuze;**Ŭmb** dise sache essen nicht die adern wenne sie vordorte in der huf bis ouf disen hutigen tag Do von das er rurte die ader seiner huf Und vor GENE wunder erschrack XX;aber hub ouf sein ougen vnd sach kumende vnd mit im virhundert man vnd teilte di kinder vnd Und der czweier meide;huffalczte mit dem fuze **Ŭmb** dise sache essen nicht
WZB.tei.xml;WZB_34ra_16_2;gegnŏt;gegnoet;REVIEW;lemma-kein-treffer;;;;;;;vnd czoch in die stat der Die do ist in dem lande Noch dem do er wider kumen was von der stat vz dem lande;Und wonte bei der **gegnŏt** vnd koufte im ein teil eines ackers in dem er gestakt hette die geczelt von den kindern des vaters vmb hundert schaf;vnd richte do ouf einen alter Und rufte ouf dem an den starcken SIS got;Und wonte bei der **gegnŏt** vnd koufte im ein
WZB.tei.xml;WZB_35ra_17_1;czŏrniclichen;czoerniclichen;REVIEW;lemma-kein-treffer;;;;;;;Und ir kinder vnd ire weip furten sie hin gevangen;Do sie das volbrachten Do sprach **czŏrniclichen** czu vnd zu Betrubet habt ir mich vnd habt mich gehessick gemachet den SIS vnd den den lant leuten diser erden Unser ist wenick vnd gene werden sich sammen vnd werden mich slahen vnd werde vortilget ich vnd mein hous;Und sie antworten Nu wie sold her gebrouchen also sam einer hurn vnser swester;das volbrachten Do sprach **czŏrniclichen** czu vnd zu Betrubet
WZB.tei.xml;WZB_37rb_34_0;Hŏret;hoeret;REVIEW;pos-mehrdeutig;;;hœren;lemma_2885;INJ NOM VRB;;Und es geschach das er einen trovme der im getroumet hette sagte seinen b brudern Diser trovme was ein sache des neides groste sehunge;Und her sprach zu in **Hŏret** meinen trovm den ich GENE hab gesehen;Mich douchte wie das wir garben bunden vnd wie das sich mein garbe ouf richte vnd stunde vnd ewer garben vmbsteende an beten meine garben;her sprach zu in **Hŏret** meinen trovm den ich
WZB.tei.xml;WZB_37vb_30_6;hŏrn;hoern;REVIEW;pos-mehrdeutig;;;hœren;lemma_2885;INJ NOM VRB;;Und her antworte Meine bruder suche ich Czeige mir wo weiden sie die schaf;Und der man antworte Sie sint weck geczogen von diser stat Ich hab sie **hŏrn** sprechende Gee wir gegen czoch dorumbe noch seinen brudern Und vant sie zu;Die bruder do sie in sahen von verrens e her zu in quam do gedachten sie in zu toten;stat Ich hab sie **hŏrn** sprechende Gee wir gegen
WZB.tei.xml;WZB_38ra_4_2;tŏte;toete;REVIEW;pos-mehrdeutig;;;tœten;lemma_6133;NOM VRB;;vnd redten wech GENE silnde wider ein ander Secht der trovmer der kumet;Kvmet dan vnd **tŏte** wir in vnd lasen in in ein alde cistern vnd sprechen Ein bozes wildes tyr hat in vressen Und denne wirt scheinen was im vromen seyne trovme;Das horte vnd wolde in ledigen ous irn henden vnd sprach;kumet Kvmet dan vnd **tŏte** wir in vnd lasen
WZB.tei.xml;WZB_40ra_19_2;schŏnes;schoenes;REVIEW;pos-mehrdeutig;;;schœne;lemma_5280;ADJ ADV GRA NOM;;Und vnser herre gesegente seinem house durch vnd merte im also wol in den heusern als vf den eckern alle seine habe;Und er woste in sein selbis house anders nichtes nicht wenne das er czu sas vnd as also gar hett er das bevoln aber was **schŏnes** antliczes vnd czirlicher angesicht;Und also noch vil tagen warff die vrowe ir ougen an vnd sprach Slaf bei mir;das bevoln aber was **schŏnes** antliczes vnd czirlicher angesicht
WZB.tei.xml;WZB_40ra_24_4;bŏsen;boesen;REVIEW;pos-mehrdeutig;;;bœse;lemma_788;ADJ ADV GRA NOM;;Und also noch vil tagen warff die vrowe ir ougen an vnd sprach Slaf bei mir;Er wolde aber mit nichte gehengen den **bŏsen** vnczimlichen wercken Und sprach zu ir Sich mein herre hat mir alles sein gut bevoln vnd er en weis selber nicht was er hat in seinem house;noch es en ist nichtesnicht das nicht sei in meiner gewalt oder das er mir nicht habe bevolhen an dich wenne du bist sein h housvrowe Wie mag ich das bŏze getvn vnd gesvnden in meinen herren;mit nichte gehengen den **bŏsen** vnczimlichen wercken Und sprach
WZB.tei.xml;WZB_41rb_12_4;kŏrbe;koerbe;ANNOTATE;;lexicon.xml#lemma_3412;NOM;korp;lemma_3412;NOM;;wenne ich bin deuplichn ab getragen von der hebraischen erden Und hie vnschuldiclichen in den kercker geleget;Nu sach der pecken meister daz er den trovm vornvnfticlichn hett entslossen vnd sprach Ich hab gesehen einen trovm wie das ich hette drei **kŏrbe** meles ouf meinem houbte;Und in einem korbe der do was der allir obriste tragen allirlei spise die man machet ous bakwerk vnd sach dorous essen die vogil;das ich hette drei **kŏrbe** meles ouf meinem houbte
WZB.tei.xml;WZB_41rb_20_0;kŏrbe;koerbe;ANNOTATE;;lexicon.xml#lemma_3412;NOM;korp;lemma_3412;NOM;;Und in einem korbe der do was der allir obriste tragen allirlei spise die man machet ous bakwerk vnd sach dorous essen die vogil;antworte Das ist die ouslegunge des trovmes Drei **kŏrbe** drei tage noch sint;noch den wirt ouf heben dein houbt vnd wirt dich an ein kreucz hengen vnd die e GENE vogil werden dein vleisch zu reissen;ouslegunge des trovmes Drei **kŏrbe** drei tage noch sint
