xml_id	form	context	lemma_id	candidate_pos	resolved_pos	confidence	reviewer
WZB_1ra_8_1	dich	sich mein mut Und rufet [dich] gutlichen an wenne nyemant wol	lemma_1242	ART|POS|PRO	PRO	high	claude
WZB_1ra_8_2	gutlichen	mein mut Und rufet dich [gutlichen] an wenne nyemant wol geschaffen	lemma_2574	ADJ|ADV|GRA|NOM	ADV	high	claude
WZB_1ra_8_6	wenne	Und rufet dich gutlichen an [wenne] nyemant wol geschaffen kan An	lemma_7385	ADV|CNJ	SCNJ	high	claude
WZB_1ra_9_0	nyemant	rufet dich gutlichen an wenne [nyemant] wol geschaffen kan An dich	lemma_4366	ADJ|NEG|PRO	NEG	high	claude
WZB_1ra_9_1	wol	dich gutlichen an wenne nyemant [wol] geschaffen kan An dich wil	lemma_7677	ADV|GRA|NOM	ADV	high	claude
WZB_1ra_9_3	kan	an wenne nyemant wol geschaffen [kan] An dich wil yemant icht					
WZB_1ra_10_1	dich	nyemant wol geschaffen kan An [dich] wil yemant icht beginnen Von	lemma_1242	ART|POS|PRO	PRO	high	claude
WZB_1ra_10_3	wil	wol geschaffen kan An dich [wil] yemant icht beginnen Von herczen	lemma_7473	VEM|VRB	VEM	high	claude
WZB_1ra_10_5	icht	kan An dich wil yemant [icht] beginnen Von herczen vnd von	lemma_3022	ADJ|NOM	NOM	high	claude
WZB_1ra_11_5	sinnen	beginnen Von herczen vnd von [sinnen] bit bit keiner hand geticht	lemma_5491	NOM|VRB	VRB	high	claude
WZB_1ra_12_0	bit	Von herczen vnd von sinnen [bit] bit keiner hand geticht t					
WZB_1ra_12_1	bit	herczen vnd von sinnen bit [bit] keiner hand geticht t t					
WZB_1ra_12_2	keiner	vnd von sinnen bit bit [keiner] hand geticht t t er	lemma_3273	ADJ|GRA|NEG	DET	high	claude
WZB_1ra_12_3	hand	von sinnen bit bit keiner [hand] geticht t t er deiner	lemma_2640	ADJ|NOM	NOM	high	claude
WZB_1ra_12_4	geticht	sinnen bit bit keiner hand [geticht] t t er deiner hulffe	lemma_6083	NOM|VRB	VRB	high	claude
WZB_1ra_13_2	er	keiner hand geticht t t [er] deiner hulffe nicht Vnd ob	lemma_1517	POS|PRO	PRO	high	claude
WZB_1ra_13_3	deiner	hand geticht t t er [deiner] hulffe nicht Vnd ob er	lemma_1242	ART|POS|PRO	POS	high	claude
WZB_1ra_13_4	hulffe	geticht t t er deiner [hulffe] nicht Vnd ob er die	lemma_2739	INJ|NOM|VRB	VRB	high	claude
WZB_1ra_13_5	nicht	t t er deiner hulffe [nicht] Vnd ob er die vorkeuset	lemma_4377	ADJ|ADV|NEG|NOM	NEG	high	claude
WZB_1ra_14_2	er	deiner hulffe nicht Vnd ob [er] die vorkeuset Sein arbeit er	lemma_1517	POS|PRO	PRO	high	claude
WZB_1ra_14_4	vorkeuset	nicht Vnd ob er die [vorkeuset] Sein arbeit er vorleuset Wenne					
WZB_1ra_15_0	er	er die vorkeuset Sein arbeit [er] vorleuset Wenne also sp spricht	lemma_1517	POS|PRO	PRO	high	claude
WZB_1ra_15_1	vorleuset	die vorkeuset Sein arbeit er [vorleuset] Wenne also sp spricht dein					
WZB_1ra_15_4	Wenne	vorkeuset Sein arbeit er vorleuset [Wenne] also sp spricht dein werder	lemma_7385	ADV|CNJ	SCNJ	high	claude
WZB_1ra_15_6	sp	arbeit er vorleuset Wenne also [sp] spricht dein werder svn An					
WZB_1ra_16_0	spricht	er vorleuset Wenne also sp [spricht] dein werder svn An mich	lemma_5693	NOM|VRB	VRB	high	claude
WZB_1ra_16_1	dein	vorleuset Wenne also sp spricht [dein] werder svn An mich mugt	lemma_1242	ART|POS|PRO	POS	high	claude
WZB_1ra_16_2	werder	Wenne also sp spricht dein [werder] svn An mich mugt ir	lemma_7500	ADJ|ADV|GRA|NOM	ADJ	high	claude
WZB_1ra_16_7	mich	spricht dein werder svn An [mich] mugt ir nicht getvn Dorvmbe	lemma_3001	POS|PRO	PRO	high	claude
WZB_1ra_17_0	mugt	dein werder svn An mich [mugt] ir nicht getvn Dorvmbe rufe	lemma_4240	VEM|VRB	VEM	high	claude
WZB_1ra_17_1	ir	werder svn An mich mugt [ir] nicht getvn Dorvmbe rufe ich	lemma_56117	POS|PRO	PRO	medium	claude-context
WZB_1ra_17_2	nicht	svn An mich mugt ir [nicht] getvn Dorvmbe rufe ich herre	lemma_4377	ADJ|ADV|NEG|NOM	NEG	high	claude
WZB_1ra_17_3	getvn	An mich mugt ir nicht [getvn] Dorvmbe rufe ich herre czu	lemma_6301	NOM|VRB	VRB	high	claude
WZB_1ra_18_0	rufe	mugt ir nicht getvn Dorvmbe [rufe] ich herre czu dir Und	lemma_5028	NOM|VRB	VRB	high	claude
WZB_1ra_18_1	ich	ir nicht getvn Dorvmbe rufe [ich] herre czu dir Und bite	lemma_3001	POS|PRO	PRO	high	claude
WZB_1ra_18_3	czu	getvn Dorvmbe rufe ich herre [czu] dir Und bite dich das	lemma_7770	CNJ|PRP	PRP	high	claude
WZB_1ra_18_4	dir	Dorvmbe rufe ich herre czu [dir] Und bite dich das du	lemma_1242	ART|POS|PRO	PRO	high	claude
WZB_1ra_18_7	bite	ich herre czu dir Und [bite] dich das du sendest mir	lemma_722	NOM|VRB	VRB	high	claude
WZB_1ra_19_0	dich	herre czu dir Und bite [dich] das du sendest mir Deiner	lemma_1242	ART|POS|PRO	PRO	high	claude
WZB_1ra_19_2	das	czu dir Und bite dich [das] du sendest mir Deiner gnaden	lemma_1097	ART|CNJ	SCNJ	high	claude-context
WZB_1ra_19_3	du	dir Und bite dich das [du] sendest mir Deiner gnaden stew̆er	lemma_1242	ART|POS|PRO	PRO	high	claude
WZB_1ra_19_4	sendest	Und bite dich das du [sendest] mir Deiner gnaden stew̆er Des					
WZB_1ra_19_5	mir	bite dich das du sendest [mir] Deiner gnaden stew̆er Des heiligen	lemma_3001	POS|PRO	PRO	high	claude
WZB_1ra_19_7	Deiner	dich das du sendest mir [Deiner] gnaden stew̆er Des heiligen geistes	lemma_1242	ART|POS|PRO	POS	high	claude
WZB_1ra_20_1	stew̆er	du sendest mir Deiner gnaden [stew̆er] Des heiligen geistes fewer Das					
WZB_1ra_20_5	heiligen	mir Deiner gnaden stew̆er Des [heiligen] geistes fewer Das mein sinne	lemma_2708	ADJ|ADV|GRA|NOM	ADJ	high	claude
WZB_1ra_21_0	fewer	gnaden stew̆er Des heiligen geistes [fewer] Das mein sinne durchfeuchte Und	lemma_7108	INJ|NOM	NOM	high	claude
WZB_1ra_21_3	Das	stew̆er Des heiligen geistes fewer [Das] mein sinne durchfeuchte Und mein	lemma_1097	ART|CNJ	DET	high	claude-context
WZB_1ra_21_4	mein	Des heiligen geistes fewer Das [mein] sinne durchfeuchte Und mein sele	lemma_3001	POS|PRO	POS	high	claude
WZB_1ra_21_6	durchfeuchte	geistes fewer Das mein sinne [durchfeuchte] Und mein sele erleuchte Und					
WZB_1ra_22_2	mein	Das mein sinne durchfeuchte Und [mein] sele erleuchte Und mir entsliesse	lemma_3001	POS|PRO	POS	high	claude
WZB_1ra_22_4	erleuchte	sinne durchfeuchte Und mein sele [erleuchte] Und mir entsliesse meinen mvnt					
WZB_1ra_23_1	mir	Und mein sele erleuchte Und [mir] entsliesse meinen mvnt Das ich	lemma_3001	POS|PRO	PRO	high	claude
WZB_1ra_23_2	entsliesse	mein sele erleuchte Und mir [entsliesse] meinen mvnt Das ich mvze					
WZB_1ra_23_3	meinen	sele erleuchte Und mir entsliesse [meinen] mvnt Das ich mvze czu	lemma_3001	POS|PRO	POS	high	claude
WZB_1ra_24_0	Das	Und mir entsliesse meinen mvnt [Das] ich mvze czu aller stvnt	lemma_1097	ART|CNJ	SCNJ	high	claude-context
WZB_1ra_24_1	ich	mir entsliesse meinen mvnt Das [ich] mvze czu aller stvnt In	lemma_3001	POS|PRO	PRO	high	claude
WZB_1ra_24_2	mvze	entsliesse meinen mvnt Das ich [mvze] czu aller stvnt In PROLOGUS					
WZB_1ra_24_3	czu	meinen mvnt Das ich mvze [czu] aller stvnt In PROLOGUS trewen	lemma_7770	CNJ|PRP	PRP	high	claude
WZB_1ra_24_4	aller	mvnt Das ich mvze czu [aller] stvnt In PROLOGUS trewen ymmer	lemma_106	ADJ|ADV	ADJ	high	claude
WZB_1rb_2_0	trewen	czu aller stvnt In PROLOGUS [trewen] ymmer meren Das lop deiner	lemma_6215	ADJ|GRA|INJ|NOM	NOM	high	claude
WZB_1rb_2_4	Das	In PROLOGUS trewen ymmer meren [Das] lop deiner eren Das ich	lemma_1097	ART|CNJ	DET	high	claude-context
WZB_1rb_2_6	deiner	trewen ymmer meren Das lop [deiner] eren Das ich die pfunt	lemma_1242	ART|POS|PRO	POS	high	claude
WZB_1rb_3_3	Das	meren Das lop deiner eren [Das] ich die pfunt die du	lemma_1097	ART|CNJ	SCNJ	high	claude-context
WZB_1rb_3_4	ich	Das lop deiner eren Das [ich] die pfunt die du mir	lemma_3001	POS|PRO	PRO	high	claude
WZB_1rb_3_9	du	Das ich die pfunt die [du] mir Hast vorlihen brenge dir	lemma_1242	ART|POS|PRO	PRO	high	claude
WZB_1rb_4_0	mir	ich die pfunt die du [mir] Hast vorlihen brenge dir m	lemma_3001	POS|PRO	PRO	high	claude
WZB_1rb_4_2	Hast	die pfunt die du mir [Hast] vorlihen brenge dir m Mit	lemma_2598	NOM|VEX|VRB	VRB	medium	claude-context
WZB_1rb_4_3	vorlihen	pfunt die du mir Hast [vorlihen] brenge dir m Mit reichem					
WZB_1rb_4_5	brenge	die du mir Hast vorlihen [brenge] dir m Mit reichem wucher	lemma_868	NOM|VRB	VRB	high	claude
WZB_1rb_4_6	dir	du mir Hast vorlihen brenge [dir] m Mit reichem wucher vrolich	lemma_1242	ART|POS|PRO	PRO	high	claude
WZB_1rb_5_1	reichem	vorlihen brenge dir m Mit [reichem] wucher vrolich Das dein mvnt	lemma_4872	ADJ|ADV|GRA|NOM	ADJ	medium	claude-context
WZB_1rb_5_3	vrolich	dir m Mit reichem wucher [vrolich] Das dein mvnt so fruntlich	lemma_7257	ADJ|ADV|GRA	ADV	high	claude
WZB_1rb_5_6	Das	m Mit reichem wucher vrolich [Das] dein mvnt so fruntlich Mir	lemma_1097	ART|CNJ	DET	high	claude-context
WZB_1rb_6_0	dein	Mit reichem wucher vrolich Das [dein] mvnt so fruntlich Mir denne	lemma_1242	ART|POS|PRO	POS	high	claude
WZB_1rb_6_3	fruntlich	vrolich Das dein mvnt so [fruntlich] Mir denne gutlich spreche czu	lemma_7248	ADJ|ADV|GRA	ADV	high	claude
WZB_1rb_6_5	Mir	Das dein mvnt so fruntlich [Mir] denne gutlich spreche czu Vrewe	lemma_3001	POS|PRO	PRO	high	claude
WZB_1rb_7_0	gutlich	mvnt so fruntlich Mir denne [gutlich] spreche czu Vrewe dich lieber	lemma_2574	ADJ|ADV|GRA|NOM	ADV	high	claude
WZB_1rb_7_1	spreche	so fruntlich Mir denne gutlich [spreche] czu Vrewe dich lieber diener	lemma_5693	NOM|VRB	VRB	high	claude
WZB_1rb_7_2	czu	fruntlich Mir denne gutlich spreche [czu] Vrewe dich lieber diener nv	lemma_7770	CNJ|PRP	PRP	high	claude
WZB_1rb_7_6	dich	denne gutlich spreche czu Vrewe [dich] lieber diener nv Sint du	lemma_1242	ART|POS|PRO	PRO	high	claude
WZB_1rb_7_7	lieber	gutlich spreche czu Vrewe dich [lieber] diener nv Sint du bist	lemma_3765	ADJ|ADV|GRA|NOM	ADJ	high	claude
WZB_1rb_8_1	nv	czu Vrewe dich lieber diener [nv] Sint du bist czu disen	lemma_4432	ADV|CNJ	ADV	high	claude
WZB_1rb_8_4	Sint	Vrewe dich lieber diener nv [Sint] du bist czu disen stunden	lemma_5432	VEX|VRB	VEX	high	claude
WZB_1rb_8_5	du	dich lieber diener nv Sint [du] bist czu disen stunden Getrewe	lemma_1242	ART|POS|PRO	PRO	high	claude
WZB_1rb_8_6	bist	lieber diener nv Sint du [bist] czu disen stunden Getrewe vber	lemma_5432	VEX|VRB	VEX	high	claude
WZB_1rb_8_7	czu	diener nv Sint du bist [czu] disen stunden Getrewe vber wenig	lemma_7770	CNJ|PRP	PRP	high	claude
WZB_1rb_9_2	Getrewe	du bist czu disen stunden [Getrewe] vber wenig sunden Ich wil	lemma_2278	ADJ|ADV|GRA|NOM	ADJ	high	claude
WZB_1rb_9_4	wenig	czu disen stunden Getrewe vber [wenig] sunden Ich wil dich deiner	lemma_7428	ADJ|ADV|GRA|NOM	ADJ	high	claude
WZB_1rb_10_0	sunden	disen stunden Getrewe vber wenig [sunden] Ich wil dich deiner not	lemma_5867	NOM|VRB	NOM	high	claude
WZB_1rb_10_3	Ich	stunden Getrewe vber wenig sunden [Ich] wil dich deiner not ergeczen	lemma_3001	POS|PRO	PRO	high	claude
WZB_1rb_10_4	wil	Getrewe vber wenig sunden Ich [wil] dich deiner not ergeczen Und	lemma_7473	VEM|VRB	VEM	high	claude
WZB_1rb_10_5	dich	vber wenig sunden Ich wil [dich] deiner not ergeczen Und vber	lemma_1242	ART|POS|PRO	PRO	high	claude
WZB_1rb_10_6	deiner	wenig sunden Ich wil dich [deiner] not ergeczen Und vber vil	lemma_1242	ART|POS|PRO	POS	high	claude
WZB_1rb_10_7	not	sunden Ich wil dich deiner [not] ergeczen Und vber vil gutes	lemma_4400	ADJ|ADV|GRA|NOM	NOM	high	claude
WZB_1rb_10_8	ergeczen	Ich wil dich deiner not [ergeczen] Und vber vil gutes seczen	lemma_1560	NOM|VRB	VRB	high	claude
WZB_1rb_11_3	vil	deiner not ergeczen Und vber [vil] gutes seczen Reiche ouch herre	lemma_7075	ADJ|ADV|GRA	ADV	high	claude
WZB_1rb_11_4	gutes	not ergeczen Und vber vil [gutes] seczen Reiche ouch herre deine	lemma_2573	ADJ|ADV|GRA|NOM	ADJ	high	claude
WZB_1rb_11_5	seczen	ergeczen Und vber vil gutes [seczen] Reiche ouch herre deine stewer	lemma_5423	NOM|VRB	VRB	high	claude
WZB_1rb_12_0	Reiche	Und vber vil gutes seczen [Reiche] ouch herre deine stewer Czu	lemma_4872	ADJ|ADV|GRA|NOM	ADJ	medium	claude-context
WZB_1rb_12_3	deine	gutes seczen Reiche ouch herre [deine] stewer Czu diser lieben abenttewer	lemma_1242	ART|POS|PRO	POS	high	claude
WZB_1rb_13_1	Czu	Reiche ouch herre deine stewer [Czu] diser lieben abenttewer Dem vromen	lemma_7770	CNJ|PRP	PRP	high	claude
WZB_1rb_13_3	lieben	herre deine stewer Czu diser [lieben] abenttewer Dem vromen herren der	lemma_3765	ADJ|ADV|GRA|NOM	ADJ	high	claude
WZB_1rb_13_4	abenttewer	deine stewer Czu diser lieben [abenttewer] Dem vromen herren der den					
WZB_1rb_14_2	vromen	Czu diser lieben abenttewer Dem [vromen] herren der den rat Uon					
WZB_1rb_15_4	dir	herren der den rat Uon [dir] selbe enpfangen hat Dem werden	lemma_1242	ART|POS|PRO	PRO	high	claude
WZB_1rb_15_6	enpfangen	den rat Uon dir selbe [enpfangen] hat Dem werden getrewen diener	lemma_1436	NOM|VRB	VRB	high	claude
WZB_1rb_16_0	hat	rat Uon dir selbe enpfangen [hat] Dem werden getrewen diener dein	lemma_2598	NOM|VEX|VRB	VEX	high	claude-context
WZB_1rb_16_4	werden	dir selbe enpfangen hat Dem [werden] getrewen diener dein Dem Der	lemma_7500	ADJ|ADV|GRA|NOM	ADJ	high	claude
WZB_1rb_16_5	getrewen	selbe enpfangen hat Dem werden [getrewen] diener dein Dem Der in					
WZB_1rb_17_0	dein	hat Dem werden getrewen diener [dein] Dem Der in rechter tugende	lemma_1242	ART|POS|PRO	POS	high	claude
WZB_1rb_17_8	rechter	diener dein Dem Der in [rechter] tugende kern Brinnet als ein	lemma_4840	ADJ|ADV|GRA|NOM	ADJ	high	claude-context
WZB_1rb_17_10	kern	Dem Der in rechter tugende [kern] Brinnet als ein liechter morgenstern					
WZB_1rb_18_2	ein	rechter tugende kern Brinnet als [ein] liechter morgenstern Und sich vnder	lemma_1331	ART|NUM	DET	high	claude-context
WZB_1rb_18_3	liechter	tugende kern Brinnet als ein [liechter] morgenstern Und sich vnder deinen	lemma_3759	ADJ|ADV|GRA|NOM	ADJ	high	claude
WZB_1rb_19_3	vnder	ein liechter morgenstern Und sich [vnder] deinen dienst beuget Vnd manch	lemma_6471	ADJ|ADV|GRA|PRP	PRP	high	claude
WZB_1rb_19_4	deinen	liechter morgenstern Und sich vnder [deinen] dienst beuget Vnd manch gut	lemma_1242	ART|POS|PRO	POS	high	claude
WZB_1rb_20_0	beuget	Und sich vnder deinen dienst [beuget] Vnd manch gut testament czeuget					
WZB_1rb_20_4	gut	deinen dienst beuget Vnd manch [gut] testament czeuget Vnd meret deine	lemma_2573	ADJ|ADV|GRA|NOM	ADJ	high	claude
WZB_1rb_21_0	czeuget	beuget Vnd manch gut testament [czeuget] Vnd meret deine heilige schrift					
WZB_1rb_21_4	deine	gut testament czeuget Vnd meret [deine] heilige schrift Der ouch stiftet	lemma_1242	ART|POS|PRO	POS	high	claude
WZB_1rb_21_5	heilige	testament czeuget Vnd meret deine [heilige] schrift Der ouch stiftet dise	lemma_2708	ADJ|ADV|GRA|NOM	ADJ	high	claude
WZB_1rb_23_0	Czu	Der ouch stiftet dise gestift [Czu] lobe deiner heilicheit Gib im	lemma_7770	CNJ|PRP	PRP	high	claude
WZB_1rb_23_2	deiner	stiftet dise gestift Czu lobe [deiner] heilicheit Gib im herre steticheit	lemma_1242	ART|POS|PRO	POS	high	claude
WZB_1rb_23_6	Gib	gestift Czu lobe deiner heilicheit [Gib] im herre steticheit Und dorczu	lemma_1961	NOM|VRB	VRB	high	claude
WZB_1rb_24_0	im	Czu lobe deiner heilicheit Gib [im] herre steticheit Und dorczu vrolichen	lemma_1517	POS|PRO	PRO	high	claude
WZB_1rb_25_0	vrolichen	im herre steticheit Und dorczu [vrolichen] mut Das er dicz werke	lemma_7257	ADJ|ADV|GRA	ADV	high	claude
WZB_1rb_25_1	mut	herre steticheit Und dorczu vrolichen [mut] Das er dicz werke gut	lemma_4264	ADJ|NOM	NOM	high	claude
WZB_1rb_25_4	Das	steticheit Und dorczu vrolichen mut [Das] er dicz werke gut Muze	lemma_1097	ART|CNJ	SCNJ	high	claude-context
WZB_1rb_25_5	er	Und dorczu vrolichen mut Das [er] dicz werke gut Muze volfuren	lemma_1517	POS|PRO	PRO	high	claude
WZB_1rb_26_0	gut	mut Das er dicz werke [gut] Muze volfuren in seinen tagen	lemma_2573	ADJ|ADV|GRA|NOM	ADJ	high	claude
WZB_1rb_26_2	Muze	Das er dicz werke gut [Muze] volfuren in seinen tagen Das					
WZB_1rb_26_5	seinen	werke gut Muze volfuren in [seinen] tagen Das er do mite	lemma_1517	POS|PRO	POS	high	claude
WZB_1rb_27_0	tagen	gut Muze volfuren in seinen [tagen] Das er do mite muze	lemma_5994	ADV|NOM	NOM	high	claude
WZB_1rb_27_3	Das	Muze volfuren in seinen tagen [Das] er do mite muze beiagen	lemma_1097	ART|CNJ	SCNJ	high	claude-context
WZB_1rb_27_4	er	volfuren in seinen tagen Das [er] do mite muze beiagen Der	lemma_1517	POS|PRO	PRO	high	claude
WZB_1rb_27_7	muze	tagen Das er do mite [muze] beiagen Der ewigen selden hort	lemma_4238	VEM|VRB	VEM	high	claude
WZB_1rb_28_2	ewigen	do mite muze beiagen Der [ewigen] selden hort Vreude beide hie	lemma_1292	ADJ|ADV	ADJ	high	claude
WZB_1rb_29_7	Gib	Vreude beide hie vnd dort [Gib] ouch seiner werden vrowen die	lemma_1961	NOM|VRB	VRB	high	claude
WZB_1rb_30_1	seiner	hie vnd dort Gib ouch [seiner] werden vrowen die sich lest	lemma_1517	POS|PRO	POS	high	claude
WZB_1rb_30_2	werden	vnd dort Gib ouch seiner [werden] vrowen die sich lest intrewen	lemma_7500	ADJ|ADV|GRA|NOM	ADJ	high	claude
WZB_1rb_31_1	lest	seiner werden vrowen die sich [lest] intrewen schowen zu allen cziten	lemma_3567	NOM|VRB	VRB	high	claude
WZB_1rb_31_2	intrewen	werden vrowen die sich lest [intrewen] schowen zu allen cziten loze					
WZB_1rb_31_3	schowen	vrowen die sich lest intrewen [schowen] zu allen cziten loze Recht	lemma_5295	INJ|NOM|VRB	VRB	high	claude
WZB_1rb_31_6	zu	die sich lest intrewen schowen [zu] allen cziten loze Recht als	lemma_7770	CNJ|PRP	PRP	high	claude
WZB_1rb_32_0	allen	sich lest intrewen schowen zu [allen] cziten loze Recht als ein	lemma_106	ADJ|ADV	ADJ	high	claude
WZB_1rb_32_2	loze	intrewen schowen zu allen cziten [loze] Recht als ein werde rose					
WZB_1rb_32_4	Recht	schowen zu allen cziten loze [Recht] als ein werde rose Sterck	lemma_4840	ADJ|ADV|GRA|NOM	NOM	medium	claude-context
WZB_1rb_32_6	ein	allen cziten loze Recht als [ein] werde rose Sterck vnd vollekumenheit	lemma_1331	ART|NUM	DET	high	claude-context
WZB_1rb_33_0	werde	cziten loze Recht als ein [werde] rose Sterck vnd vollekumenheit Das	lemma_7500	ADJ|ADV|GRA|NOM	ADJ	high	claude
WZB_1rb_33_1	rose	loze Recht als ein werde [rose] Sterck vnd vollekumenheit Das sie					
WZB_1rb_33_6	vollekumenheit	ein werde rose Sterck vnd [vollekumenheit] Das sie an deiner arbeit					
WZB_1rb_34_2	Das	werde rose Sterck vnd vollekumenheit [Das] sie an deiner arbeit Mit	lemma_1097	ART|CNJ	SCNJ	high	claude-context
WZB_1rb_34_3	sie	rose Sterck vnd vollekumenheit Das [sie] an deiner arbeit Mit deinen	lemma_5454	POS|PRO	PRO	high	claude
WZB_1rb_34_5	deiner	vnd vollekumenheit Das sie an [deiner] arbeit Mit deinen schriften erwerbe	lemma_1242	ART|POS|PRO	POS	high	claude
WZB_1rb_35_2	deinen	sie an deiner arbeit Mit [deinen] schriften erwerbe Das sie nymmer	lemma_1242	ART|POS|PRO	POS	high	claude
WZB_1rb_36_2	Das	arbeit Mit deinen schriften erwerbe [Das] sie nymmer ersterbe = nota bene	lemma_1097	ART|CNJ	SCNJ	high	claude-context
WZB_1rb_36_3	sie	Mit deinen schriften erwerbe Das [sie] nymmer ersterbe = nota bene PROLOGUS	lemma_5454	POS|PRO	PRO	high	claude
WZB_1rb_37_0	nota bene	Das sie nymmer ersterbe = [nota bene] PROLOGUS Bis das ir leben					
WZB_1va_2_1	das	ersterbe = nota bene PROLOGUS Bis [das] ir leben also gevalle den	lemma_1097	ART|CNJ	SCNJ	high	claude-context
WZB_1va_2_2	ir	= nota bene PROLOGUS Bis das [ir] leben also gevalle den touben	lemma_56117	POS|PRO	PRO	medium	claude-context
WZB_1va_2_3	leben	nota bene PROLOGUS Bis das ir [leben] also gevalle den touben an	lemma_3659	NOM|VRB	NOM	medium	claude-context
WZB_1va_2_5	gevalle	Bis das ir leben also [gevalle] den touben an alle galle					
WZB_1va_3_0	touben	ir leben also gevalle den [touben] an alle galle Der kvnigin	lemma_6265	ADJ|NOM	NOM	high	claude
WZB_1va_3_2	alle	also gevalle den touben an [alle] galle Der kvnigin der trewen	lemma_106	ADJ|ADV	ADJ	high	claude
WZB_1va_4_1	trewen	alle galle Der kvnigin der [trewen] vnd der eren der werden	lemma_6215	ADJ|GRA|INJ|NOM	NOM	high	claude
WZB_1va_5_1	werden	trewen vnd der eren der [werden] heren Das sie si muze	lemma_7500	ADJ|ADV|GRA|NOM	ADJ	high	claude
WZB_1va_5_5	Das	der eren der werden heren [Das] sie si muze czuchticlich furen	lemma_1097	ART|CNJ	SCNJ	high	claude-context
WZB_1va_5_6	sie	eren der werden heren Das [sie] si muze czuchticlich furen in	lemma_5454	POS|PRO	PRO	high	claude
WZB_1va_5_7	si	der werden heren Das sie [si] muze czuchticlich furen in ires	lemma_5454	POS|PRO	PRO	high	claude
WZB_1va_5_8	muze	werden heren Das sie si [muze] czuchticlich furen in ires kindes	lemma_4238	VEM|VRB	VEM	high	claude
WZB_1va_6_0	czuchticlich	heren Das sie si muze [czuchticlich] furen in ires kindes reich					
WZB_1va_6_2	furen	Das sie si muze czuchticlich [furen] in ires kindes reich Und	lemma_7283	NOM|VRB	VRB	high	claude
WZB_1va_6_4	ires	si muze czuchticlich furen in [ires] kindes reich Und gebe ir	lemma_5454	POS|PRO	POS	high	claude
WZB_1va_7_0	reich	czuchticlich furen in ires kindes [reich] Und gebe ir do der	lemma_4872	ADJ|ADV|GRA|NOM	NOM	medium	claude-context
WZB_1va_7_3	gebe	in ires kindes reich Und [gebe] ir do der trewen crone	lemma_1961	NOM|VRB	VRB	high	claude
WZB_1va_7_4	ir	ires kindes reich Und gebe [ir] do der trewen crone Nu	lemma_56117	POS|PRO	PRO	medium	claude-context
WZB_1va_7_7	trewen	Und gebe ir do der [trewen] crone Nu vnd ewiclich zu	lemma_6215	ADJ|GRA|INJ|NOM	NOM	high	claude
WZB_1va_8_2	Nu	ir do der trewen crone [Nu] vnd ewiclich zu lone Criste	lemma_4432	ADV|CNJ	ADV	high	claude
WZB_1va_8_4	ewiclich	der trewen crone Nu vnd [ewiclich] zu lone Criste des ewigen	lemma_1293	ADJ|ADV	ADV	high	claude
WZB_1va_8_5	zu	trewen crone Nu vnd ewiclich [zu] lone Criste des ewigen vaters	lemma_7770	CNJ|PRP	PRP	high	claude
WZB_1va_9_3	ewigen	ewiclich zu lone Criste des [ewigen] vaters s = svn Nu	lemma_1292	ADJ|ADV	ADJ	high	claude
WZB_1va_10_3	Nu	ewigen vaters s = svn [Nu] hilffe vns das wir also	lemma_4432	ADV|CNJ	ADV	high	claude
WZB_1va_10_4	hilffe	vaters s = svn Nu [hilffe] vns das wir also tvn	lemma_2739	INJ|NOM|VRB	VRB	high	claude
WZB_1va_10_5	vns	s = svn Nu hilffe [vns] das wir also tvn Das	lemma_7643	POS|PRO	PRO	high	claude
