file;xml_id;form;corresp;vers_n;vorvers;vers;folgevers;entscheidung;anmerkung
PRT.tei.xml;PRT_16655_3;wâren;variants.xml#type_273621;16655;er hât ûf kiuschen muot geleit;und ûf die **wâren** minne;sîn leben und die sinne;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
RLS.tei.xml;RLS_10319_2;wâren;variants.xml#type_273621;19;heizer brinnet;in der **wâren** minne glüete;her diu menscheit minnet;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
SES.tei.xml;SES_120040_2;wâren;variants.xml#type_273621;4;zünde enbrenne mîne sinne;in der **wâren** minne gluot;dâ ich inne werde gereinet;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
SFL.tei.xml;SFL_890_5;wâren;variants.xml#type_273621;89;ê ich der rede nû beginne;sô bite ich in der **wâren** minne;die diz buoch hoeren oder lesen;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
SFL.tei.xml;SFL_7350_2;wâren;variants.xml#type_273621;735;von der wart er gar enzunt;in der **wâren** minne;ern wolt niht mêre lâzen drinne;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
SFL.tei.xml;SFL_16150_2;wâren;variants.xml#type_273621;1615;ir herze ir sin als ein gluot;in der **wâren** minne bran;swâ sie einander quâmen an;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
SFL.tei.xml;SFL_19370_4;wâren;variants.xml#type_273621;1937;alsô was ein geist und ein sin;si gehullen in der **wâren** minne;mit werchen ûzen unde inne;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
SFL.tei.xml;SFL_31910_3;wâren;variants.xml#type_273621;3191;er was einvalt in rîchem sinne;gehôrsam in der **wâren** minne;süezer site und ernesthaft;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
SFL.tei.xml;SFL_32740_3;wâren;variants.xml#type_273621;3274;daz mînes herzen sinne;wurden ginnert der **wâren** minne;swer mit der wirt reht enzunt;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
SVW.tei.xml;SVW_1031200_9;wâren;variants.xml#type_273621;12;ein spiegelglanz der engelschar;kristes muoter reiniu maget hilf mir der **wâren** minne;lâ mih der lobe geniezzen diu ich hân von dir geseit;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
TRH.tei.xml;TRH_68580_3;wâren;variants.xml#type_273621;6858;herzen muot und sinne;hin zu der **wâren** minne;die unzurgenclîch immer ist;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
TRO.tei.xml;TRO_7811_3;wâren;variants.xml#type_273621;7811;ir ist ze rehter liebe gâch;und ûf der **wâren** minne pfat;diz wart bewaeret an der stat;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
TRU.tei.xml;TRU_21500_1;wâren;variants.xml#type_273621;215;unde enphalch si der minne;der **wâren** minne unde ouch der;der manec herze ist in ger;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
TRU.tei.xml;TRU_25000_3;wâren;variants.xml#type_273621;250;der vüege wie er ir entrinne;und minne die **wâren** minne;diu dâ niemer zergât;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
TSY.tei.xml;TSY_248_2;wâren;variants.xml#type_273621;248;in dem inren sinne;zuo der **wâren** minne;in mac ouch wol belangen sêre;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
TSY.tei.xml;TSY_484_3;wâren;variants.xml#type_273621;484;ez kumt ouch darzuo dicke;daz in der **wâren** minne stricke;diu sêle unwizzende geliget;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
TSY.tei.xml;TSY_492_4;wâren;variants.xml#type_273621;492;von der sie sich ein teil verstêt;wie man in der **wâren** minne;mit solher liebe umbegêt;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
TSY.tei.xml;TSY_2023_2;wâren;variants.xml#type_273621;2023;diu galle treit haz unde nît;swer der **wâren** minne phlît;der hât die güete âne gallen;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
TSY.tei.xml;TSY_2460_1;wâren;variants.xml#type_273621;2460;daz muoz in dem stricke;der **wâren** minne geschehen;ich hoer des den edeln vogeln jehen;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
TSY.tei.xml;TSY_2909_3;wâren;variants.xml#type_273621;2909;und funde wir niht drinne;daz sich der **wâren** minne;iht gelîchen mohte;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
TSY.tei.xml;TSY_2957_2;wâren;variants.xml#type_273621;2957;sô daz herze wirt enzunt;in der **wâren** minne;sô enkunnen niht wol ze sinne;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
TSY.tei.xml;TSY_3115_2;wâren;variants.xml#type_273621;3115;der hât vil durh uns getân;nâch der **wâren** minne râte;nu sul wir im sîn undertân;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
TSY.tei.xml;TSY_3350_2;wâren;variants.xml#type_273621;3350;ich füere verre deste baz;swer diu **wâren** minne hât;des herze gibt ouch wîsen rât;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
TSY.tei.xml;TSY_3362_4;wâren;variants.xml#type_273621;3362;alsam ist swer sich daz nem an;daz er ân die **wâren** minne;der êren wolde werden inne;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
TSY.tei.xml;TSY_3395_3;wâren;variants.xml#type_273621;3395;ûz dem herzen slinden;wil sie der **wâren** minne enphinden;diu ie nâch gotes hulden ranc;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
WGL.tei.xml;WGL_82670_3;wâren;variants.xml#type_273621;8267;si was gewizzen unde guot;und truoc die **wâren** minne;mit zühticlîchem sinne;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
WGL.tei.xml;WGL_84090_3;wâren;variants.xml#type_273621;8409;mit herzen und mit sinne;er truoc die **wâren** minne;ir mit ganzer staeticheit;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
WGL.tei.xml;WGL_90500_2;wâren;variants.xml#type_273621;9050;her gwîgâlois durch sîne zuht;vermeit der **wâren** minne vruht;daz er ir minne niene pflac;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
WVV.tei.xml;WVV_1111010400_9;wâren;variants.xml#type_273621;4;wie getar ich sô gevreveln under dîme rîse;ich entuon diu rehten werk ich enhân die **wâren** minne;ze mînem ebenkristen hêrre vater noch ze dir;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
WVV.tei.xml;WVV_1143040700_1;wâren;variants.xml#type_273621;7;und giht ez sî ein lüge ich tobe;der **wâren** minne giht si ganzer stætekeit;wie guot si sî wie si iemer wer;ADJ;"KZW 2026-08-25 in #367: kasusmarkierter Artikel plus flektiertes waer plus minne; vor dem Zielwort 31x der, 8x die, 1x diu, 0x daz"
