form_schluessel;lemma;tokens;grund;beispiele
alters;lemma_156;38;kein Typ fuer dieses Paar im Korpus belegt;WZB_12ra_24_1 alters | WZB_82ra_34_3 alters | WZB_82rb_10_0 alters
geheissen;lemma_18885;36;kein Typ fuer dieses Paar im Korpus belegt;WZB_4rb_6_6 geheissen | WZB_10va_36_1 geheissen | WZB_14va_9_2 geheissen
ouff;lemma_6330;35;kein Typ fuer dieses Paar im Korpus belegt;WZB_22va_17_7 ouff | WZB_39rb_33_5 ouff | WZB_48va_24_4 ouff
guldeine;lemma_2567;35;kein Typ fuer dieses Paar im Korpus belegt;WZB_22va_25_1 guldeine | WZB_56rb_16_4 guldeine | WZB_64ra_27_2 guldeine
czihet;lemma_7861;35;kein Typ fuer dieses Paar im Korpus belegt;WZB_32vb_13_2 Czihet | WZB_43va_3_2 Czihet | WZB_43vb_29_1 czihet
gepite;lemma_1971;35;kein Typ fuer dieses Paar im Korpus belegt;WZB_141va_9_3 gepite | WZB_157va_34_5 gepite | WZB_158rb_22_0 gepite
ŏl;lemma_4455;34;kein Typ fuer dieses Paar im Korpus belegt;WZB_35vb_4_2 ŏl | WZB_82vb_25_4 ŏl | WZB_82vb_26_0 ŏl
housvrow;lemma_2938;32;kein Typ fuer dieses Paar im Korpus belegt;WZB_16vb_16_4 housvrow | WZB_17rb_5_2 housvrow | WZB_18rb_4_3 housvrow
geczeuknusses;lemma_2367;32;kein Typ fuer dieses Paar im Korpus belegt;WZB_80ra_13_0 geczeuknusses | WZB_82vb_28_5 geczeuknusses | WZB_85ra_19_5 geczeuknusses
gemeiligt;lemma_18886;31;kein Typ fuer dieses Paar im Korpus belegt;WZB_38rb_15_0 gemeiligt | WZB_51va_20_1 gemeiligt | WZB_75rb_10_2 gemeiligt
ycliche;lemma_3006;31;kein Typ fuer dieses Paar im Korpus belegt;WZB_64ra_25_3 ycliche | WZB_70vb_8_4 ycliche | WZB_81rb_22_0 ycliche
pergis;lemma_521;31;kein Typ fuer dieses Paar im Korpus belegt;WZB_71vb_19_1 pergis | WZB_74ra_17_0 pergis | WZB_74ra_35_4 pergis
tŏchter;lemma_6135;30;kein Typ fuer dieses Paar im Korpus belegt;WZB_6va_22_5 tŏchter | WZB_10vb_16_2 tŏchter | WZB_11ra_4_5 tŏchter
vortilgen;lemma_6992;30;kein Typ fuer dieses Paar im Korpus belegt;WZB_7ra_32_7 vortilgen | WZB_7vb_7_2 vortilgen | WZB_9va_8_1 vortilgen
veisticheit;lemma_36292;30;kein Typ fuer dieses Paar im Korpus belegt;WZB_26rb_3_6 veisticheit | WZB_26va_25_7 veisticheit | WZB_77vb_34_5 veisticheit
heiligtumes;lemma_2710;30;kein Typ fuer dieses Paar im Korpus belegt;WZB_87rb_19_6 heiligtumes | WZB_96va_8_5 heiligtumes | WZB_96va_15_0 heiligtumes
dorvmbe;lemma_30703;29;kein Typ fuer dieses Paar im Korpus belegt;WZB_1ra_17_6 Dorvmbe | WZB_1va_20_5 Dorvmbe | WZB_4va_18_7 dorvmbe
thoho;lemma_78628;29;kein Typ fuer dieses Paar im Korpus belegt;WZB_56va_1_0 thoho | WZB_56va_1_4 thoho | WZB_57rb_38_4 thoho
weirouch;lemma_7528;28;kein Typ fuer dieses Paar im Korpus belegt;WZB_85rb_11_0 weirouch | WZB_85rb_27_4 weirouch | WZB_98ra_10_0 weirouch
silbereine;lemma_75669;26;kein Typ fuer dieses Paar im Korpus belegt;WZB_18rb_8_0 silbereine | WZB_22va_24_1 silbereine | WZB_38rb_21_1 silbereine
hŏe;lemma_2881;26;kein Typ fuer dieses Paar im Korpus belegt;WZB_27rb_9_0 hŏe | WZB_31vb_17_3 hŏe | WZB_54va_2_3 hŏe
hochczeit;lemma_2875;26;kein Typ fuer dieses Paar im Korpus belegt;WZB_28rb_31_0 hochczeit | WZB_28va_21_0 hochczeit | WZB_63rb_17_7 hochczeit
manden;lemma_3909;26;kein Typ fuer dieses Paar im Korpus belegt;WZB_66va_24_4 manden | WZB_66va_35_2 manden | WZB_73rb_18_3 manden
few̆er;lemma_7108;25;kein Typ fuer dieses Paar im Korpus belegt;WZB_10va_10_4 few̆er | WZB_17ra_36_1 few̆er | WZB_64vb_16_4 few̆er
enczunten;lemma_1511;25;kein Typ fuer dieses Paar im Korpus belegt;WZB_19va_7_0 enczunten | WZB_19va_10_1 enczunten | WZB_85va_35_2 enczunten
heiligtum;lemma_2710;25;kein Typ fuer dieses Paar im Korpus belegt;WZB_69rb_27_0 heiligtum | WZB_79va_13_4 heiligtum | WZB_82ra_2_2 heiligtum
ierige;lemma_27278;24;kein Typ fuer dieses Paar im Korpus belegt;WZB_13va_23_8 ierige | WZB_13va_24_5 ierige | WZB_123rb_35_1 ierige
ŏle;lemma_4455;24;kein Typ fuer dieses Paar im Korpus belegt;WZB_27va_21_6 ŏle | WZB_79va_7_3 ŏle | WZB_84vb_6_2 ŏle
dreissik;lemma_1222;24;kein Typ fuer dieses Paar im Korpus belegt;WZB_58vb_31_0 dreissik | WZB_59ra_11_0 dreissik | WZB_129ra_9_6 dreissik
gŏten;lemma_2465;24;kein Typ fuer dieses Paar im Korpus belegt;WZB_65ra_2_2 gŏten | WZB_75rb_35_0 gŏten | WZB_77ra_12_1 gŏten
geperunge;lemma_44214;23;kein Typ fuer dieses Paar im Korpus belegt;WZB_7rb_5_0 geperunge | WZB_7va_32_2 geperunge | WZB_8ra_11_1 geperunge
gŏte;lemma_2465;23;kein Typ fuer dieses Paar im Korpus belegt;WZB_31ra_30_4 gŏte | WZB_31rb_2_0 gŏte | WZB_31rb_7_0 gŏte
vorhank;lemma_30875;23;kein Typ fuer dieses Paar im Korpus belegt;WZB_82va_37_1 vorhank | WZB_92rb_7_2 vorhank | WZB_92vb_5_0 vorhank
reinigunge;lemma_28890;23;kein Typ fuer dieses Paar im Korpus belegt;WZB_86ra_20_1 reinigunge | WZB_99ra_20_4 reinigunge | WZB_110rb_1_5 reinigunge
ganczenczuntem;lemma_1511;23;kein Typ fuer dieses Paar im Korpus belegt;WZB_115rb_15_3 ganczenczuntem | WZB_115va_15_1 ganczenczuntem | WZB_123rb_1_3 ganczenczuntem
pzde;lemma_78628;22;kein Typ fuer dieses Paar im Korpus belegt;WZB_5rb_21_1 pzde | WZB_5rb_22_1 pzde | WZB_5rb_23_1 pzde
vortilget;lemma_6992;22;kein Typ fuer dieses Paar im Korpus belegt;WZB_8ra_36_4 vortilget | WZB_8rb_11_3 vortilget | WZB_14vb_14_6 vortilget
steigen;lemma_5763;22;kein Typ fuer dieses Paar im Korpus belegt;WZB_27rb_10_5 steigen | WZB_30va_19_0 steigen | WZB_30va_27_0 steigen
busovnen;lemma_961;22;kein Typ fuer dieses Paar im Korpus belegt;WZB_74ra_10_1 busovnen | WZB_74ra_23_4 busovnen | WZB_74vb_14_1 busovnen
hŏre;lemma_2885;20;kein Typ fuer dieses Paar im Korpus belegt;WZB_18va_19_3 hŏre | WZB_20ra_30_0 Hŏre | WZB_20rb_37_3 hŏre
ieriges;lemma_27278;20;kein Typ fuer dieses Paar im Korpus belegt;WZB_64vb_3_0 ieriges | WZB_99va_4_5 ieriges | WZB_107ra_10_5 ieriges
doum;lemma_1243;20;kein Typ fuer dieses Paar im Korpus belegt;WZB_82va_21_1 doum | WZB_82va_26_2 doum | WZB_82va_28_0 doum
friedsamen;lemma_15793;20;kein Typ fuer dieses Paar im Korpus belegt;WZB_107va_19_5 friedsamen | WZB_107vb_2_3 friedsamen | WZB_136vb_21_1 friedsamen
czihende;lemma_7861;19;kein Typ fuer dieses Paar im Korpus belegt;WZB_11va_20_1 czihende | WZB_48va_18_4 czihende | WZB_53rb_7_1 czihende
enczuntes;lemma_1511;19;kein Typ fuer dieses Paar im Korpus belegt;WZB_63vb_29_2 enczuntes | WZB_72vb_15_3 enczuntes | WZB_75ra_19_1 enczuntes
bzde;lemma_78628;19;kein Typ fuer dieses Paar im Korpus belegt;WZB_71vb_22_2 bzde | WZB_74vb_25_0 bzde | WZB_81vb_24_4 bzde
hout;lemma_2939;19;kein Typ fuer dieses Paar im Korpus belegt;WZB_85rb_12_4 hout | WZB_99rb_7_6 hout | WZB_101rb_16_4 hout
erstlinge;lemma_2;19;kein Typ fuer dieses Paar im Korpus belegt;WZB_85vb_16_4 erstlinge | WZB_92va_16_6 erstlinge | WZB_100ra_26_1 erstlinge
geperungen;lemma_44214;18;kein Typ fuer dieses Paar im Korpus belegt;WZB_7rb_7_2 geperungen | WZB_10rb_5_5 geperungen | WZB_14va_31_4 geperungen
camelen;lemma_13480;18;kein Typ fuer dieses Paar im Korpus belegt;WZB_11vb_15_5 camelen | WZB_21rb_21_3 camelen | WZB_21va_6_1 camelen
barmherczicheit;lemma_36009;18;kein Typ fuer dieses Paar im Korpus belegt;WZB_17ra_14_0 barmherczicheit | WZB_18ra_33_1 barmherczicheit | WZB_18vb_34_3 barmherczicheit
veiern;lemma_7058;18;kein Typ fuer dieses Paar im Korpus belegt;WZB_65ra_13_1 veiern | WZB_65ra_24_3 veiern | WZB_66va_34_0 veiern
ichtesicht;lemma_3022;18;kein Typ fuer dieses Paar im Korpus belegt;WZB_76vb_25_0 ichtesicht | WZB_102rb_9_2 ichtesicht | WZB_104va_21_0 ichtesicht
iacincten;lemma_3088;18;kein Typ fuer dieses Paar im Korpus belegt;WZB_79rb_34_6 iacincten | WZB_80vb_3_0 iacincten | WZB_81vb_6_2 iacincten
leuchter;lemma_27678;18;kein Typ fuer dieses Paar im Korpus belegt;WZB_80rb_27_1 leuchter | WZB_80va_9_2 leuchter | WZB_80va_21_1 leuchter
eingange;lemma_3034;18;kein Typ fuer dieses Paar im Korpus belegt;WZB_82va_35_1 eingange | WZB_94va_22_2 eingange | WZB_97vb_10_3 eingange
czorne;lemma_7897;17;kein Typ fuer dieses Paar im Korpus belegt;WZB_31va_3_2 czorne | WZB_69ra_17_4 czorne | WZB_77ra_22_3 czorne
vmringe;lemma_6433;17;kein Typ fuer dieses Paar im Korpus belegt;WZB_70va_12_1 vmringe | WZB_94vb_7_2 vmringe | WZB_98vb_7_2 vmringe
silberein;lemma_75669;17;kein Typ fuer dieses Paar im Korpus belegt;WZB_82va_16_3 silberein | WZB_95vb_30_2 silberein | WZB_96ra_4_5 silberein
vnreinikeit;lemma_36137;17;kein Typ fuer dieses Paar im Korpus belegt;WZB_91rb_9_1 vnreinikeit | WZB_102rb_7_0 vnreinikeit | WZB_102rb_10_2 vnreinikeit
vorlasenheit;lemma_45677;17;kein Typ fuer dieses Paar im Korpus belegt;WZB_102va_4_1 vorlasenheit | WZB_103va_34_1 vorlasenheit | WZB_104rb_15_3 vorlasenheit
et;lemma_78608;16;kein Typ fuer dieses Paar im Korpus belegt;WZB_2rb_32_2 et | WZB_2rb_32_4 et | WZB_55rb_23_10 et
ew̆er;lemma_56117;16;kein Typ fuer dieses Paar im Korpus belegt;WZB_9ra_25_1 ew̆er | WZB_9ra_25_4 ew̆er | WZB_15rb_23_5 ew̆er
wenn̆;lemma_7385;16;kein Typ fuer dieses Paar im Korpus belegt;WZB_12va_12_6 wenn̆ | WZB_14vb_15_5 wenn̆ | WZB_17va_17_6 wenn̆
heissen;lemma_18885;16;kein Typ fuer dieses Paar im Korpus belegt;WZB_14rb_9_3 heissen | WZB_14vb_19_0 heissen | WZB_15ra_13_1 heissen
vmhenge;lemma_9487;16;kein Typ fuer dieses Paar im Korpus belegt;WZB_80vb_12_3 vmhenge | WZB_80vb_13_4 vmhenge | WZB_81ra_11_1 vmhenge
behutest;lemma_467;16;kein Typ fuer dieses Paar im Korpus belegt;WZB_182va_19_3 behutest | WZB_183vb_29_8 behutest | WZB_187rb_4_4 behutest
is;lemma_1764;15;kein Typ fuer dieses Paar im Korpus belegt;WZB_4ra_14_1 is | WZB_25vb_22_5 is | WZB_26rb_17_1 is
czihe;lemma_7861;15;kein Typ fuer dieses Paar im Korpus belegt;WZB_12rb_13_4 czihe | WZB_22va_33_4 czihe | WZB_22vb_2_5 czihe
groses;lemma_2534;15;kein Typ fuer dieses Paar im Korpus belegt;WZB_15vb_11_0 groses | WZB_18vb_14_8 groses | WZB_42ra_36_0 groses
dorouf;lemma_1089;15;kein Typ fuer dieses Paar im Korpus belegt;WZB_19va_15_1 dorouf | WZB_27va_21_7 dorouf | WZB_31rb_14_5 dorouf
racional;lemma_45292;15;kein Typ fuer dieses Paar im Korpus belegt;WZB_79va_12_4 racional | WZB_83va_12_6 racional | WZB_83vb_8_3 racional
veldungen;lemma_6797;15;kein Typ fuer dieses Paar im Korpus belegt;WZB_80rb_5_0 veldungen | WZB_163ra_36_2 veldungen | WZB_167vb_4_2 veldungen
ganczenczunten;lemma_1511;15;kein Typ fuer dieses Paar im Korpus belegt;WZB_98va_25_3 ganczenczunten | WZB_99va_22_2 ganczenczunten | WZB_101rb_2_1 ganczenczunten
ganczenczunte;lemma_1511;15;kein Typ fuer dieses Paar im Korpus belegt;WZB_112vb_19_0 ganczenczunte | WZB_164rb_5_3 ganczenczunte | WZB_164va_32_0 ganczenczunte
creissen;lemma_3453;15;kein Typ fuer dieses Paar im Korpus belegt;WZB_127rb_12_5 creissen | WZB_172rb_3_4 creissen | WZB_178va_34_1 creissen
streitenden;lemma_5818;15;kein Typ fuer dieses Paar im Korpus belegt;WZB_131vb_26_1 streitenden | WZB_131vb_33_0 streitenden | WZB_132ra_5_1 streitenden
gegenwortigen;lemma_36573;15;kein Typ fuer dieses Paar im Korpus belegt;WZB_180ra_3_7 gegenwortigen | WZB_180vb_17_2 gegenwortigen | WZB_187ra_15_3 gegenwortigen
vorslossen;lemma_6956;14;kein Typ fuer dieses Paar im Korpus belegt;WZB_8rb_22_2 vorslossen | WZB_18rb_17_5 vorslossen | WZB_28ra_8_1 vorslossen
ruch;lemma_31613;14;kein Typ fuer dieses Paar im Korpus belegt;WZB_9ra_8_3 ruch | WZB_26ra_18_2 ruch | WZB_26ra_20_1 ruch
egiptischen;lemma_18910;14;kein Typ fuer dieses Paar im Korpus belegt;WZB_13vb_26_8 egiptischen | WZB_43rb_21_0 egiptischen | WZB_48ra_21_1 egiptischen
vorkouft;lemma_6879;14;kein Typ fuer dieses Paar im Korpus belegt;WZB_30vb_7_6 vorkouft | WZB_47rb_22_5 vorkouft | WZB_47va_4_7 vorkouft
gebrouchen;lemma_1984;14;kein Typ fuer dieses Paar im Korpus belegt;WZB_35rb_8_6 gebrouchen | WZB_83ra_6_0 gebrouchen | WZB_83rb_5_0 gebrouchen
tŏten;lemma_6133;14;kein Typ fuer dieses Paar im Korpus belegt;WZB_38rb_11_1 tŏten | WZB_54vb_13_3 tŏten | WZB_57rb_23_1 tŏten
czeuhest;lemma_7861;14;kein Typ fuer dieses Paar im Korpus belegt;WZB_78rb_24_2 czeuhest | WZB_176ra_22_6 czeuhest | WZB_185rb_21_3 czeuhest
sethimischem;lemma_16163;14;kein Typ fuer dieses Paar im Korpus belegt;WZB_81rb_21_0 sethimischem | WZB_81va_25_1 sethimischem | WZB_82ra_22_3 sethimischem
nŏrden;lemma_4424;13;kein Typ fuer dieses Paar im Korpus belegt;WZB_12rb_35_8 nŏrden | WZB_27rb_21_5 nŏrden | WZB_221rb_36_5 nŏrden
samens;lemma_5039;13;kein Typ fuer dieses Paar im Korpus belegt;WZB_14va_22_0 samens | WZB_114rb_10_1 samens | WZB_114va_20_1 samens
czweier;lemma_7929;13;kein Typ fuer dieses Paar im Korpus belegt;WZB_16vb_22_3 czweier | WZB_33va_8_0 czweier | WZB_80ra_11_1 czweier
heutigen;lemma_54849;13;kein Typ fuer dieses Paar im Korpus belegt;WZB_17vb_3_3 heutigen | WZB_25rb_20_0 heutigen | WZB_35vb_24_10 heutigen
achsil;lemma_92;13;kein Typ fuer dieses Paar im Korpus belegt;WZB_18va_27_6 achsil | WZB_21ra_35_2 achsil | WZB_21rb_12_0 achsil
getŏtet;lemma_6133;13;kein Typ fuer dieses Paar im Korpus belegt;WZB_38rb_31_5 getŏtet | WZB_54vb_14_2 getŏtet | WZB_100rb_24_6 getŏtet
erstgepornen;lemma_34610;13;kein Typ fuer dieses Paar im Korpus belegt;WZB_64rb_5_0 erstgepornen | WZB_133sra_22_1 erstgepornen | WZB_133srb_7_3 erstgepornen
humeral;lemma_2;13;kein Typ fuer dieses Paar im Korpus belegt;WZB_79va_12_0 humeral | WZB_83ra_19_1 humeral | WZB_83rb_8_7 humeral
vassen;lemma_6774;13;kein Typ fuer dieses Paar im Korpus belegt;WZB_80va_28_2 vassen | WZB_87rb_29_2 vassen | WZB_88ra_13_0 vassen
uorvluchet;lemma_7007;13;kein Typ fuer dieses Paar im Korpus belegt;WZB_204ra_2_3 Uorvluchet | WZB_204ra_5_5 Uorvluchet | WZB_204ra_8_7 Uorvluchet
vorterbte;lemma_6835;12;kein Typ fuer dieses Paar im Korpus belegt;WZB_5va_23_1 vorterbte | WZB_68va_21_2 vorterbte | WZB_88vb_32_6 vorterbte
vorgossen;lemma_6857;12;kein Typ fuer dieses Paar im Korpus belegt;WZB_9rb_8_1 vorgossen | WZB_113ra_8_0 vorgossen | WZB_113rb_17_2 vorgossen
guldeinen;lemma_68928;12;kein Typ fuer dieses Paar im Korpus belegt;WZB_21va_35_2 guldeinen | WZB_80rb_2_3 guldeinen | WZB_80rb_12_2 guldeinen
werkis;lemma_7487;12;kein Typ fuer dieses Paar im Korpus belegt;WZB_40rb_7_6 werkis | WZB_55vb_2_3 werkis | WZB_57vb_32_4 werkis
vorbrante;lemma_6824;12;kein Typ fuer dieses Paar im Korpus belegt;WZB_55rb_35_0 vorbrante | WZB_89rb_18_2 vorbrante | WZB_106ra_9_0 vorbrante
entvn;lemma_8268;12;kein Typ fuer dieses Paar im Korpus belegt;WZB_74va_22_1 entvn | WZB_123vb_3_3 entvn | WZB_124ra_9_5 entvn
weihunge;lemma_44080;12;kein Typ fuer dieses Paar im Korpus belegt;WZB_85va_22_1 weihunge | WZB_85vb_29_6 weihunge | WZB_105rb_23_2 weihunge
veistikeit;lemma_36292;12;kein Typ fuer dieses Paar im Korpus belegt;WZB_100rb_31_5 veistikeit | WZB_102ra_22_5 veistikeit | WZB_105ra_31_6 veistikeit
morserl;lemma_26724;12;kein Typ fuer dieses Paar im Korpus belegt;WZB_138ra_36_1 morserl | WZB_138rb_21_0 morserl | WZB_138va_5_0 morserl
schŏne;lemma_5280;11;kein Typ fuer dieses Paar im Korpus belegt;WZB_3vb_23_2 schŏne | WZB_4va_20_5 schŏne | WZB_7ra_9_5 schŏne
yeclicher;lemma_3006;11;kein Typ fuer dieses Paar im Korpus belegt;WZB_5vb_13_5 yeclicher | WZB_5vb_17_5 yeclicher | WZB_14vb_9_2 yeclicher
ereine;lemma_1285;11;kein Typ fuer dieses Paar im Korpus belegt;WZB_6ra_25_3 ereine | WZB_81ra_34_2 ereine | WZB_82rb_2_0 ereine
dreissick;lemma_1222;11;kein Typ fuer dieses Paar im Korpus belegt;WZB_6va_21_15 dreissick | WZB_7rb_28_4 dreissick | WZB_11ra_5_2 dreissick
czweihundert;lemma_7931;11;kein Typ fuer dieses Paar im Korpus belegt;WZB_11ra_8_3 czweihundert | WZB_11ra_12_7 czweihundert | WZB_11rb_12_6 czweihundert
eslinne;lemma_27421;11;kein Typ fuer dieses Paar im Korpus belegt;WZB_11vb_15_3 eslinne | WZB_48ra_35_0 eslinne | WZB_51vb_14_7 eslinne
ŏsten;lemma_4449;11;kein Typ fuer dieses Paar im Korpus belegt;WZB_12va_2_5 ŏsten | WZB_27rb_21_1 ŏsten | WZB_27vb_3_4 ŏsten
knechtils;lemma_3377;11;kein Typ fuer dieses Paar im Korpus belegt;WZB_34va_33_1 knechtils | WZB_54ra_21_0 knechtils | WZB_91vb_10_1 knechtils
hŏren;lemma_2885;11;kein Typ fuer dieses Paar im Korpus belegt;WZB_42ra_27_0 hŏren | WZB_56ra_27_1 hŏren | WZB_56rb_25_0 hŏren
besiczest;lemma_582;11;kein Typ fuer dieses Paar im Korpus belegt;WZB_47va_31_4 besiczest | WZB_47vb_3_2 besiczest | WZB_78rb_33_0 besiczest
czouberer;lemma_7903;11;kein Typ fuer dieses Paar im Korpus belegt;WZB_59vb_6_1 czouberer | WZB_60ra_21_2 czouberer | WZB_60vb_26_4 czouberer
wonungen;lemma_7697;11;kein Typ fuer dieses Paar im Korpus belegt;WZB_65rb_12_1 wonungen | WZB_71va_9_1 wonungen | WZB_92va_11_3 wonungen
vbirdecke;lemma_46787;11;kein Typ fuer dieses Paar im Korpus belegt;WZB_81ra_16_2 vbirdecke | WZB_81ra_24_0 vbirdecke | WZB_81ra_27_2 vbirdecke
ereinen;lemma_1285;11;kein Typ fuer dieses Paar im Korpus belegt;WZB_82rb_14_4 ereinen | WZB_82va_8_3 ereinen | WZB_82va_15_3 ereinen
opfertires;lemma_6080;11;kein Typ fuer dieses Paar im Korpus belegt;WZB_85rb_29_5 opfertires | WZB_99ra_18_3 opfertires | WZB_101rb_13_1 opfertires
meiligt;lemma_18886;11;kein Typ fuer dieses Paar im Korpus belegt;WZB_88rb_3_0 meiligt | WZB_104vb_16_1 meiligt | WZB_110ra_12_5 meiligt
ganczenczuntes;lemma_1511;11;kein Typ fuer dieses Paar im Korpus belegt;WZB_99ra_11_6 ganczenczuntes | WZB_103va_7_2 ganczenczuntes | WZB_123vb_13_1 ganczenczuntes
svndet;lemma_5867;11;kein Typ fuer dieses Paar im Korpus belegt;WZB_100vb_30_5 svndet | WZB_100vb_36_0 svndet | WZB_101va_34_4 svndet
opfernde;lemma_4489;11;kein Typ fuer dieses Paar im Korpus belegt;WZB_102vb_27_0 opfernde | WZB_105ra_28_5 opfernde | WZB_107ra_18_4 opfernde
numeri;lemma_2;11;kein Typ fuer dieses Paar im Korpus belegt;WZB_130ra_32_1 Numeri | WZB_135ra_2_0 Numeri | WZB_136ra_2_0 Numeri
flute;lemma_7152;10;kein Typ fuer dieses Paar im Korpus belegt;WZB_7rb_37_1 flute | WZB_7vb_13_1 flute | WZB_7vb_18_3 flute
vortilgte;lemma_6992;10;kein Typ fuer dieses Paar im Korpus belegt;WZB_8rb_7_5 vortilgte | WZB_88vb_33_6 vortilgte | WZB_161ra_9_0 vortilgte
czeucht;lemma_7861;10;kein Typ fuer dieses Paar im Korpus belegt;WZB_10rb_28_0 czeucht | WZB_12rb_21_0 czeucht | WZB_23va_18_0 czeucht
wustnunge;lemma_59071;10;kein Typ fuer dieses Paar im Korpus belegt;WZB_14ra_31_1 wustnunge | WZB_115vb_25_5 wustnunge | WZB_147vb_13_5 wustnunge
uorwar;lemma_8989;10;kein Typ fuer dieses Paar im Korpus belegt;WZB_14rb_20_3 Uorwar | WZB_30va_9_0 Uorwar | WZB_56vb_21_3 Uorwar
wŏlle;lemma_7473;10;kein Typ fuer dieses Paar im Korpus belegt;WZB_16rb_27_2 wŏlle | WZB_16va_22_0 wŏlle | WZB_25va_32_10 wŏlle
vŏrchte;lemma_7298;10;kein Typ fuer dieses Paar im Korpus belegt;WZB_18vb_10_10 vŏrchte | WZB_24vb_31_1 vŏrchte | WZB_25va_31_6 vŏrchte
hŏret;lemma_2885;10;kein Typ fuer dieses Paar im Korpus belegt;WZB_20rb_8_5 hŏret | WZB_51va_11_0 hŏret | WZB_51va_11_5 hŏret
eldisten;lemma_155;10;kein Typ fuer dieses Paar im Korpus belegt;WZB_20va_35_0 eldisten | WZB_127va_13_0 eldisten | WZB_197vb_2_6 eldisten
besasen;lemma_582;10;kein Typ fuer dieses Paar im Korpus belegt;WZB_61vb_13_6 besasen | WZB_156va_7_5 besasen | WZB_156vb_9_3 besasen
czehende;lemma_7780;10;kein Typ fuer dieses Paar im Korpus belegt;WZB_71va_3_2 czehende | WZB_102vb_1_1 czehende | WZB_103vb_10_3 czehende
ochsens;lemma_4480;10;kein Typ fuer dieses Paar im Korpus belegt;WZB_74vb_9_4 ochsens | WZB_76ra_17_1 ochsens | WZB_76rb_15_1 ochsens
stengil;lemma_15183;10;kein Typ fuer dieses Paar im Korpus belegt;WZB_80rb_31_6 stengil | WZB_80rb_33_5 stengil | WZB_80rb_37_1 stengil
vngemeiligte;lemma_18886;10;kein Typ fuer dieses Paar im Korpus belegt;WZB_84vb_3_0 vngemeiligte | WZB_101vb_27_3 vngemeiligte | WZB_112vb_3_0 vngemeiligte
nirlein;lemma_26768;10;kein Typ fuer dieses Paar im Korpus belegt;WZB_85rb_9_0 nirlein | WZB_100va_32_5 nirlein | WZB_100vb_14_1 nirlein
