xml_id;form;form_schluessel;lemma;pos;typ;belege_ausserhalb_wzb;sigel_anzahl;sigel_probe
WZB_1rb_11_4;gutes;gutes;lemma_2573;ADJ;type_42821;381;122;AC1 AC2 AC3 AGS AUN AXW AZW BIL
WZB_1rb_12_0;Reiche;reiche;lemma_4872;ADJ;type_84300;33;5;EHB NEI NEIC PUC VTC
WZB_1rb_12_1;ouch;ouch;lemma_4523;CCNJ;type_15677;22328;475;ABG ABS ADP AGS AK ALL AMI AML
WZB_1rb_12_2;herre;herre;lemma_2684;NOM;type_9039;15932;320;AC1 AC2 AC3 ADP AK AMI APO AX
WZB_1rb_12_4;stewer;stewer;lemma_5779;NOM;type_115683;11;8;AC2 DTF GAR HZU2 MSG NEI NEIC VTC
WZB_1rb_13_2;diser;diser;lemma_1169;DET;type_3692;1417;133;AC1 AC2 AC3 ADP AK APO ASG ATF
WZB_1rb_14_3;herren;herren;lemma_2684;NOM;type_9040;8925;255;AC1 AC2 AC3 ADP AK ALL AMI AML
WZB_1rb_15_1;rat;rat;lemma_4786;NOM;type_79325;137;30;AGS CDV DML DSA DSE DUZ EWV FDS
WZB_1rb_17_0;dein;dein;lemma_1242;POS;type_67142;2610;69;AC1 AC2 AC3 ALX APO ASG AXW BAB
WZB_1rb_17_7;in;in;lemma_3028;PRP;type_10369;7459;339;ABS AC1 AC3 ADP AGS AK ALL AMI
WZB_1rb_18_2;ein;ein;lemma_1331;DET;type_4319;32235;383;AC1 AC2 AC3 ADP AGS AK ALL AMI
WZB_1rb_19_5;dienst;dienst;lemma_1146;NOM;type_3608;1376;180;ADP AK APO ATF AXH AXR AXS AXU
WZB_1rb_20_4;gut;gut;lemma_2573;ADJ;type_42794;1488;91;AGS ALL AML AUN BES BIB BIM BZI
WZB_1rb_21_3;meret;meret;lemma_4035;VRB;type_14100;67;43;ADP APO ASG BRW CRO DFR DHW DLF
WZB_1rb_22_0;schrift;schrift;lemma_5315;NOM;type_18513;666;83;ADP AK AML AX AXH AXR AXU BAR
WZB_1rb_22_4;ouch;ouch;lemma_4523;CCNJ;type_15677;22328;475;ABG ABS ADP AGS AK ALL AMI AML
WZB_1rb_22_6;dise;dise;lemma_1169;DET;type_3688;3433;230;AC2 ADP AK AMI APO ATF AUP AXH
WZB_1rb_24_0;im;im;lemma_1517;PRO;type_32780;53217;434;ABS AC1 AC2 AC3 ADP AGS AK AMI
WZB_1rb_24_1;herre;herre;lemma_2684;NOM;type_9039;15932;320;AC1 AC2 AC3 ADP AK AMI APO AX
WZB_1rb_25_0;vrolichen;vrolichen;lemma_7257;ADV;type_67128;38;18;ADP BKN BRZ CHH DBK DFR DMA GFM
WZB_1rb_26_0;gut;gut;lemma_2573;ADJ;type_42794;1488;91;AGS ALL AML AUN BES BIB BIM BZI
WZB_1rb_26_3;volfuren;volfuren;lemma_7191;VRB;type_310696;6;2;PL2 PL3
WZB_1rb_26_4;in;in;lemma_3028;PRP;type_10369;7459;339;ABS AC1 AC3 ADP AGS AK ALL AMI
WZB_1rb_27_5;do;do;lemma_1180;ADV;type_3738;20157;256;ADP AK AMI AML ARB AT AUK AUN
WZB_1rb_27_7;muze;muze;lemma_4238;VEM;type_311941;9;7;BES BMG HUJ MAG TUF UKN VAT
WZB_1rb_28_2;ewigen;ewigen;lemma_1292;ADJ;type_4211;614;92;AC1 AC2 AC3 ADP AMI APO BEK BIL
WZB_1rb_28_3;selden;selden;lemma_5051;NOM;type_78881;34;6;AML DMK FR1 FR3 JT MZR
WZB_1rb_29_4;dort;dort;lemma_1205;ADV;type_3811;3068;261;AC1 AC2 AC3 ADP AK ALX AMI ARK
WZB_1rb_30_0;ouch;ouch;lemma_4523;CCNJ;type_15677;22328;475;ABG ABS ADP AGS AK ALL AMI AML
WZB_1rb_30_6;die;die;lemma_1139;DET;type_3568;152340;644;ABG ABS AC1 AC2 AC3 ADP AGS AK
WZB_1rb_31_1;lest;lest;lemma_3567;VRB;type_85571;7;3;JT NEI NEIC
WZB_1rb_31_6;zu;zu;lemma_7770;PRP;type_31260;30290;332;ABS AC1 AC2 AC3 ADP AGS ALX AMI
WZB_1rb_32_1;cziten;cziten;lemma_7857;NOM;type_223489;6;2;MR2 TKA
WZB_1rb_32_4;Recht;recht;lemma_4840;NOM;type_42728;3432;164;ABS AC1 AC2 AC3 ADP APO ASG ATF
WZB_1rb_32_6;ein;ein;lemma_1331;DET;type_4319;32235;383;AC1 AC2 AC3 ADP AGS AK ALL AMI
WZB_1rb_34_3;sie;sie;lemma_5454;PRO;type_19044;296;60;AC1 AML AXH AXU BAR BIM CR DA
WZB_1rb_34_4;an;an;lemma_199;PRP;type_522;37541;356;ABS AC1 AC2 ADP AGS AK ALL AMI
WZB_1rb_34_6;arbeit;arbeit;lemma_269;NOM;type_741;1674;177;AC1 AC2 AC3 ADP AK AMI APO AUN
WZB_1rb_36_3;sie;sie;lemma_5454;PRO;type_19044;296;60;AC1 AML AXH AXU BAR BIM CR DA
WZB_1va_2_4;also;also;lemma_152;ADV;type_378;14303;424;ABS AC1 AC2 AC3 ADP AGS AK ALL
WZB_1va_3_1;an;an;lemma_199;PRP;type_522;37541;356;ABS AC1 AC2 ADP AGS AK ALL AMI
WZB_1va_4_1;trewen;trewen;lemma_6215;NOM;type_93755;355;48;AC2 AC3 ALX AXW BKN BVSN DDE DEH
WZB_1va_4_4;eren;eren;lemma_1282;NOM;type_42751;550;49;AUN CRO DAL DFK DHP DJB DKR DMA
WZB_1va_5_2;heren;heren;lemma_2684;NOM;type_95880;28;4;HZU2 PUC RCC TKR
WZB_1va_5_6;sie;sie;lemma_5454;PRO;type_19044;296;60;AC1 AML AXH AXU BAR BIM CR DA
WZB_1va_5_7;si;si;lemma_5454;PRO;type_19043;1833;164;ADP AGS AUK AXS BDK BRH BUH BUS
WZB_1va_5_8;muze;muze;lemma_4238;VEM;type_311941;9;7;BES BMG HUJ MAG TUF UKN VAT
WZB_1va_6_2;furen;furen;lemma_7283;VRB;type_92602;22;5;DBD DSA PL2 PUC TKR
WZB_1va_7_3;gebe;gebe;lemma_1961;VRB;type_6622;529;93;ADP AGS ALL AMI AT AX AXR AXU
WZB_1va_7_5;do;do;lemma_1180;ADV;type_3738;20157;256;ADP AK AMI AML ARB AT AUK AUN
WZB_1va_7_7;trewen;trewen;lemma_6215;NOM;type_93755;355;48;AC2 AC3 ALX AXW BKN BVSN DDE DEH
WZB_1va_8_0;crone;crone;lemma_3480;NOM;type_35345;171;26;ADP AZW CRO DJUM EAL FLG FLG1 FR1
WZB_1va_8_2;Nu;nu;lemma_4432;ADV;type_15441;21525;515;AC1 AC2 AC3 ADP AK ALX AMI AML
WZB_1va_8_4;ewiclich;ewiclich;lemma_1293;ADV;type_47502;58;23;AXW CRO DFE DJUM DLF DRE DUM FDS
WZB_1va_8_5;zu;zu;lemma_7770;PRP;type_31260;30290;332;ABS AC1 AC2 AC3 ADP AGS ALX AMI
WZB_1va_9_3;ewigen;ewigen;lemma_1292;ADJ;type_4211;614;92;AC1 AC2 AC3 ADP AMI APO BEK BIL
WZB_1va_10_3;Nu;nu;lemma_4432;ADV;type_15441;21525;515;AC1 AC2 AC3 ADP AK ALX AMI AML
WZB_1va_11_0;wir;wir;lemma_7643;PRO;type_27647;23896;408;AC1 AC2 AC3 ADP AK AMI ANN APO
WZB_1va_11_1;also;also;lemma_152;ADV;type_378;14303;424;ABS AC1 AC2 AC3 ADP AGS AK ALL
WZB_1va_12_3;Dein;dein;lemma_1242;POS;type_67142;2610;69;AC1 AC2 AC3 ALX APO ASG AXW BAB
WZB_1va_12_6;dar;dar;lemma_1055;ADV;type_3258;32584;564;ABG AC2 ADP AK ALX AMI AML ANN
WZB_1va_13_3;In;in;lemma_3028;PRP;type_10369;7459;339;ABS AC1 AC3 ADP AGS AK ALL AMI
WZB_1va_13_6;arbeit;arbeit;lemma_269;NOM;type_741;1674;177;AC1 AC2 AC3 ADP AK AMI APO AUN
WZB_1va_14_3;dein;dein;lemma_1242;POS;type_67142;2610;69;AC1 AC2 AC3 ALX APO ASG AXW BAB
WZB_1va_15_0;wir;wir;lemma_7643;PRO;type_27647;23896;408;AC1 AC2 AC3 ADP AK AMI ANN APO
WZB_1va_15_2;han;han;lemma_2598;VEX;type_8755;748;99;ADP AMI BES BMG BST BUS BZI CRO
WZB_1va_16_1;schrifte;schrifte;lemma_5315;NOM;type_18514;62;25;AK AX AXH AXU CHH DJUM DL1 FR1
WZB_1va_16_5;Die;die;lemma_1139;DET;type_3568;152340;644;ABG ABS AC1 AC2 AC3 ADP AGS AK
WZB_1va_17_1;noch;noch;lemma_4415;PRP;type_15400;9523;250;ADP AGS AK AMI AML ANN AT AX
WZB_1va_18_0;So;so;lemma_5601;ADV;type_19596;46543;550;ABS AC1 AC2 AC3 ADP AGS AK ALL
WZB_1va_18_2;wir;wir;lemma_7643;PRO;type_27647;23896;408;AC1 AC2 AC3 ADP AK AMI ANN APO
WZB_1va_18_7;Sie;sie;lemma_5454;PRO;type_19044;296;60;AC1 AML AXH AXU BAR BIM CR DA
WZB_1va_19_2;richten;richten;lemma_4913;VRB;type_45800;190;61;AC1 AC2 AC3 ADP APO ATF AXS AXV
WZB_1va_21_1;dein;dein;lemma_1242;POS;type_67142;2610;69;AC1 AC2 AC3 ALX APO ASG AXW BAB
WZB_1va_21_5;Die;die;lemma_1139;DET;type_3568;152340;644;ABG ABS AC1 AC2 AC3 ADP AGS AK
WZB_1va_21_6;diser;diser;lemma_1169;DET;type_3692;1417;133;AC1 AC2 AC3 ADP AK APO ASG ATF
WZB_1va_23_2;von;von;lemma_7193;PRP;type_25544;107920;623;ABG ABS AC1 AC2 AC3 ADP AGS AK
WZB_1va_23_4;verre;verre;lemma_6913;ADV;type_24376;2351;240;ABG AC2 ADP AK AMI ANN APO AT
WZB_1va_24_0;Dar;dar;lemma_1055;ADV;type_3258;32584;564;ABG AC2 ADP AK ALX AMI AML ANN
WZB_1va_25_0;wider;wider;lemma_7557;PRP;type_27392;6119;183;AC2 ADP AGS ALL AMI ANN APO AT
WZB_1va_25_3;gahen;gahen;lemma_1842;VRB;type_6275;288;58;AXW BRW BZI CHH CRO DAR DDE DEK
WZB_1va_26_2;selden;selden;lemma_5051;NOM;type_78881;34;6;AML DMK FR1 FR3 JT MZR
WZB_1va_26_5;Die;die;lemma_1139;DET;type_3568;152340;644;ABG ABS AC1 AC2 AC3 ADP AGS AK
WZB_1va_27_4;sele;sele;lemma_5349;NOM;type_18609;2368;185;AC1 AC2 AC3 ADP AGS ALL AMI BES
WZB_1va_28_0;suchen;suchen;lemma_5903;VRB;type_41031;328;62;AC1 AC2 AC3 AXW BVSN CEFB CLV CRO
WZB_1va_28_4;sie;sie;lemma_5454;PRO;type_19044;296;60;AC1 AML AXH AXU BAR BIM CR DA
WZB_1va_28_7;Buchen;buchen;lemma_936;NOM;type_115104;30;20;ADP DDE DGP DKK DMN FR1 FR3 GEI
WZB_1va_30_4;in;in;lemma_3028;PRP;type_10369;7459;339;ABS AC1 AC3 ADP AGS AK ALL AMI
WZB_1va_30_5;liebe;liebe;lemma_3765;ADJ;type_13105;409;79;AGS AML AUK AXS BUH BVL BVO CKI
WZB_1va_31_4;herre;herre;lemma_2684;NOM;type_9039;15932;320;AC1 AC2 AC3 ADP AK AMI APO AX
WZB_1va_31_8;liebe;liebe;lemma_3765;ADJ;type_13105;409;79;AGS AML AUK AXS BUH BVL BVO CKI
WZB_1va_31_9;buch;buch;lemma_936;NOM;type_60413;113;21;AXW DTP ESB HUL KMR MAI NEI NEIR
WZB_1va_31_11;do;do;lemma_1180;ADV;type_3738;20157;256;ADP AK AMI AML ARB AT AUK AUN
WZB_1va_31_12;von;von;lemma_7193;PRP;type_25544;107920;623;ABG ABS AC1 AC2 AC3 ADP AGS AK
WZB_1va_32_4;mein;mein;lemma_3001;POS;type_83864;880;21;AC2 CRO DBE DNT HUG HZU HZU2 MAI
WZB_1va_33_0;frunt;frunt;lemma_7246;NOM;type_46035;274;25;ADP CLV CRO DIO DJUM ENE FLG1 FR3
WZB_1va_34_6;mir;mir;lemma_3001;PRO;type_10237;48071;519;ABG AC1 AC2 AC3 ADP AK ALL ALX
WZB_1va_34_7;slafen;slafen;lemma_5517;VRB;type_19299;71;27;AC1 AC2 AC3 ADP AMI AZW DJEM DKK
WZB_1va_35_3;Idoch;idoch;lemma_3005;ADV;type_10248;308;52;AC2 AZW DFL DFR DGP DIS DKK DMA
WZB_1va_35_4;mein;mein;lemma_3001;POS;type_83864;880;21;AC2 CRO DBE DNT HUG HZU HZU2 MAI
WZB_1va_35_6;wachet;wachet;lemma_7346;VRB;type_26479;55;40;ADP BUH BVSN CLV CR CRO DJEM DWA
WZB_1va_36_2;Nun;nun;lemma_4432;ADV;type_15443;1422;90;AC2 ADP APO AT ATF AXS AXW BAB
WZB_1va_36_3;herre;herre;lemma_2684;NOM;type_9039;15932;320;AC1 AC2 AC3 ADP AK AMI APO AX
WZB_1va_36_4;in;in;lemma_3028;PRP;type_10369;7459;339;ABS AC1 AC3 ADP AGS AK ALL AMI
WZB_1vb_3_4;wir;wir;lemma_7643;PRO;type_27647;23896;408;AC1 AC2 AC3 ADP AK AMI ANN APO
WZB_1vb_3_5;in;in;lemma_3028;PRP;type_10369;7459;339;ABS AC1 AC3 ADP AGS AK ALL AMI
WZB_1vb_4_2;Dein;dein;lemma_1242;POS;type_67142;2610;69;AC1 AC2 AC3 ALX APO ASG AXW BAB
WZB_1vb_4_4;also;also;lemma_152;ADV;type_378;14303;424;ABS AC1 AC2 AC3 ADP AGS AK ALL
WZB_1vb_5_3;wir;wir;lemma_7643;PRO;type_27647;23896;408;AC1 AC2 AC3 ADP AK AMI ANN APO
WZB_1vb_6_6;rechten;rechten;lemma_4840;ADJ;type_42560;1245;124;ABS AC1 AC2 AC3 ADP APO ATF AXW
WZB_1vb_7_2;segens;segens;lemma_5363;NOM;type_18654;20;17;AXU FH GFM HUL JT MSG OVG PKP
WZB_1vb_8_0;So;so;lemma_5601;ADV;type_19596;46543;550;ABS AC1 AC2 AC3 ADP AGS AK ALL
WZB_1vb_8_1;du;du;lemma_1242;PRO;type_3966;1303;167;ABS ADP APO ARB AXU BMG BRH BST
WZB_1vb_8_3;gutlichen;gutlichen;lemma_2574;ADV;type_95742;37;16;AC2 AC3 BAB DMA DMN MAI NBU PL2
WZB_1vb_9_0;in;in;lemma_5454;PRO;type_305666;530;122;ADP ALL AML AUK BES BIM BMG BRF
WZB_1vb_11_0;mein;mein;lemma_3001;POS;type_83864;880;21;AC2 CRO DBE DNT HUG HZU HZU2 MAI
WZB_1vb_11_5;von;von;lemma_7193;PRP;type_25544;107920;623;ABG ABS AC1 AC2 AC3 ADP AGS AK
WZB_1vb_12_0;ich;ich;lemma_3001;PRO;type_10212;138359;601;ABG AC1 AC2 AC3 ADP AGS AK ALL
WZB_1vb_12_2;Han;han;lemma_2598;VEX;type_8755;748;99;ADP AMI BES BMG BST BUS BZI CRO
WZB_1vb_12_3;bereitet;bereitet;lemma_527;VRB;type_1556;302;82;ADP AMI APO AT AXH AXR AXS AXU
WZB_1vb_12_4;ewiclich;ewiclich;lemma_1293;ADV;type_47502;58;23;AXW CRO DFE DJUM DLF DRE DUM FDS
WZB_1vb_13_3;wider;wider;lemma_7557;ADV;type_27392;6119;183;AC2 ADP AGS ALL AMI ANN APO AT
WZB_1vb_13_4;var;var;lemma_6761;VRB;type_23645;83;24;BUH BVL DA DAL DSK FD FH FP
WZB_1vb_14_2;die;die;lemma_1139;DET;type_3568;152340;644;ABG ABS AC1 AC2 AC3 ADP AGS AK
WZB_1vb_14_7;Die;die;lemma_1139;DET;type_3568;152340;644;ABG ABS AC1 AC2 AC3 ADP AGS AK
WZB_1vb_15_0;in;in;lemma_3028;PRP;type_10369;7459;339;ABS AC1 AC3 ADP AGS AK ALL AMI
WZB_1vb_15_2;iungen;iungen;lemma_3157;ADJ;type_77655;77;17;AGS ANN DMB GAR JT NEI NEIC NEIM
WZB_1vb_16_2;getragen;getragen;lemma_6171;VRB;type_21745;1111;183;AC1 AC2 AC3 ADP AK AMI APO AT
WZB_1vb_16_5;In;in;lemma_3028;PRP;type_10369;7459;339;ABS AC1 AC3 ADP AGS AK ALL AMI
WZB_1vb_18_8;gotes;gotes;lemma_2465;NOM;type_8256;4244;278;ABG AC1 AC3 ADP AGS AK ALL ALX
WZB_1vb_19_3;Die;die;lemma_1139;DET;type_3568;152340;644;ABG ABS AC1 AC2 AC3 ADP AGS AK
WZB_1vb_20_0;vinden;vinden;lemma_7048;NOM;type_78453;114;35;ADP DME DTP DZH ESB FDS FR1 GAR
WZB_1vb_20_3;in;in;lemma_3028;PRP;type_10369;7459;339;ABS AC1 AC3 ADP AGS AK ALL AMI
WZB_1vb_21_7;die;die;lemma_1139;DET;type_3568;152340;644;ABG ABS AC1 AC2 AC3 ADP AGS AK
WZB_1vb_22_0;got;got;lemma_2465;NOM;type_8253;21621;519;ABG AC1 AC3 ADP AGS AK ALL ALX
WZB_1vb_22_1;von;von;lemma_7193;PRP;type_25544;107920;623;ABG ABS AC1 AC2 AC3 ADP AGS AK
WZB_1vb_22_4;von;von;lemma_7193;PRP;type_25544;107920;623;ABG ABS AC1 AC2 AC3 ADP AGS AK
WZB_1vb_22_5;sinnen;sinnen;lemma_5491;VRB;type_19186;493;69;AK AMI AX AXH AXR AXU BAR BRF
WZB_1vb_23_1;die;die;lemma_1139;DET;type_3568;152340;644;ABG ABS AC1 AC2 AC3 ADP AGS AK
WZB_1vb_23_3;schrift;schrift;lemma_5315;NOM;type_18513;666;83;ADP AK AML AX AXH AXR AXU BAR
