lemma_id;lemma;normalisiert;pos;pos_alle;ist_name;sprachkonzepte;konzepte_gesamt;belege;texte;belegklasse;handpruefung
lemma_28;abbet;abbet;NOM;NOM;nein;Lateinisch;4;739;54;ab 501;ja
lemma_3271;Keie;keie;NAM;NAM;ja;Französisch;3;739;23;ab 501;nein
lemma_4978;rote;rote;NOM;NOM VRB;nein;Französisch;7;738;75;ab 501;ja
lemma_374;baniere;baniere;NOM;NOM;nein;Französisch;6;735;81;ab 501;ja
lemma_4574;Parzival;parzival;NAM;NAM;ja;Französisch;3;714;34;ab 501;nein
lemma_4134;minner;minner;ADJ;ADJ ADV GRA NOM;nein;Lateinisch;4;713;161;ab 501;ja
lemma_4605;Petrus;petrus;NAM;NAM VRB;ja;Lateinisch;4;660;74;ab 501;nein
lemma_11206;Achilles;achilles;NAM;NAM;ja;Griechisch;4;651;22;ab 501;nein
lemma_3242;Carolus;carolus;NAM;NAM;ja;Lateinisch;3;648;43;ab 501;nein
lemma_1404;Aeneas;aeneas;NAM;NAM;ja;Griechisch, Lateinisch;4;620;26;ab 501;nein
lemma_1033;creatura;creatura;NOM;NOM;nein;Lateinisch;7;620;115;ab 501;ja
lemma_5603;soldân;soldan;NOM;NOM;nein;Arabisch;7;613;19;ab 501;ja
lemma_20874;Hestor;hestor;NAM;NAM;ja;Griechisch;3;607;3;ab 501;nein
lemma_13989;dominus;dominus;NOM;NOM;nein;Lateinisch;9;603;43;ab 501;ja
lemma_10599;mort;mort;INJ;INJ NOM;nein;Französisch;9;594;132;ab 501;ja
lemma_1083;Darius;darius;NAM;NAM;ja;Persisch;3;562;23;ab 501;nein
lemma_9293;Romære;romaere;NAM;NAM;ja;Lateinisch;4;548;67;ab 501;nein
lemma_27037;item;item;ADV;ADV CNJ;nein;Lateinisch;3;540;30;ab 501;ja
lemma_1785;fîn;fin;ADJ;ADJ ADV GRA NOM;nein;Französisch;3;523;95;ab 501;ja
lemma_1096;David;david;NAM;NAM;ja;Hebräisch;4;497;78;101 bis 500;nein
lemma_18884;Sankt;sankt;NAM;NAM;ja;Lateinisch;6;454;64;101 bis 500;nein
lemma_6045;templum;templum;NOM;NOM;nein;Lateinisch;4;447;64;101 bis 500;nein
lemma_24489;etcetera;etcetera;ADV;ADV;nein;Lateinisch;2;446;30;101 bis 500;nein
lemma_156;altar;altar;NOM;NOM;nein;Lateinisch;2;415;54;101 bis 500;nein
lemma_20923;Lionel;lionel;NAM;NAM;ja;Französisch;4;414;4;101 bis 500;nein
lemma_6036;tabula;tabula;NOM;NOM;nein;Lateinisch;11;414;60;101 bis 500;nein
lemma_26104;annus;annus;ADV;ADV NOM;nein;Lateinisch;2;406;8;101 bis 500;nein
lemma_18304;Wenzeslaw;wenzeslaw;NAM;NAM;ja;Tschechisch;3;405;15;101 bis 500;nein
lemma_2736;Helena;helena;NAM;NAM;ja;Griechisch;3;396;44;101 bis 500;nein
lemma_1820;Franzois;franzois;NAM;NAM;ja;Einzelsprachen, Französisch;5;394;34;101 bis 500;nein
lemma_20139;Priamus;priamus;NAM;NAM;ja;Griechisch;3;387;11;101 bis 500;nein
lemma_6810;Venus;venus;NAM;NAM;ja;Lateinisch;7;380;61;101 bis 500;nein
lemma_187;amîe;amie;NOM;NOM;nein;Französisch, Lateinisch;6;379;49;101 bis 500;nein
lemma_1068;Daniel;daniel;NAM;NAM;ja;Hebräisch;5;378;38;101 bis 500;nein
lemma_3387;Köln;koeln;NAM;NAM;ja;Lateinisch;2;369;26;101 bis 500;nein
lemma_6167;trache;trache;NOM;NOM;nein;Griechisch, Lateinisch;6;363;70;101 bis 500;nein
lemma_4642;Philippus;philippus;NAM;NAM;ja;Griechisch, Lateinisch;5;362;38;101 bis 500;nein
lemma_3935;Mahmet;mahmet;NAM;NAM;ja;Arabisch;4;354;26;101 bis 500;nein
lemma_4010;massenîe;massenie;NOM;NOM;nein;Französisch;4;347;56;101 bis 500;nein
lemma_15618;Josephus;josephus;NAM;NAM;ja;Hebräisch, Lateinisch;5;346;41;101 bis 500;nein
lemma_1979;gebrechen;gebrechen;NOM;NOM VRB;nein;Einzelsprachen;10;341;101;101 bis 500;nein
lemma_4216;Moyse;moyse;NAM;NAM;ja;Hebräisch;5;341;66;101 bis 500;nein
lemma_735;blanc;blanc;ADJ;ADJ GRA;nein;Französisch;3;328;89;101 bis 500;nein
lemma_3372;klûse;kluse;NOM;NOM;nein;Lateinisch;11;328;60;101 bis 500;nein
lemma_4584;Paulus;paulus;NAM;NAM;ja;Lateinisch;5;326;54;101 bis 500;nein
lemma_66;admirât;admirat;NOM;NOM;nein;Arabisch;6;317;18;101 bis 500;nein
lemma_4706;porta;porta;NOM;NOM;nein;Lateinisch;6;314;55;101 bis 500;nein
lemma_1756;Eva;eva;NAM;NAM;ja;Hebräisch;4;295;66;101 bis 500;nein
lemma_3099;Jacobus;jacobus;NAM;NAM;ja;Hebräisch, Lateinisch;5;294;67;101 bis 500;nein
lemma_844;bredigen;bredigen;NOM;NOM VRB;nein;Lateinisch;5;285;66;101 bis 500;nein
lemma_4702;Polen;polen;NAM;NAM;ja;Slawisch;4;285;23;101 bis 500;nein
lemma_18456;Jason;jason;NAM;NAM;ja;Griechisch;4;283;6;101 bis 500;nein
lemma_4317;nase;nase;NOM;NOM;nein;Lateinisch;6;283;90;101 bis 500;nein
lemma_3217;capellanus;capellanus;NOM;NOM;nein;Lateinisch;3;282;67;101 bis 500;nein
lemma_3232;cardinalus;cardinalus;NOM;NOM;nein;Lateinisch;3;277;21;101 bis 500;nein
lemma_21090;Lac;lac;NAM;NAM;ja;Französisch;2;276;12;101 bis 500;nein
lemma_21100;Ulixes;ulixes;NAM;NAM;ja;Griechisch;4;274;13;101 bis 500;nein
lemma_9387;esse;esse;VEX;VEX VRB;nein;Lateinisch;4;269;47;101 bis 500;nein
lemma_5045;sac;sac;NOM;NOM;nein;Lateinisch;5;267;83;101 bis 500;nein
lemma_18303;Stephanus;stephanus;NAM;NAM;ja;Lateinisch;4;263;23;101 bis 500;nein
lemma_3214;capitulo;capitulo;NOM;NOM;nein;Lateinisch;6;261;28;101 bis 500;nein
lemma_188;amîs;amis;NOM;NOM;nein;Französisch;5;260;47;101 bis 500;nein
lemma_4586;pavelûn;pavelun;NOM;NOM;nein;Französisch;5;260;35;101 bis 500;nein
lemma_1020;Constantinus;constantinus;NAM;NAM;ja;Lateinisch;4;257;21;101 bis 500;nein
lemma_23741;Agamemnon;agamemnon;NAM;NAM;ja;Griechisch;3;253;8;101 bis 500;nein
lemma_9724;capella;capella;NOM;NOM;nein;Lateinisch;2;251;36;101 bis 500;nein
lemma_2856;historia;historia;ADJ;ADJ NOM;nein;Lateinisch;5;249;30;101 bis 500;nein
lemma_1176;diuten;diuten;NOM;NOM VRB;nein;Einzelsprachen;13;248;86;101 bis 500;nein
lemma_3840;Logrois;logrois;NAM;NAM;ja;Französisch;5;248;9;101 bis 500;nein
lemma_15259;conventus;conventus;NOM;NOM;nein;Lateinisch;3;247;12;101 bis 500;nein
lemma_42320;Wladislaus;wladislaus;NAM;NAM;ja;Slawisch;3;247;4;101 bis 500;nein
lemma_5116;sarjant;sarjant;NOM;NOM;nein;Französisch;8;244;29;101 bis 500;nein
lemma_2404;Ginover;ginover;NAM;NAM;ja;Französisch;3;243;19;101 bis 500;nein
lemma_5010;rubîn;rubin;NOM;NOM;nein;Lateinisch;6;240;79;101 bis 500;nein
lemma_16860;Elisabeth;elisabeth;NAM;NAM;ja;Hebräisch;4;237;37;101 bis 500;nein
lemma_401;baruc;baruc;NOM;NOM;nein;Arabisch;3;236;15;101 bis 500;nein
lemma_5308;schrîber;schriber;NOM;NOM;nein;Lateinisch;7;234;62;101 bis 500;nein
lemma_4568;Pârîs;paris;NAM;NAM;ja;Griechisch;3;230;15;101 bis 500;nein
lemma_4696;poinder;poinder;NOM;NOM;nein;Französisch;5;230;30;101 bis 500;nein
lemma_23339;Lois;lois;NAM;NAM;ja;Französisch;3;229;8;101 bis 500;nein
lemma_3150;Judas;judas;NAM;NAM;ja;Hebräisch;4;222;60;101 bis 500;nein
lemma_50761;natûrlich;naturlich;ADJ;ADJ ADV;nein;Lateinisch;8;222;60;101 bis 500;nein
lemma_6311;Turnus;turnus;NAM;NAM;ja;Lateinisch;3;221;5;101 bis 500;nein
lemma_1757;evangelium;evangelium;NOM;NOM;nein;Lateinisch;4;218;39;101 bis 500;nein
lemma_9406;Nicolaus;nicolaus;NAM;NAM;ja;Griechisch;4;218;30;101 bis 500;nein
lemma_143;almuosen;almuosen;NOM;NOM;nein;Griechisch, Lateinisch;6;217;60;101 bis 500;nein
lemma_13119;Menelaos;menelaos;NAM;NAM;ja;Griechisch;3;216;14;101 bis 500;nein
lemma_23887;scholarius;scholarius;NOM;NOM;nein;Lateinisch;3;214;34;101 bis 500;nein
lemma_5365;Segramors;segramors;NAM;NAM;ja;Französisch;3;214;16;101 bis 500;nein
lemma_20838;Ajax;ajax;NAM;NAM;ja;Griechisch;3;211;6;101 bis 500;nein
lemma_4001;Marsilie;marsilie;NAM;NAM;ja;Französisch;5;211;15;101 bis 500;nein
lemma_3259;kastelân;kastelan;NOM;NOM;nein;Französisch;6;209;31;101 bis 500;nein
lemma_5342;schola;schola;NOM;NOM;nein;Lateinisch;2;206;71;101 bis 500;nein
lemma_4739;propheta;propheta;NOM;NOM;nein;Griechisch, Lateinisch;8;201;60;101 bis 500;nein
lemma_262;Apollo;apollo;NAM;NAM;ja;Lateinisch;4;200;30;101 bis 500;nein
lemma_15617;Jôsaphât;josaphat;NAM;NAM;ja;Hebräisch;5;200;16;101 bis 500;nein
lemma_12267;Genelun;genelun;NAM;NAM;ja;Französisch;3;198;3;101 bis 500;nein
lemma_1926;garzûn;garzun;NOM;NOM;nein;Französisch;5;194;43;101 bis 500;nein
lemma_14017;nos;nos;POS;POS PRO;nein;Lateinisch;2;190;39;101 bis 500;nein
lemma_4671;Pontius Pilatus;pontius pilatus;NAM;NAM;ja;Lateinisch;4;185;31;101 bis 500;nein
lemma_2768;Hercules;hercules;NAM;NAM;ja;Griechisch;6;183;23;101 bis 500;nein
lemma_10990;Macedonia;macedonia;NAM;NAM;ja;Griechisch;3;183;16;101 bis 500;nein
lemma_18273;Oswaldus;oswaldus;NAM;NAM;ja;Lateinisch;5;183;10;101 bis 500;nein
lemma_42;Abraham;abraham;NAM;NAM;ja;Hebräisch;4;181;45;101 bis 500;nein
lemma_1816;forma;forma;NOM;NOM;nein;Lateinisch;3;180;61;101 bis 500;nein
lemma_10178;deus;deus;NOM;NOM;nein;Lateinisch;3;177;45;101 bis 500;nein
lemma_3166;Jupiter;jupiter;NAM;NAM;ja;Lateinisch;5;177;41;101 bis 500;nein
lemma_7475;welsch;welsch;ADJ;ADJ;nein;Einzelsprachen;2;177;68;101 bis 500;nein
lemma_15690;Antenor;antenor;NAM;NAM;ja;Griechisch;3;175;8;101 bis 500;nein
lemma_12123;erzbischof;erzbischof;NOM;NOM;nein;Lateinisch;4;173;24;101 bis 500;nein
lemma_297;Arnholt;arnholt;NAM;NAM;ja;Lateinisch;3;172;20;101 bis 500;nein
lemma_6230;Troilus;troilus;NAM;NAM;ja;Griechisch;3;172;6;101 bis 500;nein
lemma_3457;krîe;krie;NOM;NOM;nein;Französisch;4;170;28;101 bis 500;nein
lemma_14291;Appollonius;appollonius;NAM;NAM;ja;Lateinisch;4;168;8;101 bis 500;nein
lemma_1028;kurtois;kurtois;ADJ;ADJ;nein;Französisch;5;166;28;101 bis 500;nein
lemma_5393;semele;semele;NOM;NOM;nein;Lateinisch;5;163;40;101 bis 500;nein
lemma_42985;Sobeslaw;sobeslaw;NAM;NAM;ja;Slawisch, Tschechisch;4;162;3;101 bis 500;nein
lemma_4756;puneiz;puneiz;NOM;NOM;nein;Französisch;5;161;40;101 bis 500;nein
lemma_236;Anjou;anjou;NAM;NAM;ja;Französisch;4;160;16;101 bis 500;nein
lemma_42314;Przemisl;przemisl;NAM;NAM;ja;Slawisch, Tschechisch;4;158;5;101 bis 500;nein
lemma_20995;ego;ego;POS;POS PRO;nein;Lateinisch;3;157;21;101 bis 500;nein
lemma_1792;fils;fils;NOM;NOM;nein;Französisch;4;157;28;101 bis 500;nein
lemma_10983;Aristoteles;aristoteles;NAM;NAM;ja;Griechisch;5;155;42;101 bis 500;nein
lemma_23326;Franciscus;franciscus;NAM;NAM;ja;Lateinisch;5;155;15;101 bis 500;nein
lemma_4724;prêsant;presant;NOM;NOM;nein;Französisch;4;154;33;101 bis 500;nein
lemma_4067;mël;mël;NOM;NOM VRB;nein;Lateinisch;10;153;40;101 bis 500;nein
lemma_14371;Pyrrus;pyrrus;NAM;NAM;ja;Griechisch, Lateinisch;4;151;5;101 bis 500;nein
lemma_4833;regula;regula;ADJ;ADJ ADV NOM;nein;Lateinisch;5;150;30;101 bis 500;nein
lemma_3635;latîn;latin;ADJ;ADJ NOM;nein;Einzelsprachen, Lateinisch;4;149;52;101 bis 500;nein
lemma_6205;trinitas;trinitas;NOM;NOM NUM;nein;Lateinisch;3;148;41;101 bis 500;nein
lemma_4018;materia;materia;NOM;NOM VRB;nein;Lateinisch;7;147;48;101 bis 500;nein
lemma_1368;Elias;elias;NAM;NAM;ja;Hebräisch;4;146;33;101 bis 500;nein
lemma_9577;Gregorius;gregorius;NAM;NAM;ja;Lateinisch;5;144;28;101 bis 500;nein
lemma_11725;Matheus;matheus;NAM;NAM;ja;Hebräisch, Lateinisch;5;144;31;101 bis 500;nein
lemma_19298;Pôrus;porus;NAM;NAM;ja;Griechisch, Lateinisch;4;144;9;101 bis 500;nein
lemma_1366;elementum;elementum;NOM;NOM;nein;Lateinisch;8;143;44;101 bis 500;nein
lemma_4707;portenære;portenaere;NOM;NOM;nein;Lateinisch;4;143;40;101 bis 500;nein
lemma_20218;qui;qui;CNJ;CNJ IPA;nein;Lateinisch;2;141;17;101 bis 500;nein
lemma_3048;insula;insula;NOM;NOM;nein;Lateinisch;5;139;37;101 bis 500;nein
lemma_12211;Pallas;pallas;NAM;NAM;ja;Griechisch;5;139;20;101 bis 500;nein
lemma_4539;pater;pater;NOM;NOM;nein;Lateinisch;4;139;33;101 bis 500;nein
lemma_4581;patriarchus;patriarchus;NOM;NOM;nein;Lateinisch;2;139;35;101 bis 500;nein
lemma_363;balsame;balsame;ADJ;ADJ NOM;nein;Lateinisch;10;137;49;101 bis 500;nein
lemma_10349;figura;figura;NOM;NOM;nein;Lateinisch;4;134;42;101 bis 500;nein
lemma_5101;Vitus;vitus;NAM;NAM;ja;Lateinisch;5;132;20;101 bis 500;nein
lemma_42981;Wratislaw;wratislaw;NAM;NAM;ja;Slawisch;3;131;3;101 bis 500;nein
lemma_5564;smaragdûs;smaragdus;NOM;NOM;nein;Lateinisch;4;130;56;101 bis 500;nein
lemma_15738;Diomedes;diomedes;NAM;NAM;ja;Griechisch;4;129;6;101 bis 500;nein
lemma_4763;purpura;purpura;ADJ;ADJ NOM;nein;Lateinisch;4;128;44;101 bis 500;nein
lemma_18291;Augustinus;augustinus;NAM;NAM;ja;Lateinisch;5;127;28;101 bis 500;nein
lemma_20020;Bolezlâ;bolezla;NAM;NAM;ja;Slawisch, Tschechisch;5;127;6;101 bis 500;nein
lemma_42962;Brzetislaw;brzetislaw;NAM;NAM;ja;Tschechisch;3;127;3;101 bis 500;nein
lemma_1030;covertiure;covertiure;NOM;NOM;nein;Französisch;3;127;34;101 bis 500;nein
lemma_4117;Michael;michael;NAM;NAM;ja;Hebräisch;5;127;31;101 bis 500;nein
lemma_1812;fôrëst;forëst;NOM;NOM;nein;Französisch;8;126;38;101 bis 500;nein
lemma_11226;Flordibel;flordibel;NAM;NAM;ja;Französisch;4;125;2;101 bis 500;nein
lemma_11183;regieren;regieren;NOM;NOM VRB;nein;Lateinisch;4;125;22;101 bis 500;nein
lemma_10698;safrân;safran;NOM;NOM;nein;Arabisch;6;123;21;101 bis 500;nein
lemma_3650;leopardus;leopardus;NOM;NOM;nein;Lateinisch;3;120;47;101 bis 500;nein
lemma_4484;Olivier;olivier;NAM;NAM;ja;Französisch;3;120;7;101 bis 500;nein
lemma_4966;roi;roi;NOM;NOM;nein;Französisch;3;119;18;101 bis 500;nein
lemma_5339;schumphentiure;schumphentiure;NOM;NOM;nein;Französisch, Italienisch;6;119;28;101 bis 500;nein
lemma_78628;cs;cs;NOM;NOM;nein;Tschechisch;1;118;2;101 bis 500;nein
lemma_4073;Meljanz;meljanz;NAM;NAM;ja;Französisch;3;117;10;101 bis 500;nein
lemma_24469;omnis;omnis;ADV;ADV NOM;nein;Lateinisch;2;116;27;101 bis 500;nein
lemma_21237;Parmênîôn;parmenion;NAM;NAM;ja;Griechisch;3;116;5;101 bis 500;nein
lemma_20170;Thelamones;thelamones;NAM;NAM;ja;Griechisch;3;116;4;101 bis 500;nein
lemma_10020;Blanscheflur;blanscheflur;NAM;NAM;ja;Französisch;3;115;10;101 bis 500;nein
lemma_2401;gemma;gemma;ADJ;ADJ NOM;nein;Lateinisch;4;113;57;101 bis 500;nein
lemma_35002;ad;ad;PRP;PRP;nein;Lateinisch;3;111;22;101 bis 500;nein
lemma_16464;tu;tu;POS;POS PRO;nein;Lateinisch;2;111;19;101 bis 500;nein
lemma_514;benedicere;benedicere;NOM;NOM VRB;nein;Lateinisch;5;110;41;101 bis 500;nein
lemma_4755;pulvis;pulvis;NOM;NOM;nein;Lateinisch;14;110;43;101 bis 500;nein
lemma_24333;Malfernes;malfernes;NAM;NAM;ja;Griechisch;3;109;1;101 bis 500;nein
lemma_4294;nâter;nater;NOM;NOM;nein;Lateinisch;4;109;34;101 bis 500;nein
lemma_3077;Israel;israel;NAM;NAM;ja;Hebräisch;3;106;41;101 bis 500;nein
lemma_4502;Orilus;orilus;NAM;NAM;ja;Lateinisch;3;106;4;101 bis 500;nein
lemma_7093;Virgilius;virgilius;NAM;NAM;ja;Lateinisch;6;106;19;101 bis 500;nein
lemma_14034;Antikrist;antikrist;NAM;NAM;ja;Griechisch, Lateinisch;6;105;26;101 bis 500;nein
lemma_1360;Hecuba;hecuba;NAM;NAM;ja;Griechisch;4;105;8;101 bis 500;nein
lemma_4838;Regensburg;regensburg;NAM;NAM;ja;Lateinisch;2;105;24;101 bis 500;nein
lemma_16342;Medea;medea;NAM;NAM;ja;Griechisch;4;104;9;101 bis 500;nein
lemma_24470;eius;eius;POS;POS;nein;Lateinisch;3;103;15;101 bis 500;nein
lemma_26476;Polidamas;polidamas;NAM;NAM;ja;Griechisch;3;103;3;101 bis 500;nein
lemma_5077;salse;salse;NOM;NOM;nein;Lateinisch;6;103;25;101 bis 500;nein
lemma_9279;Âmor;amor;NAM;NAM;ja;Französisch, Lateinisch;5;102;28;101 bis 500;nein
lemma_11672;Âron;aron;NAM;NAM;ja;Hebräisch;4;101;31;101 bis 500;nein
lemma_33389;Bela;bela;NAM;NAM;ja;Ungarisch;3;101;6;101 bis 500;nein
lemma_42317;Borziwoy;borziwoy;NAM;NAM;ja;Tschechisch;3;101;3;101 bis 500;nein
lemma_3896;luoder;luoder;NOM;NOM;nein;Lateinisch;14;101;34;101 bis 500;nein
lemma_4399;nône;none;NOM;NOM;nein;Lateinisch;6;101;47;101 bis 500;nein
lemma_18673;Herodes;herodes;NAM;NAM;ja;Hebräisch;4;98;24;21 bis 100;nein
lemma_22605;Martinus;martinus;NAM;NAM;ja;Lateinisch;4;98;25;21 bis 100;nein
lemma_21896;partîe;partie;NOM;NOM;nein;Lateinisch;6;98;12;21 bis 100;nein
lemma_3155;Iulius;iulius;NAM;NAM;ja;Lateinisch;5;97;23;21 bis 100;nein
lemma_10234;cum;cum;ADV;ADV PRP;nein;Französisch, Lateinisch;5;96;16;21 bis 100;nein
lemma_23471;Chiron;chiron;NAM;NAM;ja;Griechisch;4;95;6;21 bis 100;nein
lemma_11950;talfîn;talfin;NOM;NOM;nein;Französisch;5;94;3;21 bis 100;nein
lemma_1940;Gaudin;gaudin;NAM;NAM;ja;Französisch;3;93;6;21 bis 100;nein
lemma_11068;maiestas;maiestas;NOM;NOM;nein;Lateinisch;4;93;40;21 bis 100;nein
lemma_20422;Philôtas;philotas;NAM;NAM;ja;Griechisch;3;93;5;21 bis 100;nein
lemma_1039;Cundrie la Surziere;cundrie la surziere;NAM;NAM;ja;Französisch;5;91;4;21 bis 100;nein
lemma_18941;Garda;garda;NAM;NAM;ja;Italienisch;4;91;12;21 bis 100;nein
lemma_11934;Grâhardeiz;grahardeiz;NAM;NAM;ja;Französisch;3;90;3;21 bis 100;nein
lemma_15755;Olympia;olympia;NAM;NAM;ja;Griechisch;3;90;11;21 bis 100;nein
lemma_27917;Breslau;breslau;NAM;NAM;ja;Slawisch;2;89;10;21 bis 100;nein
lemma_11420;formieren;formieren;VRB;VRB;nein;Lateinisch;4;89;44;21 bis 100;nein
lemma_20877;Nestor;nestor;NAM;NAM;ja;Griechisch;3;88;7;21 bis 100;nein
lemma_18580;facere;facere;VRB;VRB;nein;Lateinisch;4;87;20;21 bis 100;nein
lemma_4654;flumen;flumen;NOM;NOM;nein;Lateinisch;2;87;24;21 bis 100;nein
lemma_4501;orient;orient;NOM;NOM;nein;Lateinisch;4;87;27;21 bis 100;nein
lemma_10025;dire;dire;VRB;VRB;nein;Französisch;2;86;13;21 bis 100;nein
lemma_15818;Gabriel;gabriel;NAM;NAM;ja;Hebräisch;5;85;31;21 bis 100;nein
lemma_3088;jâchant;jachant;NOM;NOM;nein;Lateinisch;5;85;42;21 bis 100;nein
lemma_41389;mirn;mirn;NEG;NEG PRO;nein;Lateinisch;4;85;44;21 bis 100;nein
lemma_25204;Peleus;peleus;NAM;NAM;ja;Griechisch;4;85;6;21 bis 100;nein
lemma_3258;castellum;castellum;NOM;NOM;nein;Lateinisch;3;84;23;21 bis 100;nein
lemma_3543;kunterfeit;kunterfeit;ADJ;ADJ NOM;nein;Französisch;9;84;34;21 bis 100;nein
lemma_12190;Marcus;marcus;NAM;NAM;ja;Lateinisch;4;84;14;21 bis 100;nein
lemma_26874;buter;buter;NOM;NOM;nein;Lateinisch;3;83;18;21 bis 100;nein
lemma_24297;corpus;corpus;NOM;NOM;nein;Lateinisch;4;83;23;21 bis 100;nein
lemma_7040;vesper;vesper;NOM;NOM;nein;Lateinisch;5;83;39;21 bis 100;nein
lemma_1098;de;de;PRP;PRP;nein;Französisch, Lateinisch;4;82;13;21 bis 100;nein
lemma_18887;gloria;gloria;NOM;NOM;nein;Lateinisch;5;81;31;21 bis 100;nein
lemma_1138;Dido;dido;NAM;NAM;ja;Griechisch, Lateinisch;5;79;17;21 bis 100;nein
lemma_18826;Isaak;isaak;NAM;NAM;ja;Hebräisch;4;79;26;21 bis 100;nein
lemma_3165;Juno;juno;NAM;NAM;ja;Lateinisch;3;78;22;21 bis 100;nein
lemma_27915;Krakow;krakow;NAM;NAM;ja;Slawisch;2;77;7;21 bis 100;nein
lemma_24477;suus;suus;POS;POS;nein;Lateinisch;2;77;12;21 bis 100;nein
lemma_263;apostolus;apostolus;NOM;NOM;nein;Griechisch, Lateinisch;4;76;17;21 bis 100;nein
lemma_3055;Ipomidon;ipomidon;NAM;NAM;ja;Griechisch;3;76;8;21 bis 100;nein
lemma_4545;palma;palma;NOM;NOM;nein;Lateinisch;5;75;32;21 bis 100;nein
lemma_10694;praelatus;praelatus;ADJ;ADJ NOM;nein;Lateinisch;4;75;21;21 bis 100;nein
lemma_10531;zirkel;zirkel;NOM;NOM;nein;Lateinisch;6;75;34;21 bis 100;nein
lemma_5420;serpant;serpant;NOM;NOM;nein;Lateinisch;4;74;27;21 bis 100;nein
lemma_29323;Bruno;bruno;NAM;NAM;ja;Lateinisch;3;73;8;21 bis 100;nein
lemma_2850;Hiob;hiob;NAM;NAM;ja;Hebräisch;5;73;24;21 bis 100;nein
lemma_34451;Lâmedôn;lamedon;NAM;NAM;ja;Griechisch;4;73;5;21 bis 100;nein
lemma_28061;quis;quis;CNJ;CNJ IPA;nein;Lateinisch;3;73;10;21 bis 100;nein
lemma_12213;Athen;athen;NAM;NAM;ja;Griechisch;4;72;19;21 bis 100;nein
lemma_10134;companie;companie;NOM;NOM;nein;Französisch;2;72;23;21 bis 100;nein
lemma_1111;Deiphobus;deiphobus;NAM;NAM;ja;Griechisch;3;72;4;21 bis 100;nein
lemma_29102;haec;haec;DET;DET;nein;Lateinisch;2;72;4;21 bis 100;nein
lemma_20994;hic;hic;DET;DET;nein;Lateinisch;4;72;18;21 bis 100;nein
lemma_21845;homo;homo;NOM;NOM;nein;Lateinisch;2;72;13;21 bis 100;nein
lemma_11288;keller;keller;NOM;NOM;nein;Lateinisch;4;72;34;21 bis 100;nein
lemma_19910;Patroclus;patroclus;NAM;NAM;ja;Griechisch, Lateinisch;4;71;6;21 bis 100;nein
