xml_id	form	context	match_type	candidate_lemmas	resolved_lemma	confidence	reviewer
WZB_1ra_19_4	sendest	das du sendest mir Deiner	unmatched				
WZB_1ra_20_1	stew̆er	Deiner gnaden stew̆er Des heiligen	unmatched				
WZB_1ra_20_4	Des	gnaden stew̆er Des heiligen geistes	ambiguous	lemma_1097|lemma_1119|lemma_1186	lemma_1119	high	claude
WZB_1ra_21_3	Das	geistes fewer Das mein sinne	ambiguous	lemma_1097|lemma_13169	lemma_1097	high	claude
WZB_1ra_21_4	mein	fewer Das mein sinne durchfeuchte	ambiguous	lemma_3001|lemma_4048|lemma_4051	lemma_3001	high	claude
WZB_1ra_21_5	sinne	Das mein sinne durchfeuchte Und	ambiguous	lemma_5432|lemma_5484|lemma_5491	lemma_5484	high	claude
WZB_1ra_21_6	durchfeuchte	mein sinne durchfeuchte Und mein	unmatched				
WZB_1ra_22_2	mein	durchfeuchte Und mein sele erleuchte	ambiguous	lemma_3001|lemma_4048|lemma_4051	lemma_3001	high	claude
WZB_1ra_22_4	erleuchte	mein sele erleuchte Und mir	unmatched				
WZB_1ra_23_2	entsliesse	Und mir entsliesse meinen mvnt	unmatched				
WZB_1ra_23_3	meinen	mir entsliesse meinen mvnt Das	ambiguous	lemma_3001|lemma_4051	lemma_3001	high	claude
WZB_1ra_24_0	Das	meinen mvnt Das ich mvze	ambiguous	lemma_1097|lemma_13169	lemma_1097	high	claude
WZB_1ra_24_2	mvze	Das ich mvze czu aller	unmatched				
WZB_1ra_24_7	In	aller stvnt In PROLOGUS trewen	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472	lemma_3028	medium	claude
WZB_1rb_2_2	meren	trewen ymmer meren Das lop	ambiguous	lemma_3922|lemma_4034|lemma_4035	lemma_4035	high	claude
WZB_1rb_2_4	Das	ymmer meren Das lop deiner	ambiguous	lemma_1097|lemma_13169	lemma_1097	high	claude
WZB_1rb_2_5	lop	meren Das lop deiner eren	ambiguous	lemma_3830|lemma_3849	lemma_3849	high	claude
WZB_1rb_3_0	eren	lop deiner eren Das ich	ambiguous	lemma_1282|lemma_5454|lemma_56116|lemma_57649	lemma_1282	high	claude
WZB_1rb_3_3	Das	deiner eren Das ich die	ambiguous	lemma_1097|lemma_13169	lemma_1097	high	claude
WZB_1rb_3_5	die	Das ich die pfunt die	ambiguous	lemma_1139|lemma_1161	lemma_1139	high	claude
WZB_1rb_3_8	die	die pfunt die du mir	ambiguous	lemma_1139|lemma_1161	lemma_1139	high	claude
WZB_1rb_3_9	du	pfunt die du mir Hast	ambiguous	lemma_1139|lemma_1180|lemma_1241|lemma_1242	lemma_1242	high	claude
WZB_1rb_4_2	Hast	du mir Hast vorlihen brenge	ambiguous	lemma_2598|lemma_2681	lemma_2598	high	claude
WZB_1rb_4_3	vorlihen	mir Hast vorlihen brenge dir	unmatched				
WZB_1rb_4_6	dir	vorlihen brenge dir m Mit	ambiguous	lemma_1169|lemma_1242	lemma_1242	high	claude
WZB_1rb_5_6	Das	wucher vrolich Das dein mvnt	ambiguous	lemma_1097|lemma_13169	lemma_1097	high	claude
WZB_1rb_8_4	Sint	diener nv Sint du bist	ambiguous	lemma_5432|lemma_5434|lemma_5496	lemma_5432	high	claude
WZB_1rb_8_5	du	nv Sint du bist czu	ambiguous	lemma_1139|lemma_1180|lemma_1241|lemma_1242	lemma_1242	high	claude
WZB_1rb_9_0	stunden	czu disen stunden Getrewe vber	ambiguous	lemma_5710|lemma_5842	lemma_5842	high	claude
WZB_1rb_9_3	vber	stunden Getrewe vber wenig sunden	ambiguous	lemma_6359|lemma_6698	lemma_6359	high	claude
WZB_1rb_10_4	wil	sunden Ich wil dich deiner	ambiguous	lemma_7473|lemma_7529|lemma_7620	lemma_7473	high	claude
WZB_1rb_11_2	vber	ergeczen Und vber vil gutes	ambiguous	lemma_6359|lemma_6698	lemma_6359	high	claude
WZB_1rb_11_3	vil	Und vber vil gutes seczen	ambiguous	lemma_6741|lemma_7053|lemma_7075	lemma_7075	high	claude
WZB_1rb_12_2	herre	Reiche ouch herre deine stewer	ambiguous	lemma_2684|lemma_2761	lemma_2684	high	claude
WZB_1rb_13_3	lieben	Czu diser lieben abenttewer Dem	ambiguous	lemma_3756|lemma_3765	lemma_3765	high	claude
WZB_1rb_13_4	abenttewer	diser lieben abenttewer Dem vromen	unmatched				
WZB_1rb_14_1	Dem	lieben abenttewer Dem vromen herren	ambiguous	lemma_1097|lemma_1119	lemma_1119	high	claude
WZB_1rb_14_2	vromen	abenttewer Dem vromen herren der	ambiguous	lemma_7274|lemma_7275|lemma_7276			
WZB_1rb_14_3	herren	Dem vromen herren der den	ambiguous	lemma_2684|lemma_42447	lemma_2684	high	claude
WZB_1rb_14_5	der	vromen herren der den rat	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_1rb_15_1	rat	der den rat Uon dir	ambiguous	lemma_4786|lemma_4787|lemma_4813	lemma_4786	high	claude
WZB_1rb_15_4	dir	rat Uon dir selbe enpfangen	ambiguous	lemma_1169|lemma_1242	lemma_1242	high	claude
WZB_1rb_16_3	Dem	enpfangen hat Dem werden getrewen	ambiguous	lemma_1097|lemma_1119	lemma_1119	high	claude
WZB_1rb_16_4	werden	hat Dem werden getrewen diener	ambiguous	lemma_62628|lemma_7489|lemma_7500	lemma_7500	high	claude
WZB_1rb_16_5	getrewen	Dem werden getrewen diener dein	ambiguous	lemma_2278|lemma_2282			
WZB_1rb_17_3	Dem	diener dein Dem Der in	ambiguous	lemma_1097|lemma_1119	lemma_1119	high	claude
WZB_1rb_17_6	Der	dein Dem Der in rechter	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_1rb_17_7	in	Dem Der in rechter tugende	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472	lemma_3028	medium	claude
WZB_1rb_17_10	kern	rechter tugende kern Brinnet als	ambiguous	lemma_3266|lemma_3288			
WZB_1rb_18_2	ein	Brinnet als ein liechter morgenstern	ambiguous	lemma_119|lemma_13|lemma_1331|lemma_2975	lemma_1331	high	claude
WZB_1rb_19_2	sich	morgenstern Und sich vnder deinen	ambiguous	lemma_42100|lemma_5366|lemma_5445|lemma_5455	lemma_5445	high	claude
WZB_1rb_20_0	beuget	deinen dienst beuget Vnd manch	unmatched				
WZB_1rb_20_4	gut	Vnd manch gut testament czeuget	ambiguous	lemma_2551|lemma_2573	lemma_2573	high	claude
WZB_1rb_21_0	czeuget	gut testament czeuget Vnd meret	unmatched				
WZB_1rb_22_3	Der	heilige schrift Der ouch stiftet	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_1rb_22_7	gestift	stiftet dise gestift Czu lobe	ambiguous	lemma_2256|lemma_5771	lemma_2256	high	claude
WZB_1rb_23_1	lobe	gestift Czu lobe deiner heilicheit	ambiguous	lemma_3830|lemma_3849	lemma_3849	high	claude
WZB_1rb_24_0	im	heilicheit Gib im herre steticheit	ambiguous	lemma_10734|lemma_1517|lemma_1762	lemma_1517	medium	claude
WZB_1rb_24_1	herre	Gib im herre steticheit Und	ambiguous	lemma_2684|lemma_2761	lemma_2684	high	claude
WZB_1rb_25_1	mut	dorczu vrolichen mut Das er	ambiguous	lemma_4238|lemma_4264|lemma_4265	lemma_4264	high	claude
WZB_1rb_25_4	Das	vrolichen mut Das er dicz	ambiguous	lemma_1097|lemma_13169	lemma_1097	high	claude
WZB_1rb_25_5	er	mut Das er dicz werke	ambiguous	lemma_1281|lemma_1282|lemma_1517|lemma_25157|lemma_5454|lemma_56116|lemma_56117	lemma_1517	high	claude
WZB_1rb_26_0	gut	dicz werke gut Muze volfuren	ambiguous	lemma_2551|lemma_2573	lemma_2573	high	claude
WZB_1rb_26_2	Muze	werke gut Muze volfuren in	ambiguous	lemma_4226|lemma_4238			
WZB_1rb_26_3	volfuren	gut Muze volfuren in seinen	unmatched		lemma_7191	high	claude
WZB_1rb_26_4	in	Muze volfuren in seinen tagen	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472	lemma_3028	medium	claude
WZB_1rb_27_0	tagen	in seinen tagen Das er	ambiguous	lemma_5994|lemma_6003	lemma_5994	high	claude
WZB_1rb_27_3	Das	seinen tagen Das er do	ambiguous	lemma_1097|lemma_13169	lemma_1097	high	claude
WZB_1rb_27_4	er	tagen Das er do mite	ambiguous	lemma_1281|lemma_1282|lemma_1517|lemma_25157|lemma_5454|lemma_56116|lemma_56117	lemma_1517	high	claude
WZB_1rb_27_5	do	Das er do mite muze	ambiguous	lemma_1055|lemma_1180|lemma_1242|lemma_4445	lemma_1180	high	claude
WZB_1rb_27_7	muze	do mite muze beiagen Der	ambiguous	lemma_4226|lemma_4238	lemma_4238	high	claude
WZB_1rb_28_1	Der	muze beiagen Der ewigen selden	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_1rb_28_3	selden	Der ewigen selden hort Vreude	ambiguous	lemma_5051|lemma_5387	lemma_5051	high	claude
WZB_1rb_28_4	hort	ewigen selden hort Vreude beide	ambiguous	lemma_2885|lemma_2908	lemma_2908	high	claude
WZB_1rb_29_2	hie	Vreude beide hie vnd dort	ambiguous	lemma_1517|lemma_2588|lemma_2705|lemma_2825|lemma_2923	lemma_2825	high	claude
WZB_1rb_30_2	werden	ouch seiner werden vrowen die	ambiguous	lemma_62628|lemma_7489|lemma_7500	lemma_7500	high	claude
WZB_1rb_30_6	die	werden vrowen die sich lest	ambiguous	lemma_1139|lemma_1161	lemma_1139	high	claude
WZB_1rb_31_0	sich	vrowen die sich lest intrewen	ambiguous	lemma_42100|lemma_5366|lemma_5445|lemma_5455	lemma_5445	high	claude
WZB_1rb_31_1	lest	die sich lest intrewen schowen	ambiguous	lemma_3567|lemma_3643|lemma_3720	lemma_3567	high	claude
WZB_1rb_31_2	intrewen	sich lest intrewen schowen zu	unmatched				
WZB_1rb_32_2	loze	allen cziten loze Recht als	unmatched				
WZB_1rb_32_6	ein	Recht als ein werde rose	ambiguous	lemma_119|lemma_13|lemma_1331|lemma_2975	lemma_1331	high	claude
WZB_1rb_33_0	werde	als ein werde rose Sterck	ambiguous	lemma_7489|lemma_7500|lemma_7644	lemma_7500	high	claude
WZB_1rb_33_1	rose	ein werde rose Sterck vnd	ambiguous	lemma_26308|lemma_4951			
WZB_1rb_33_6	vollekumenheit	Sterck vnd vollekumenheit Das sie	unmatched				
WZB_1rb_34_2	Das	vnd vollekumenheit Das sie an	ambiguous	lemma_1097|lemma_13169	lemma_1097	high	claude
WZB_1rb_34_3	sie	vollekumenheit Das sie an deiner	ambiguous	lemma_5432|lemma_5454|lemma_56116	lemma_5454	high	claude
WZB_1rb_34_4	an	Das sie an deiner arbeit	ambiguous	lemma_13|lemma_1331|lemma_199|lemma_210|lemma_2570	lemma_199	high	claude
WZB_1rb_34_6	arbeit	an deiner arbeit Mit deinen	ambiguous	lemma_269|lemma_270	lemma_269	high	claude
WZB_1rb_36_2	Das	schriften erwerbe Das sie nymmer	ambiguous	lemma_1097|lemma_13169	lemma_1097	high	claude
WZB_1rb_36_3	sie	erwerbe Das sie nymmer ersterbe	ambiguous	lemma_5432|lemma_5454|lemma_56116	lemma_5454	high	claude
WZB_1rb_36_7	=	nymmer ersterbe = nota bene PROLOGUS	unmatched		lemma_2	high	claude
WZB_1rb_37_0	nota bene	ersterbe = nota bene PROLOGUS Bis	unmatched				
WZB_1va_2_0	Bis	nota bene PROLOGUS Bis das ir	ambiguous	lemma_10651|lemma_5432|lemma_9197	lemma_10651	high	claude
WZB_1va_2_1	das	PROLOGUS Bis das ir leben	ambiguous	lemma_1097|lemma_13169	lemma_1097	high	claude
WZB_1va_2_2	ir	Bis das ir leben also	ambiguous	lemma_1517|lemma_5454|lemma_56116|lemma_56117	lemma_56117	medium	claude
WZB_1va_2_3	leben	das ir leben also gevalle	ambiguous	lemma_3659|lemma_3726	lemma_3659	high	claude
WZB_1va_2_5	gevalle	leben also gevalle den touben	ambiguous	lemma_2292|lemma_6741			
WZB_1va_3_0	touben	gevalle den touben an alle	ambiguous	lemma_15782|lemma_6160|lemma_6265	lemma_6265	high	claude
WZB_1va_3_1	an	den touben an alle galle	ambiguous	lemma_13|lemma_1331|lemma_199|lemma_210|lemma_2570	lemma_199	high	claude
WZB_1va_3_3	galle	an alle galle Der kvnigin	ambiguous	lemma_1878|lemma_28409	lemma_1878	high	claude
WZB_1va_3_6	Der	alle galle Der kvnigin der	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_1va_4_0	der	Der kvnigin der trewen vnd	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_1va_4_3	der	trewen vnd der eren der	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_1va_4_4	eren	vnd der eren der werden	ambiguous	lemma_1282|lemma_5454|lemma_56116|lemma_57649	lemma_1282	high	claude
WZB_1va_5_0	der	der eren der werden heren	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_1va_5_1	werden	eren der werden heren Das	ambiguous	lemma_62628|lemma_7489|lemma_7500	lemma_7500	high	claude
WZB_1va_5_2	heren	der werden heren Das sie	ambiguous	lemma_10833|lemma_2682|lemma_2684|lemma_2761|lemma_5454	lemma_2684	high	claude
WZB_1va_5_5	Das	werden heren Das sie si	ambiguous	lemma_1097|lemma_13169	lemma_1097	high	claude
WZB_1va_5_6	sie	heren Das sie si muze	ambiguous	lemma_5432|lemma_5454|lemma_56116	lemma_5454	high	claude
WZB_1va_5_7	si	Das sie si muze czuchticlich	ambiguous	lemma_48479|lemma_5366|lemma_5432|lemma_5445|lemma_5454|lemma_56116	lemma_5454	high	claude
WZB_1va_5_8	muze	sie si muze czuchticlich furen	ambiguous	lemma_4226|lemma_4238	lemma_4238	high	claude
WZB_1va_6_0	czuchticlich	si muze czuchticlich furen in	unmatched				
WZB_1va_6_2	furen	muze czuchticlich furen in ires	ambiguous	lemma_6761|lemma_7283	lemma_7283	high	claude
WZB_1va_6_3	in	czuchticlich furen in ires kindes	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472	lemma_3028	medium	claude
WZB_1va_6_4	ires	furen in ires kindes reich	ambiguous	lemma_5454|lemma_56116	lemma_5454	high	claude
WZB_1va_7_0	reich	ires kindes reich Und gebe	ambiguous	lemma_4842|lemma_4872|lemma_4930	lemma_4872	high	claude
WZB_1va_7_3	gebe	reich Und gebe ir do	ambiguous	lemma_13306|lemma_1961	lemma_1961	high	claude
WZB_1va_7_4	ir	Und gebe ir do der	ambiguous	lemma_1517|lemma_5454|lemma_56116|lemma_56117	lemma_56117	medium	claude
WZB_1va_7_5	do	gebe ir do der trewen	ambiguous	lemma_1055|lemma_1180|lemma_1242|lemma_4445	lemma_1180	high	claude
WZB_1va_7_6	der	ir do der trewen crone	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_1va_8_6	lone	ewiclich zu lone Criste des	ambiguous	lemma_3815|lemma_3817	lemma_3815	high	claude
WZB_1va_9_2	des	lone Criste des ewigen vaters	ambiguous	lemma_1097|lemma_1119|lemma_1186	lemma_1119	high	claude
WZB_1va_9_5	s	ewigen vaters s = svn	ambiguous	lemma_1119|lemma_2	lemma_2	high	claude
WZB_1va_9_6	=	vaters s = svn Nu	unmatched		lemma_2	high	claude
WZB_1va_10_7	das	hilffe vns das wir also	ambiguous	lemma_1097|lemma_13169	lemma_1097	high	claude
WZB_1va_11_5	Das	also tvn Das vns nymmer	ambiguous	lemma_1097|lemma_13169	lemma_1097	high	claude
WZB_1va_13_3	In	czu bringe In aller vnser	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472	lemma_3028	medium	claude
WZB_1va_13_6	arbeit	aller vnser arbeit Gib vns	ambiguous	lemma_269|lemma_270	lemma_269	high	claude
WZB_1va_14_4	geleit	selbir dein geleit Wenn wir	ambiguous	lemma_2057|lemma_3674|lemma_3692			
WZB_1va_15_2	han	wir vns han geseczet vor	ambiguous	lemma_2598|lemma_2634|lemma_50840	lemma_2598	high	claude
WZB_1va_15_3	geseczet	vns han geseczet vor Aufsliessen	unmatched				
WZB_1va_15_6	Aufsliessen	geseczet vor Aufsliessen deiner schrifte	unmatched				
WZB_1va_16_2	tor	deiner schrifte tor Die manchem	ambiguous	lemma_6113|lemma_9255			
WZB_1va_16_5	Die	schrifte tor Die manchem noch	ambiguous	lemma_1139|lemma_1161	lemma_1139	high	claude
WZB_1va_17_1	noch	Die manchem noch vorsperret sein	ambiguous	lemma_14402|lemma_4281|lemma_4415	lemma_4415	high	claude
WZB_1va_17_2	vorsperret	manchem noch vorsperret sein So	unmatched				
WZB_1va_17_3	sein	noch vorsperret sein So das	ambiguous	lemma_1517|lemma_1762|lemma_5377|lemma_5427|lemma_5432	lemma_1517	medium	claude
WZB_1va_18_1	das	sein So das wir aus	ambiguous	lemma_1097|lemma_13169	lemma_1097	high	claude
WZB_1va_18_4	der	wir aus der latein Sie	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_1va_18_7	Sie	der latein Sie czu deutsche	ambiguous	lemma_5432|lemma_5454|lemma_56116	lemma_5454	high	claude
WZB_1va_20_1	namen	durch deinen namen tichten Dorvmbe	ambiguous	lemma_4306|lemma_4308|lemma_4330	lemma_4306	high	claude
WZB_1va_20_5	Dorvmbe	namen tichten Dorvmbe das dein	unmatched		lemma_30703	high	claude
WZB_1va_21_0	das	tichten Dorvmbe das dein kindel	ambiguous	lemma_1097|lemma_13169	lemma_1097	high	claude
WZB_1va_21_5	Die	dein kindel Die diser werlde	ambiguous	lemma_1139|lemma_1161	lemma_1139	high	claude
WZB_1va_22_6	vorirret	betoubet vnd vorirret Und von	unmatched				
WZB_1va_23_3	dir	Und von dir verre gevirret	ambiguous	lemma_1169|lemma_1242	lemma_1242	high	claude
WZB_1va_25_0	wider	enpfahen Und wider czu dir	ambiguous	lemma_12326|lemma_7557	lemma_7557	high	claude
WZB_1va_25_2	dir	wider czu dir gahen vnd	ambiguous	lemma_1169|lemma_1242	lemma_1242	high	claude
WZB_1va_26_2	selden	deiner diener selden Die vf	ambiguous	lemma_5051|lemma_5387	lemma_5051	high	claude
WZB_1va_26_5	Die	diener selden Die vf der	ambiguous	lemma_1139|lemma_1161	lemma_1139	high	claude
WZB_1va_26_7	der	Die vf der schriften velden	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_1va_27_3	Der	schriften velden Der sele narunge	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_1va_28_3	Das	narunge suchen Das sie in	ambiguous	lemma_1097|lemma_13169	lemma_1097	high	claude
WZB_1va_28_4	sie	suchen Das sie in keinen	ambiguous	lemma_5432|lemma_5454|lemma_56116	lemma_5454	high	claude
WZB_1va_28_5	in	Das sie in keinen Buchen	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472	lemma_3028	medium	claude
WZB_1va_29_1	Uinden	keinen Buchen Uinden keiner minne	unmatched				
WZB_1va_29_3	minne	Uinden keiner minne funken Und	ambiguous	lemma_4130|lemma_4133	lemma_4130	high	claude
WZB_1va_30_3	werden	funken Und werden in liebe	ambiguous	lemma_62628|lemma_7489|lemma_7500	lemma_7489	high	claude
WZB_1va_30_4	in	Und werden in liebe truncken	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472	lemma_3028	medium	claude
WZB_1va_30_5	liebe	werden in liebe truncken Als	ambiguous	lemma_3738|lemma_3756|lemma_3765	lemma_3765	high	claude
WZB_1va_31_4	herre	Als vns herre In der	ambiguous	lemma_2684|lemma_2761	lemma_2684	high	claude
WZB_1va_31_6	In	vns herre In der liebe	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472	lemma_3028	medium	claude
WZB_1va_31_7	der	herre In der liebe buch	ambiguous	lemma_1055|lemma_1119|lemma_8031	lemma_1119	high	claude
WZB_1va_31_8	liebe	In der liebe buch do	ambiguous	lemma_3738|lemma_3756|lemma_3765	lemma_3765	high	claude
WZB_1va_31_9	buch	der liebe buch do von	ambiguous	lemma_14784|lemma_21151|lemma_912|lemma_936	lemma_936	high	claude
WZB_1va_31_11	do	liebe buch do von Esset	ambiguous	lemma_1055|lemma_1180|lemma_1242|lemma_4445	lemma_1180	high	claude
WZB_1va_32_4	mein	vnd trincket mein lieben frunt	ambiguous	lemma_3001|lemma_4048|lemma_4051	lemma_3001	high	claude
WZB_1va_32_5	lieben	trincket mein lieben frunt Und	ambiguous	lemma_3756|lemma_3765	lemma_3765	high	claude
WZB_1va_34_1	stunt	nv czu stunt Ewer lieb	ambiguous	lemma_5710|lemma_5842	lemma_5842	high	claude
WZB_1va_34_5	lieb	stunt Ewer lieb mir slafen	ambiguous	lemma_3756|lemma_3765			
WZB_1va_35_4	mein	machet Idoch mein hercze wachet	ambiguous	lemma_3001|lemma_4048|lemma_4051	lemma_3001	high	claude
WZB_1va_36_3	herre	wachet Nun herre in deinem	ambiguous	lemma_2684|lemma_2761	lemma_2684	high	claude
WZB_1va_36_4	in	Nun herre in deinem namen	ambiguous	lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472	lemma_3028	medium	claude
WZB_1va_36_6	namen	in deinem namen PROLOGUS Durch	ambiguous	lemma_4306|lemma_4308|lemma_4330	lemma_4306	high	claude
