form	match_type	count	candidate_lemmas	sample_context	resolved_lemma	confidence	note
samte	unmatched	4		den selben samte her alles			
rvnnen	unmatched	4		vns zu rvnnen Den antworte			
steet	unmatched	4		die do steet vber den			
ousseczig	unmatched	4		her si ousseczig her wider			
werkes	unmatched	4		des herten werkes Und ł			
vorwandeln	unmatched	4		wirt sich vorwandeln in ein			
czouberei	unmatched	4		in irr czouberei taten also			
vorhertet	unmatched	4		also Und vorhertet wart das			
wissest	unmatched	4		das du wissest wenne ich			
vorseret	unmatched	4		alle Und vorseret wart die			
vortirbet	unmatched	4		DUS teſnícht vortirbet von den			
ew̆ern	unmatched	4		herlichn in ew̆ern geslechten ewiges			
slaher	unmatched	4		czihen den slaher in ewer			
tovsent	unmatched	4		sechs hunderstunt tovsent an kinder			
vlisende	unmatched	4		die erde vlisende mit milch			
svndern	unmatched	4		saltu ous svndern alles das			
esils	unmatched	4		erstgeborne des esils saltu wechsiln			
erstegeburt	unmatched	4		Aber alle erstegeburt des menschen			
vŏr	unmatched	4		waren in vŏr ein mawer			
gesetet	unmatched	4		mit broten gesetet Und werdet			
cloubten	unmatched	4		taten vnd cloubten einer mere			
hunderter	unmatched	4		tousenter vnd hunderter vnd funfcziger			
besuchet	unmatched	4		der do besuchet die svnde			
peinige	unmatched	4		betruben noch peinige in nicht			
geverbte	unmatched	4		vnd rot geverbte widers heute			
veinem	unmatched	4		in mit veinem golde vnd			
czweien	unmatched	4		Ringelein vnder czweien stengiln an			
pilder	unmatched	4		noch dem pilder als dir			
leineinen	unmatched	4		sneweissem weichen leineinen czwir DUS			
geneter	unmatched	4		die mit geneter kunst mancherlei			
iacincte	unmatched	4		vbirdecke von iacincte geverbten heuten			
velcze	unmatched	4		tafeln czwen velcze mit den			
a	ambiguous	4	lemma_1|lemma_2|lemma_37325	W e a thoho bzde			
genetem	unmatched	4		gebleichet mit genetem wercke mancherlei			
vorhanges	unmatched	4		Des selbin vorhanges funfczehen doum			
hŏen	unmatched	4		in irn hŏen czu beiden			
gewurchte	unmatched	4		Und das gewurchte vnd alles			
iacinctischen	unmatched	4		humerals mit iacinctischen bendlein so			
vorlouben	unmatched	4		in der vorlouben des geczeldis			
thimiamische	unmatched	4		das ewige thimiamische puluer in			
puluers	unmatched	4		des thimiamischen puluers Und den			
vornunft	unmatched	4		vnd mit vornunft mit kunst			
werfe	unmatched	4		ich ous werfe den vnd			
wonern	unmatched	4		mit den wonern der selbin			
sneiden	unmatched	4		vnd von sneiden Die hochczeit			
iacinct	unmatched	4		sie kanten iacinct purpir vnd			
vnderscheiden	unmatched	4		gevŏgiltem werke vnderscheiden Und vir			
grebil	unmatched	4		vnd die grebil des geczeldis			
vmrink	unmatched	4		in den vmrink des alters			
turkiltouben	unmatched	4		herren von turkiltouben keuchiln Und			
rure	unmatched	4		svnde Und rure die h			
vorgisset	unmatched	4		sei vnd vorgisset seiner vnreinikeit			
eph	unmatched	4		do heisset eph Nicht tu			
vngemeiligten	unmatched	4		svnde einen vngemeiligten wider von			
vorczern	unmatched	4		die lasen vorczern bis VI			
geheiligte	unmatched	4		stirn das geheiligte guldeine blech			
gepirt	unmatched	4		ein meidel gepirt so bleibt			
glencze	unmatched	4		ein leuchtende glencze ist an			
vorvrteile	unmatched	4		vorkart so vorvrteile her in			
sperling	unmatched	4		Und einen sperling tote her			
gevrteilet	unmatched	4		wirt her gevrteilet dem gebrechen			
vormeiligen	unmatched	4		so sie vormeiligen mein geczelt			
pocke	unmatched	4		andern eim pocke eym ous			
vorpruen	unmatched	4		vnd in vorpruen in dem			
moloch	unmatched	4		ab got moloch noch meilige			
aptgote	unmatched	4		samen dem aptgote moloch des			
geheiligten	unmatched	4		namen der geheiligten mir di			
erstlingen	unmatched	4		von den erstlingen sol sie			
veierliche	unmatched	4		wirt der veierliche tack der			
gelosen	unmatched	4		man das gelosen ouch in			
povm	unmatched	4		vnd die povm werden mit			
giengt	unmatched	4		das ir giengt ouf gericht			
vorczeren	unmatched	4		euch werden vorczeren vnd ewer			
vorworfen	unmatched	4		das sie vorworfen haben mein			
Icliche	unmatched	4		zu sprechende Icliche svnderlich noch			
iacincteiner	unmatched	4		ein vberdecke iacincteiner heute vnd			
weihrouches	unmatched	4		scoten voller weihrouches einen ochsen			
opfer;	unmatched	4		der heilicheit opfer; ein guldein			
weirouchs	unmatched	4		scot voller weirouchs einen ochsen			
vmmegangen	unmatched	4		lant heten vmmegangen vnd qua			
vleusset	unmatched	4		werlicher dinge vleusset von milch			
vrisset	unmatched	4		vmmegangen die vrisset ire inwoner			
vorsuchet	unmatched	4		vnd haben vorsuchet ouch zu			
vorwuste	unmatched	4		die nv vorwuste das fewer			
vnmeslicher	unmatched	4		entkegen mit vnmeslicher menige vnd			
veldunge	unmatched	4		in der veldunge erden von			
vmmeringe	unmatched	4		in ewerm vmmeringe sint Wenne			
bouches	unmatched	4		frucht deines bouches vnd der			
vortirbest	unmatched	4		du gar vortirbest als die			
new̆komen	unmatched	4		DEUTRO der new̆komen der mit			
wirbel	unmatched	4		ouf den wirbel Fure dich			
geczugen	unmatched	4		sie vber geczugen do sprach			
zudnischen	unmatched	4		von dem zudnischen teile das			
magscheften	unmatched	4		noch irn magscheften besiczunge der			
vorleuset	unmatched	3		arbeit er vorleuset Wenne also			
sendest	unmatched	3		das du sendest mir Deiner			
kern	ambiguous	3	lemma_3266|lemma_3288	rechter tugende kern Brinnet als			
slechten	unmatched	3		mit gleichen slechten dingen In			
vorslant	unmatched	3		erde lebending vorslant In aller			
vorwese	unmatched	3		das es vorwese dem tage			
krichende	unmatched	3		die wasser krichende tyr lebendiges			
kreuchet	unmatched	3		das do kreuchet auf der			
wissende	unmatched	3		die gote wissende gutes vnd			
vorbarg	unmatched	3		tage Do vorbarg sich vnd			
antlitcze	unmatched	3		vor dem antlitcze vnsers herren			
eisereine	unmatched	3		ereine vnd eisereine werck Aber			
nevnczig	unmatched	3		lebte vorwar nevnczig iar vnd			
sechczick	unmatched	3		czwei vnd sechczick iar vnd			
dovmelen	unmatched	3		sie Dreihundert dovmelen sol haben			
funfczick	unmatched	3		archen vnd funfczick dovmelen ir			
hohe	ambiguous	3	lemma_2866|lemma_2882	elen ir hohe Ein venster			
vortilgt	unmatched	3		sint werden vortilgt Und ich			
ergussen	unmatched	3		der flute ergussen auf der			
vierczick	unmatched	3		auf erden vierczick tage vnd			
spiczen	unmatched	3		erschinen die spiczen an den			
toube	unmatched	3		aus die toube noch im			
vorgeusset	unmatched	3		der do vorgeusset menschlich blut			
cleinem	unmatched	3		vnd in cleinem der erden			
begreiffen	unmatched	3		sie nicht begreiffen also das			
geczelen	unmatched	3		mag yemant geczelen vnder den			
bewegte	unmatched	3		geben Dorūmbe bewegte sein geczelt			
dreiczehenden	unmatched	3		in dem dreiczehenden iare SIS			
gehorte	ambiguous	3	lemma_2885|lemma_2903	speise GEN gehorte vnd czogen			
czele	unmatched	3		himel vnd czele die sterne			
besitczest	unmatched	3		du sie besitczest Und her			
tuestu	unmatched	3		sprach zu tuestu gegen mir			
pflagte	unmatched	3		Und dorumbe pflagte sie vnd			
czwischn	unmatched	3		meinen frid czwischn mir vnd			
besneidunge	unmatched	3		czeit seiner besneidunge Des selben			
geczeldes	unmatched	3		tur seines geczeldes vnd neigte			
voraldent	unmatched	3		Nu ich voraldent bin vnd			
vorhelen	unmatched	3		mag ich vorhelen das ich			
wirftu	unmatched	3		vierczig was wirftu tvn Er			
vorterbest	unmatched	3		samt in vorterbest in der			
gesundigt	unmatched	3		Was wir gesundigt in dich			
geperten	unmatched	3		vnd sie geperten Wenne got			
rittermeister	unmatched	3		vnd der rittermeister seines heres			
silbereiner	unmatched	3		vir hundert silbereiner schot scot			
cziren	unmatched	3		ŏrringe zu cziren ir antlicze			
knite	unmatched	3		diener do knite er ouf			
Ŭmb	unmatched	3		gar mude Ŭmb dise geschicht			
ne	ambiguous	3	lemma_1404|lemma_4377	wen ESIS ne wir Und			
geweitet	unmatched	3		vnser herre geweitet vnd wachsende			
kvndigten	unmatched	3		knechte vnd kvndigten im von			
etheers	unmatched	3		tochter des etheers ł Und			
czickel	unmatched	3		czwei gute czickel das ich			
erstgeborner	unmatched	3		bins dein erstgeborner svn Ich			
nyme	unmatched	3		sprach Nicht nyme dir ein			
ŏhems	unmatched	3		tern deines ŏhems Got aber			
gelies	unmatched	3		in nv gelies do czoch			
vorchtlich	unmatched	3		ey wie vorchtlich s sprach			
trenkte	unmatched	3		selben brvnne trenkte man die			
einerlei	unmatched	3		do waren einerlei varbe weisser			
weisser	unmatched	3		einerlei varbe weisser vnd swarczer			
vormischunge	unmatched	3		hitcze irr vormischunge an sahen			
gereichet	unmatched	3		czeit vnd gereichet wart der			
begreiffe	unmatched	3		tage vnd begreiffe in ouf			
hertlichen	unmatched	3		du icht hertlichen zu redist			
gerichten	unmatched	3		nicht ouf gerichten mag Wenne			
Ew̆er	unmatched	3		ander brawtschaft Ew̆er tŏchter gebt			
vnczimlichen	unmatched	3		menschen das vnczimlichen vnd schande			
eichen	unmatched	3		vnder einer eichen die do			
pilgereimunge	unmatched	3		erde irr pilgereimunge mocht sie			
Czeige	unmatched	3		suche ich Czeige mir wo			
bevoln	unmatched	3		im hette bevoln Und vnser			
pecken	unmatched	3		ander der pecken V Und			
rittermeisters	unmatched	3		kercker des rittermeisters in dem			
ouslegunge	unmatched	3		gotis die ouslegunge Saget mir			
gepflogen	unmatched	3		vor hast gepflogen Nur alleine			
reissen	unmatched	3		vleisch zu reissen vnd von			
grvne	unmatched	3		SIS die grvne abrupften Und			
betrubsal	unmatched	3		vns dicz betrubsal Und einer			
beheglichn	unmatched	3		in euch beheglichn das er			
gebracht	unmatched	3		haben wider gebracht Sunder ouch			
trvnken	unmatched	3		trat Nu trvnken vnd assen			
vordrucken	unmatched	3		das do vordrucken wirt meinen			
gegenwortige	unmatched	3		an dise gegenwortige czeit beide			
czeite	unmatched	3		der bluenden czeite was es			
czimet	unmatched	3		Nicht also czimet es vater			
amorren	unmatched	3		ous des amorren hant in			
nazareer	unmatched	3		seiner spicze nazareer vnder seinen			
kvnnen	unmatched	3		sie in kvnnen helfen E			
vessil	unmatched	3		ein sinewelles vessil von czeinen			
czagel	unmatched	3		bei dem czagel Nu rakte			
egestern	unmatched	3		vnd von egestern vnd sint			
hec	ambiguous	3	lemma_2690|lemma_29102	ir ჻ hec dicit Jeremia			
cloubt	unmatched	3		Geet vnd cloubt sie also			
Worumme	unmatched	3		herren sprechende Worumme tustu also			
geraktem	unmatched	3		in ouf geraktem arme vnd			
gerakt	unmatched	3		der do gerakt hat sein			
gesteen	unmatched	3		mochten nicht gesteen vor vor			
Uru	unmatched	3		sprach zu Uru stee ouff			
bedakten	unmatched	3		Und sie bedakten alle die			
erstegepurt	unmatched	3		alle DUS erstegepurt in der			
achsiln	unmatched	3		ouf ire achsiln vnd taten			
permuter	unmatched	3		tut die permuter vnd das			
sechshundert	unmatched	3		Und name sechshundert auserwelten wegen			
reitende	unmatched	3		in seine reitende v Und			
sammenten	unmatched	3		stunde sich sammenten die abgrunde			
de	ambiguous	3	lemma_1098|lemma_1119|lemma_1139|lemma_3141|lemma_6065	machen DUS de wunder Ous			
geczihe	unmatched	3		bis fur geczihe dein volk			
beheldest	unmatched	3		gepoten vnd beheldest alle sein			
genvk	unmatched	3		das sie genvk haben so			
gecloubt	unmatched	3		vor haben gecloubt alle tage			
gemurmelt	unmatched	3		czweiuelden habt gemurmelt wider vns			
eynode	unmatched	3		in der eynode zu mulet			
besich	unmatched	3		tvn Uor besich aber ous			
tousenter	unmatched	3		ous in tousenter vnd hunderter			
funfcziger	unmatched	3		hunderter vnd funfcziger vnd czehender			
czehender	unmatched	3		funfcziger vnd czehender die das			
teilende	unmatched	3		dir das teilende in ander			
gesteigen	unmatched	3		mag nicht gesteigen ouf Wenne			
dierne	unmatched	3		als ein dierne ous pfliget			
knechtis	unmatched	3		ouge deines knechtis oder seiner			
manslacht	unmatched	3		hat her manslacht begangen vnd			
leidigt	unmatched	3		das ymant leidigt ekker oder			
sethimisch	unmatched	3		heute vnd sethimisch holcz ŏle			
vorgulde	unmatched	3		halbe Und vorgulde sie mit			
cherub	unmatched	3		tafel Ein cherub sol sein			
bettafel	unmatched	3		die EXO bettafel vnd sullen			
ma	ambiguous	3	lemma_10456|lemma_3958	golde vnd ma DUS che			
geteilten	unmatched	3		crone mit geteilten slechten veldungen			
leuchters	unmatched	3		gewichte des leuchters mit allen			
sneweissem	unmatched	3		mache von sneweissem weichen leineinen			
weichen	ambiguous	3	lemma_7447|lemma_7448|lemma_7520	von sneweissem weichen leineinen czwir			
gebleicht	unmatched	3		czwir DUS gebleicht Und von			
czangen	unmatched	3		enpfahen vnd czangen vnd -			
crewel	unmatched	3		vnd - crewel vnd des			
necze	unmatched	3		als ein necze An des			
ergrabnusse	unmatched	3		noch dem ergrabnusse edler steine			
heklein	unmatched	3		in die heklein Mache ouch			
racionals	unmatched	3		seiten des racionals henge an			
humerals	unmatched	3		seiten des humerals das do			
vingerleinen	unmatched	3		mit seinen vingerleinen mit den			
gurtil	unmatched	3		ouch einen gurtil von genetem			
gerŏst	unmatched	3		in ol gerŏst Und mache			
vorbru	unmatched	3		den mist vorbru ousserhalb den			
hawe	unmatched	3		wider zu hawe in stucke			
gebrouchet	unmatched	3		des do gebrouchet das sullen			
czehenteil	unmatched	3		abendes Ein czehenteil semil besprengt			
wende	ambiguous	3	lemma_17788|lemma_7397|lemma_7479	als die wende vmb vnd			
hengt	unmatched	3		der do hengt vor der			
legunge	unmatched	3		zu houf legunge noch opfer			
nochkvmlinge	unmatched	3		durch seine nochkvmlinge Und vnser			
schreiende	unmatched	3		des volkes schreiende vnd sprach			
reiczende	unmatched	3		ein geschrei reiczende zu streit			
vorczeuhest	unmatched	3		selbir nicht vorczeuhest nicht fure			
steineiner	unmatched	3		czwu tafeln steineiner gleich den			
besicze	unmatched	3		missetat vnd besicze vns Do			
vorchtliche	unmatched	3		bist das vorchtliche werk des			
vnkeuschen	unmatched	3		wenne sie vnkeuschen ł mit			
snites	unmatched	3		des weicz snites Und di			
gehurnet	unmatched	3		nicht das gehurnet was sein			
rigeln	unmatched	3		tisch mit rigeln vnd mit			
gevese	unmatched	3		vnd mit gevese mit broten			
iacinten	unmatched	3		do hatte iacinten vnd purpir			
wenden	ambiguous	3	lemma_7397|lemma_7479	Vnd mit wenden vnd hŏrnern			
humeralis	unmatched	3		werke des humeralis von golde			
gebrouchten	unmatched	3		die priester gebrouchten in der			
enczundet	unmatched	3		dem man enczundet den weirouch			
gewulken	unmatched	3		bedakte ein gewulken das geczelt			
vmmerink	unmatched	3		des alters vmmerink Und ouf			
sweret	unmatched	3		die do sweret vnd ous			
gesvndigt	unmatched	3		einen werren gesvndigt hat in			
vorsmeht	unmatched	3		svndigt vnd vorsmeht vnsern herren			
salbte	unmatched	3		mit dem salbte her das			
suzem	unmatched	3		was in suzem ruche des			
vorterbit	unmatched	3		oder ir vorterbit Wenne das			
indrucket	unmatched	3		cla vnd indrucket in dem			
hulczeine	unmatched	3		also wol hulczeine vas als			
anderlei	unmatched	3		vas als anderlei vas vnd			
welchis	unmatched	3		gewant Und welchis man des			
priester;	unmatched	3		zu dem priester; Wenne der			
schrvnden	unmatched	3		vnd die schrvnden tvnkil Und			
geweschet	unmatched	3		das gewant geweschet so reisse			
breuten	unmatched	3		mit b breuten vnd die			
wŭstenunge	unmatched	3		in der wŭstenunge so keret			
czigenpok	unmatched	3		vnd der czigenpok die ł			
hurheit	unmatched	3		gib zu hurheit LEUITICUS dein			
schŏffil	unmatched	3		ein gerechter schŏffil vnd ein			
vnkeuschte	unmatched	3		das her vnkeuschte von seinem			
begangen;	unmatched	3		haben sie begangen; ir blut			
vnczimlichkeit	unmatched	3		habn sie vnczimlichkeit begangen; des			
herren;	unmatched	3		haben vnserm herren; an dem			
kv	unmatched	3		Aber die kv oder das			
ousgenomenlich	unmatched	3		yclichen tages ousgenomenlich der veier			
povmen	unmatched	3		vnd von povmen este dicker			
pechen	unmatched	3		von den pechen Und vrewet			
gewechsilt	unmatched	3		werden sie gewechsilt vor vnserm			
geczihet	unmatched	3		ir ein geczihet in die			
besneide	unmatched	3		sechs iar besneide deinen weingarten			
weinlesen	unmatched	3		clouben als weinlesen wenne das			
nevkvmen	unmatched	3		Und dem nevkvmen der do			
vreiunge	unmatched	3		iar der vreiunge vnd das			
betrube	unmatched	3		im nicht betrube deinen bruder			
vorchtende	unmatched	3		der setunge vorchtende keines gepot			
Ŭmme	unmatched	3		selen vorczern Ŭmme sust werdet			
eiserein	unmatched	3		recht sam eiserein vnd die			
pŏse	unmatched	3		noch das pŏse noch mit			
Wenn̆	unmatched	3		werden die Wenn̆ meyn ist			
magschafte	unmatched	3		gerete Die magschafte wir haben			
vberdecke	unmatched	3		legen ein vberdecke iacincteiner heute			
reiczet	unmatched	3		des hasses reiczet den man			
vorvluchte	unmatched	3		mit vorbannen vorvluchte hat gesamment			
vorvluchet	unmatched	3		die ich vorvluchet gehouffent Ist			
nazareers	unmatched	3		hende des nazareers noch dem			
czehn	unmatched	3		morserl wegende czehn scot voller			
madianiten	unmatched	3		svne dem madianiten seinem neuen			
werklichen	unmatched	3		mein rede werklichen wirt erfullet			
weissaget	unmatched	3		alles volk weissaget vnd vnser			
trevme	unmatched	3		oder durch trevme rede ich			
vorgienk	unmatched	3		die wolken vorgienk die do			
gemowert	unmatched	3		die stete gemowert oder ane			
spehten	unmatched	3		do durch spehten sie die			
gemowerte	unmatched	3		stete vnd gemowerte Das geslechte			
vleuset	unmatched	3		die do vleuset mit milch			
gepeine	unmatched	3		oder sein gepeine oder sein			
Gesvndigt	unmatched	3		vnd sprachen Gesvndigt hab wir			
vorderbnusse	unmatched	3		zu der vorderbnusse vnd besasen			
gekvndigt	unmatched	3		hatten im gekvndigt alle wort			
eusristen	unmatched	3		in den eusristen enden seines			
orientischen	unmatched	3		von den orientischen pergen Kvm			
hubeln	unmatched	3		vnd von hubeln werde ich			
vluchen	unmatched	3		sprach Czu vluchen meinen veinden			
erstgeporne	unmatched	3		ist der erstgeporne Des svn			
vorgeende	unmatched	3		das ł vorgeende seine kinder			
vierczik	unmatched	3		czal was vierczik tousent funf			
gegeen	unmatched	3		do mag gegeen durch die			
funfczik	unmatched	3		hundert vnd funfczik scot Wenne			
vnmesliche	unmatched	3		sie ein vnmesliche habe Und			
vorspehen	unmatched	3		NUM zu vorspehen die erde			
vnderworfen	unmatched	3		erde wirt vnderworfen gebt in			
legirten	unmatched	3		sie vnd legirten sich zu			
anderweidunge	unmatched	3		buch der anderweidunge der e			
veldis	unmatched	3		steten des veldis die in			
؞	unmatched	3		mag nicht ؞ toho ؞			
vnderscheide	unmatched	3		pilgereim kein vnderscheide sol an			
vortilgten	unmatched	3		von vnd vortilgten vnd wonten			
gesnicztes	unmatched	3		machet ein gesnicztes gleichnusse oder			
gepflanczet	unmatched	3		nicht hast gepflanczet vnd wirst			
vorgessest	unmatched	3		du icht vorgessest deines herren			
gegnoten	unmatched	3		in deinen gegnoten die czehenden			
enkennest	unmatched	3		du nicht enkennest N Nicht			
dorv̆mme	unmatched	3		die klaen dorv̆mme vnrein werden			
lesest	unmatched	3		sie vrei lesest geen wenne			
vornemen	unmatched	3		mag ich vornemen das wort			
vberkerunge	unmatched	3		besagende vmme vberkerunge sten werden			
vortrewet	unmatched	3		der im vortrewet hat ein			
powe	unmatched	3		abe vnd powe hantwerk vncz			
vortregt	unmatched	3		der nicht vortregt ł den			
Geczeugen	unmatched	3		zu besiczen Geczeugen rufe ich			
Creftige	unmatched	3		allem volke Creftige dich vnd			
erschrik	unmatched	3		dich noch erschrik Und also			
geiaget	unmatched	3		einer hat geiaget tousent vnd			
steigende	unmatched	3		Den ouf steigende wirstu gefuget			
streitender	unmatched	3		tousent ł streitender durch ire			
ŏstnischen	unmatched	3		gegen dem ŏstnischen teile der			
busovnten	unmatched	3		siben busovnen busovnten vor der			
vlihende	unmatched	3		die rucke vlihende Und wurden			
holes	unmatched	3		mvnt des holes vnd seczet			
gegint	unmatched	3		liget der gegint asedoth vncz			
czevhet	unmatched	3		von danne czevhet es zu			
nydristen	unmatched	3		creissen der nydristen vnd Und			
bit	ambiguous	2	lemma_10651|lemma_4172|lemma_687|lemma_722	von sinnen bit bit keiner			
entsliesse	unmatched	2		Und mir entsliesse meinen mvnt			
vorlihen	unmatched	2		mir Hast vorlihen brenge dir			
vromen	ambiguous	2	lemma_7274|lemma_7275|lemma_7276	abenttewer Dem vromen herren der			
intrewen	unmatched	2		sich lest intrewen schowen zu			
geleit	ambiguous	2	lemma_2057|lemma_3674|lemma_3692	selbir dein geleit Wenn wir			
Uinden	unmatched	2		keinen Buchen Uinden keiner minne			
sase	unmatched	2		in gleicher sase Bawen des			
bekvmmert	unmatched	2		do mit bekvmmert wesen Das			
anevanck	unmatched	2		der werlde anevanck Uon dem			
gegenwurticheit	unmatched	2		Mit seiner gegenwurticheit getrost Gespracht			
grunende	unmatched	2		die erde grunende wurcze vnd			
machende	unmatched	2		wurcze vnd machende samen Und			
saczste	unmatched	2		stern vnd saczste sie an			
gevogeln	unmatched	2		vnd den gevogeln des himels			
wechst	unmatched	2		das golt wechst Vnd das			
Is	ambiguous	2	lemma_1762|lemma_2979|lemma_5432	der sprach Is ist nicht			
formte	unmatched	2		herre dorumbe formte alle tyre			
habist	unmatched	2		seist du habist denne von			
Uorfluchet	unmatched	2		soldest essen Uorfluchet sei die			
lebendingen	unmatched	2		was aller lebendingen Und got			
vorfluchet	unmatched	2		nv wirstu vorfluchet auf der			
vorfluchtig	unmatched	2		irre vnd vorfluchtig vf der			
nevnczick	unmatched	2		funf und nevnczick iar vnd			
czweinczick	unmatched	2		tage werden czweinczick vnd hundert			
hŏlczern	unmatched	2		ł gefugen hŏlczern wonunglein mache			
gienck	unmatched	2		Und ein gienck ł vnd			
hundersten	unmatched	2		Im sechs hundersten iare des			
vorslos	unmatched	2		vnser herre vorslos in dorinne			
czweinczigsten	unmatched	2		siben vnd czweinczigsten tage des			
krichent	unmatched	2		die do krichent auf der			
enczvntes	unmatched	2		opferte gancz enczvntes opfer auf			
svmer	unmatched	2		vnd wirme svmer vnd winter			
pflanczte	unmatched	2		erde vnd pflanczte einen weingarten			
bedackten	unmatched	2		hinderwert vnd bedackten ires vaters			
cap̄	unmatched	2		kinder X cap̄ GENE vnd			
kuntscheften	unmatched	2		noch iren kuntscheften vnd czungen			
vorneme	unmatched	2		yclicher nicht vorneme die czunge			
geperung	unmatched	2		sint die geperung geperte vnd			
snvre	unmatched	2		vnd sein snvre die hausvrow			
sibenczic	unmatched	2		funf vnd sibenczic iar alt			
vnderganck	unmatched	2		svnnen ł vnderganck vnd die			
dir;	unmatched	2		ist vor dir; czeuch von			
czuden	unmatched	2		vnd gen czuden gen ŏsten			
wiltnusse	unmatched	2		in der wiltnusse Und karten			
kundigte	unmatched	2		entran vnd kundigte ł das			
achtczehen	unmatched	2		drihundert vnd achtczehen vnd czoch			
hŏhsten	unmatched	2		priester des hŏhsten gotis vnd			
hŏchste	unmatched	2		sei der hŏchste der do			
Uorware	unmatched	2		vierhundert iare Uorware ydoch das			
pete	ambiguous	2	lemma_615|lemma_722	do irr pete gehengte do			
gehengte	unmatched	2		irr pete gehengte do brachte			
czymt	unmatched	2		als wol czymt Und dorumbe			
eynot	unmatched	2		in der eynot der do			
gekouften	unmatched	2		als die gekouften vnd die			
volvarnes	unmatched	2		vnd wol volvarnes alders Und			
herous	unmatched	2		fur ich herous zu euch			
beschuczunge	unmatched	2		schaten meiner beschuczunge Und sie			
vrteiln	unmatched	2		nv soltu vrteiln Dorumb dich			
slussen	unmatched	2		ein vnd slussen die tur			
wenick	unmatched	2		sie nicht wenick so nv			
pilgereimte	unmatched	2		vnd vnd pilgereimte hin zu			
voderte	unmatched	2		aber ous voderte er vnd			
czuhest	unmatched	2		du hin czuhest so gedencke			
beuche	unmatched	2		vorslossen alle beuche des houses			
besuchte	unmatched	2		vnser herre besuchte als er			
hŏrende	unmatched	2		sie Welcher hŏrende geloubte des			
