TITLE;AUTHOR;EDITION;DESCRIPTION;LINECODE;IMAGE;TYPE;TITLEEXTENTION;ORIGIN;EDITIONINFO;VOLUMEID;VOLUMETITEL;ID;PUBYEAR;PUBFREE;Kapitel in Edition?;Zerlegung erforderlich?;Spalte1;Datum Zitat GND;Datum Zitat VL;Stellenangabe VL;Datum von;Datum bis;Datum Abweichung;Norm Werk WikiData;Norm Werk GND;MWB-Sigle;Norm Bibl DND;Norm Bibl Google Books;Norm Bibl ÖNB
Pfaffe Amis;4;Des Strickers Pfaffe Amis. Hrsg. von Kin'ichi Kamihara. Göppingen 1978.(=Göppinger Arbeiten zur Germanistik, Nr. 233);"Text enthält keine Längungszeichen.

Lemmatisiert, aber noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000----;;13;;;;;;AMI;;;Nein;Nein;;;äußert unklar. Vgl. langen Abschnitt VL;;1220;1250;10;Q1196189;4226431-5;StrAmis;780449681;FWwbAAAAYAAJ ;
Wigalois, der Ritter mit dem Rade;36;Wigalois der Ritter mit dem Rade, von Wirnt von Gravenberc, hrsg. v. J.M.N. Kapteyn, Bonn 1926.;"Lemmatisiert, aber nicht disambiguiert.



Der Text enthält Einschübe.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000-----i;;16;;;;;;WGL;1926;1;Nein;Nein;;;"Früheste denkbare Datierung in dem zwischen 1204 und spätestens 1230 gesetzten Rahmen ist daher zwischen 1210 und 1220; zu erwägen ist eine spätere Datierung zwischen 1217 und 1228 (nach dem ‘Willehalm’, vor dem Tod des Markgrafen Heinrich). Wahrscheinlicher ist dann wohl, wegen der größeren Nähe zum beklagten Tod des Andechser vürsten, eine Datierung näher an 1210 als an 1220.";;1210;1220;10;Q2569730;4131828-6;Wig;363248498;uE4LAAAAMAAJ;
Der guote Gêrhart;11;Rudolf von Ems: Der guote Gêrhart.Hrsg. v. John A. Asher. Tübingen 1971. (= Altdeutsche Textbibliothek, Nr. 56).;"Lemmatisiert, aber noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000----;;4;;;;;;GER;1971;1;Nein;Nein;;;Unter der Perspektive der Werkreihe vom ‘GG’ an bis hin zur ‘Wchr’ ist damit R.s literarische Aktivität von etwa 1220 bis in die Mitte der fünfziger Jahre hinein belegt;;1220;1250;10;Q42190653;4115801-5;n;720039061;ONhTygAACAAJ ;
Helmbrecht;43;Wernher der Gartenaere: Helmbrecht. Hrsg. v. Friedrich Panzer. 8. neubearb. Auflage besorgt von Kurt Ruh. Tübingen 1968. (= ATB 11);"Insgesamt 1934 Verszeilen beginnend mit Vers 1.



Lemmatisiert, aber nicht disambiguiert.



Der Text weist Überschriften und Einschübe nach den Versen (44;740) auf.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000----ih;;63;;;;;;HBR;1968;1;Nein;Nein;;; Als Eckdaten für die Abfassung der Versnovelle stehen nur der Tod des Lyrikers → Neidhart (v. 217) nach 1237 und vor 1246 (?) und das XV. Gedicht des sog. ‘Seifried → Helbling’ von 1291/99, das auf den ‘H.’ anspielt, zur Verfügung. (Anklänge im XIV. Gedicht von 1282/83 lassen sich nur vage vermuten, mit besseren Gründen solche im I. Gedicht, das aber auch erst nach 1291 entstanden ist.) Die Gründe für eine Festlegung auf die Zeit Herzog Albrechts I. sind aber überaus schwach, so daß die Datierung ins Interregnum (bis 1273/78/82) immer noch das meiste für sich hat.;;1240;1280;10;Q1755381;4192248-7;Helmbr;458622311;n;
Nibelungenlied (C);;Das Nibelungenlied nach der Handschrift C, hrsg.v. Ursula Hennig. Tübingen 1977.;"Lemmatisiert und teilweise disambiguiert.



Der Text weist Überschriften auf.



Links zur Karlsruher Hs.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000ssss-h;;2;Hs. C;;;;;NLC;1977;1;Nein;Nein;; erschienen: 1180-1210;;;1190;1200;10;Q131554;4042046-2;NibC;1105088375;t4cVMQAACAAJ;
Salman und Morolf (Forts.);;Fortsetzung des Morolff im Strassburger Druck (78303ff);"Lemmatisiert, aber noch nicht disambiguiert.





Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000000---;;2;Fortsetzung;;;;;SAT;;;Nein;Nein;;;;;;;;n;n;SalMor;n;n;
Herzog Ernst (Hs.D, strophig);;Herzog Ernst. Strophische Bearbeitung. (= D) In: Herzog Ernst.Hrsg. v. Karl Bartsch. Wien 1869. S.187-225.;"Lemmatisiert, aber noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000ss--;;304;;;;;;ERD;1869;1;Ja;Nein;;n;vermutlich in der 2. Hälfte des 13. Jh.s verfaßt;;1250;1300;10;Q1615222;4159677-8, 4159682-1;ErnstD;456973044;cpStbZTdu5AC ;
Alexander (U.v.E);12;Ulrich von Eschenbach: Alexander, hrsg. v. Wendelin Toischer. Tübingen 1888. (=Bibliothek des litterarischen Vereins in Stuttgart, Bd. CLXXXIII.);"Bestehend aus 28000 Verszeilen beginnend mit Vers 1.

Noch nicht lemmatisiert und nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";00000000000000-----;;10;Ulrich von Etzenbach;Ulrichs Alexanderroman ist vermutlich zwischen 1270-84 entstanden.;;;;AXU;1888;1;Nein;Nein;;n;unter Přemysl Ottokar II. (1253-1278) und Wenzel II. (1283-1305) längere Zeit am Königshof;;1250;1300;10;n;4219319-9;UvEtzAlex;362923884;eDtAAQAAMAAJ;
Frauendienst Lieder;5;Hg. Reinhold Bechstein. Leipzig, 1888.;"Lemmatisiert, aber nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000dds--h;;5;Bechstein;;;;;FLD;;;Nein;Ja;;;;;;;;;;n;n;nnUDrgEACAAJ;
Dietrich und Wenezlan;;(Bruchstücke von) Dietrich und Wenezlan. In: Dietrichs Abenteuer von Albrecht von Kemenaten. Nebst den Bruchstücken von Dietrich und Wenezlan. Hrsg. v. Julius Zupitza. Berlin 1870. (= Deutsches Helden;"Lemmatisiert, aber nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000000---;;2;;;;;;WEN;;;Ja;Nein;;Um 1250 entstandenes fragmentar., mittelhochdeutsches Epos;;;1250;1250;10;Q1224116;7565864-1;Wenzl;n;OsJTAAAAcAAJ;
Der Wunderer;;Etzels Hofhaltung/Der Wunderer. In: Der Helden Buch in der Ursprache. Hrsg. v. Friedrich Heinrich von der Hagen u. Alois Primisser. Berlin 1825.;"Lemmatisiert. Noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";00000000000000sss0-;;2;;;;;;WND;;;Ja;Ja?;;15. Jahrhundert;;;1400;1499;10;n;4149155-5;n;n;1Vw_AAAAcAAJ;
Wilhelm von Österreich;48;Johanns von Würzburg: Wilhelm von Österreich, aus der Gothaer Handschrift. Hrsg. v. Ernst Regel. Berlin 1906.;"Lemmatisiert, noch nicht disambiguiert.



Der Text enthält einen längeren Einschub nach Zeile 567.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000-----ii;;1;;;;;;WVO;;;Nein;Nein;;n;Das Werk, das er im Mai 1314 abschließt;;1290;1314;10;n;4233754-9;WhvÖst;970274211;b7xLAQAAMAAJ;AC09993037
Alpharts Tod;;ALPHARTS TOD. In: Deutsches Heldenbuch, zweiter Teil. Hrsg. v. Ernst Martin. Berlin 1866. S.3 - 54.;"Text ist in langzeilige Strophen gegliedert und beginnt erst mit der 4. Zeile von Strophe 1.

Lemmatisiert, nicht disambiguiert.

Text weist Lücken auf.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000sss-;;2;;;;;;AT;;;Ja;Nein;;;;;;;;;;;;;
Tristrant (Hs. D);42;Eilhart von Oberg: Tristrant. Hrsg. von Hadumod Bussmann. Tübingen 1969. (= ATB 70. [Nachfolgend: Ergänzungen aus der Handschrift D.];"Der Text beginnt mit Vers 1608.

Lemmatisiert, aber noch nicht disambiguiert.

Text weist Lücken(1 - 1607;1624-1654;1680-1725) auf.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";00000000000000----i;;16;;;;;;EID;;;Nein;Nein;;;;;;;;;;;;;
Neidhart-Lieder Hs. c (Bennewitz);64;"Neidhart: Die Berliner Neidhart-Handschrift c (mgf 779).

Hrsg. v.Ingrid Bennewitz-Behr. (=Göppinger Arbeiten zur Germanistik, Bd. 356); mit editorischen Abweichungen (s. Description)

In der Reihe ""Neidhart-Materialien"", Bd. I, hrsg. v. Ulrich Müller u. Franz Viktor Spechtler, Göppingen 1981.";"Lemmatisiert und disambiguiert. 

Die Transkription von Ingrid Bennewitz wurde um die Konjekturen der Salzburger Neidhart-Edition ergänzt. Der multifunktionale Akzent über Vokalen wurde entweder als Diphthong oder als Umlaut aufgelöst.

Der Text beginnt mit Seite 1, Lied 1, Zeile 1 (10101)

Die Lieder haben Überschriften. Sie erscheinen als letzte Ziffer im Zeilenkode, d.h., eine entsprechende Überschrift erscheint gewissermassen als Einschub nach der letzten Zeile des vorhergehenden Liedes.

Der Text dieser Ausgabe enthält keine Interpunktion. 

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";00000000000dddss--h;1716;5;;;;;;NEI;;;Nein;Ja;;;;;;;;;;;;;
Eckenlied;;Eckenlied. Fassung L. Herausgegeben von Martin Wierschin. Tübingen, M. Niemeyer, 1974.(= ATB, Nr. 78);"Lemmatisiert, aber noch nicht disambiguiert.

Der Text ist am Ende unvollständig.



Der Herausgeber schreibt den Anfangsbuchstaben des ersten Wortes einer Strophe jeweils gross; die Hs. L schreibt nur klein. Der Hrsg. schreibt

alle Namen mit grossem Anfangsbuchstaben; die Hs. L verfährt unterschiedlich.



Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000sss--h;;2;Fassung L.;;;;;EKL;;;Nein;Nein;;;;;;;;;;;;;
Erec;2;Hartmann von Aue. Erec. Hg. nach Albert Leitzmann, 3.Aufl. v. Ludwig Wolff, Tübingen 1963.;"Voll lemmatisiert, aber nicht disambiguiert.



Der Text hat einen Einschub von 57 Zeilen nach Vers 4629 und weist eine Lücke (V.1675) auf.



Entstanden ca. 1185.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000-----ii;;16;;;;;;ER;1963;1;Nein;Nein;;;;;;;;;;;;;
Koninc Ermenrîkes Dôt;;"Koninc Ermenrîkes Dôt.Ein niederdeutsches Lied zur Dietrichsage.

Hrsg. v. Jacob Grimm. Hannover 1851.";"Lemmatisiert, aber nicht disambiguiert.



Die arabischen Ziffern im Text werden aus programmtechnischen Gründen 

als römische Ziffern geführt.



Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000ss-h;;2;;;;;;ERM;;;Nein;Nein;;;;;;;;;;;;;
Frauendienst (Bechst.);5;Hg. Reinhold Bechstein, Leipzig 1888.;"Voll lemmatisiert und teilweise disambiguiert.



Keine Satzzeichen.



Eingeschobene Lieder, Buechlîn und Briefe sind als jeweils separate Texte gefu.hrt.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000ssss0-;;62;Epik, Bechstein;;;;;FD;1888;1;Nein;Nein;;;;;;;;;;;;;
Goldemar;15;"Goldemar. In: Dietrichs Abenteuer von Albrecht von Kemenaten. Nebst den Bruchstücken von Dietrich und Wenezlan. Hrsg. v. Julius Zupitza. Berlin 1870. (=Deutsches Heldenbuch, BD.5 )

S.203/4.";"Lemmatisiert, aber nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000ss--;;2;;;;;;GOL;;;Ja;Nein;;;;;;;;;;;;;
Meleranz;32;Der Pleier: Meleranz. Hrsg. v. Karl Bartsch. Stuttgart 1861.;"Der Text besteht aus 12841 Verszeilen beginnend mit Vers 1.



Lemmatisiert, aber nicht disambiguiert.



Der Text weist nach den Versen (6314;10942) Einschübe auf.



Anmerkungen des Herausgebers:

""Der Herausgeber hat versucht,dem Original möglichst nahezukommen. Dazu

hat er Vergleiche zu den anderen Werken Pleiers unternommen, da diese z.T. in älteren Hss. überliefert sind. Bartsch hat einige Stellen und unterschiedliche Schreibweisen vereinheitlicht, Abweichungen sind von mir in den Anmerkungen unter dem Text sowie am Ende der Ausgabe verzeichnet und entsprechend berücksichtigt worden.""



Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000-----i;;16;;"Der Meleranz ist nur in einer einzigen Hs. erhalten: Donaueschinger Hs.

Nr. 87 (Fürstlich Fürstenbergische Bibliothek zu Donaueschingen) aus dem

Jahre 1480.";;;;MEL;1861;1;Nein;Nein;;;;;;;;;;;;;
Nibelungenlied (B/C);;Das Nibelungenlied. Nach der Ausg. von Karl Bartsch, hrsg. von Helmut de Boor. Wiesbaden, Brockhaus, 1967. (= Deutsche Klassiker des Mittelalters, Bd. 3);"Die Ausgabe, die ursprünglich als Edition der Hs.B ausgegeben war, basiert in Wirklichkeit auf einer Mischung der Hss. B und C.





Zur Gänze lemmatisiert und weitgehend disambiguiert.



Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";00000000000000ssss-;;2;Bartsch/deBoor;;;;;NLB;1967;1;Nein;Nein;;;;;;;;;;;;;
Das Turnier von Nantes;1;Konrad von Würzburg: Das Turnier von Nantes. In: Kleinere Dichtungen Konrads von Würzburg II, hrsg. v. Edward Schröder, o.O., 5.Auflage 1974, 42-75.;"Voll lemmatisiert, aber nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000----;;1;;;;;;NT;1974;1;Ja;Nein;;;;;;;;;;;;;
Die Rabenschlacht;;Die Rabenschlacht. In: Deutsches Heldenbuch, Bd. 2. Hrsg. v.Ernst Martin. 3.Auflage (unveränderter Nachdruck der 1. Auflage, Berlin 1866). O.O. 1975.;"Lemmatisiert, aber nicht disambiguiert.



Der Text besteht aus 1140 Strophen mit je 6 Versen beginnend mit Vers 1/1.



Der Text weist nach den Versen (80/6;100/6;142/6;165/6;213/6;276/6;333/6;375/6;464/6;554/6;868/6;974/6;

1026/6) Einschübe auf.



Entstanden um 1270. Vermutlich existierte ein älteres Rabenschlachtepos. Die historische Grundlage sieht man in der Schlacht am Nedao (454 n.C.).

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000ssss-i;;2;;;;;;RAB;;;Ja;Nein;;;;;;;;;;;;;
Meinloh von Sevelingen;125;Des Minnesangs Frühling. Unter Benutzung der Ausgaben von Karl Lachmann und Moriz Haupt, Friedrich Vogt und Carl von Kraus bearbeitet von Hugo Moser und Helmut Tervooren. 36., neugestaltete und erweiterte Auflage. Stuttgart: S. Hirzel Verlag 1977.;"Lemmatisiert, aber noch nicht disambiguiert

Auszug aus MF nach einzelnen Abschnitten/Autoren. 

Verschiedene Überlieferungen sind als große fortlaufende Kapitelnummer vor dem jeweils ersten Lied gekennzeichnet. Beispiel: Die AC-Überlieferung bei Spervogel ist als Kapitel 1, die J-Überlieferung als Kapitel 2 gekennzeichnet. 

Soll der gesamte MF durchsucht werden, müssen alle dazugehörenden Abschnitte (MNL=MF Namenlose Lieder; MAD= MF Engelhart von Adelnburg) angeleuchtet werden. 

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000cddss--;;81;Minnesangs Frühling;;;MSF;Minnesangs Frühling;MMS;;;Ja;Ja;;;;;;;;;;;;;
