xml_id,form,context,normalized,match_type,lemma_ids
WZB_1ra_4_3,ist,vnd genant ist Biblia etcetera,ist,matched,lemma_5432
WZB_1ra_4_4,Biblia,genant ist Biblia etcetera O,biblia,matched,lemma_21800
WZB_1ra_4_6,etcetera,ist Biblia etcetera O Got,etcetera,matched,lemma_24489
WZB_1ra_5_0,O,Biblia etcetera O Got got,o,ambiguous,lemma_18476|lemma_2|lemma_4445
WZB_1ra_6_0,Got,etcetera O Got got du,got,matched,lemma_2465
WZB_1ra_6_2,got,O Got got du herczen,got,matched,lemma_2465
WZB_1ra_6_4,du,Got got du herczen liebes,du,ambiguous,lemma_1139|lemma_1180|lemma_1241|lemma_1242
WZB_1ra_6_5,herczen,got du herczen liebes gute,herczen,matched,lemma_2795
WZB_1ra_6_6,liebes,du herczen liebes gute Czu,liebes,matched,lemma_3765
WZB_1ra_6_7,gute,herczen liebes gute Czu dir,gute,ambiguous,lemma_2551|lemma_2573
WZB_1ra_6_10,Czu,liebes gute Czu dir hebit,czu,matched,lemma_7770
WZB_1ra_7_0,dir,gute Czu dir hebit sich,dir,ambiguous,lemma_1169|lemma_1242
WZB_1ra_7_1,hebit,Czu dir hebit sich mein,hebit,matched,lemma_2688
WZB_1ra_7_2,sich,dir hebit sich mein mut,sich,ambiguous,lemma_42100|lemma_5366|lemma_5445|lemma_5455
WZB_1ra_7_3,mein,hebit sich mein mut Und,mein,ambiguous,lemma_3001|lemma_4048|lemma_4051
WZB_1ra_7_4,mut,sich mein mut Und rufet,mut,ambiguous,lemma_4238|lemma_4264|lemma_4265
WZB_1ra_7_6,Und,mein mut Und rufet dich,und,matched,lemma_6467
WZB_1ra_8_0,rufet,mut Und rufet dich gutlichen,rufet,matched,lemma_5028
WZB_1ra_8_1,dich,Und rufet dich gutlichen an,dich,matched,lemma_1242
WZB_1ra_8_2,gutlichen,rufet dich gutlichen an wenne,gutlichen,matched,lemma_2574
WZB_1ra_8_3,an,dich gutlichen an wenne nyemant,an,ambiguous,lemma_13|lemma_1331|lemma_199|lemma_210|lemma_2570
WZB_1ra_8_6,wenne,gutlichen an wenne nyemant wol,wenne,matched,lemma_7385
WZB_1ra_9_0,nyemant,an wenne nyemant wol geschaffen,nyemant,matched,lemma_4366
WZB_1ra_9_1,wol,wenne nyemant wol geschaffen kan,wol,matched,lemma_7677
WZB_1ra_9_2,geschaffen,nyemant wol geschaffen kan An,geschaffen,matched,lemma_5153
WZB_1ra_9_3,kan,wol geschaffen kan An dich,kan,ambiguous,lemma_29233|lemma_3400|lemma_3538
WZB_1ra_10_0,An,geschaffen kan An dich wil,an,ambiguous,lemma_13|lemma_1331|lemma_199|lemma_210|lemma_2570
WZB_1ra_10_1,dich,kan An dich wil yemant,dich,matched,lemma_1242
WZB_1ra_10_3,wil,An dich wil yemant icht,wil,ambiguous,lemma_7473|lemma_7529|lemma_7620
WZB_1ra_10_4,yemant,dich wil yemant icht beginnen,yemant,matched,lemma_3008
WZB_1ra_10_5,icht,wil yemant icht beginnen Von,icht,matched,lemma_3022
WZB_1ra_10_6,beginnen,yemant icht beginnen Von herczen,beginnen,matched,lemma_446
WZB_1ra_11_1,Von,icht beginnen Von herczen vnd,von,matched,lemma_7193
WZB_1ra_11_2,herczen,beginnen Von herczen vnd von,herczen,matched,lemma_2795
WZB_1ra_11_3,vnd,Von herczen vnd von sinnen,vnd,matched,lemma_6467
WZB_1ra_11_4,von,herczen vnd von sinnen bit,von,matched,lemma_7193
WZB_1ra_11_5,sinnen,vnd von sinnen bit bit,sinnen,ambiguous,lemma_5484|lemma_5491
WZB_1ra_12_0,bit,von sinnen bit bit keiner,bit,ambiguous,lemma_10651|lemma_4172|lemma_687|lemma_722
WZB_1ra_12_1,bit,sinnen bit bit keiner hand,bit,ambiguous,lemma_10651|lemma_4172|lemma_687|lemma_722
WZB_1ra_12_2,keiner,bit bit keiner hand geticht,keiner,matched,lemma_3273
WZB_1ra_12_3,hand,bit keiner hand geticht t,hand,ambiguous,lemma_2598|lemma_2640
WZB_1ra_12_4,geticht,keiner hand geticht t t,geticht,matched,lemma_6083
WZB_1ra_13_0,t,hand geticht t t er,t,matched,lemma_6210
WZB_1ra_13_1,t,geticht t t er deiner,t,matched,lemma_6210
WZB_1ra_13_2,er,t t er deiner hulffe,er,ambiguous,lemma_1281|lemma_1282|lemma_1517|lemma_25157|lemma_5454|lemma_56116|lemma_56117
WZB_1ra_13_3,deiner,t er deiner hulffe nicht,deiner,matched,lemma_1242
WZB_1ra_13_4,hulffe,er deiner hulffe nicht Vnd,hulffe,matched,lemma_2739
WZB_1ra_13_5,nicht,deiner hulffe nicht Vnd ob,nicht,matched,lemma_4377
WZB_1ra_14_0,Vnd,hulffe nicht Vnd ob er,vnd,matched,lemma_6467
WZB_1ra_14_1,ob,nicht Vnd ob er die,ob,ambiguous,lemma_4457|lemma_67820|lemma_9329
WZB_1ra_14_2,er,Vnd ob er die vorkeuset,er,ambiguous,lemma_1281|lemma_1282|lemma_1517|lemma_25157|lemma_5454|lemma_56116|lemma_56117
WZB_1ra_14_3,die,ob er die vorkeuset Sein,die,ambiguous,lemma_1139|lemma_1161
WZB_1ra_14_4,vorkeuset,er die vorkeuset Sein arbeit,vorkeuset,unmatched,
WZB_1ra_14_6,Sein,die vorkeuset Sein arbeit er,sein,ambiguous,lemma_1517|lemma_1762|lemma_5377|lemma_5427|lemma_5432
WZB_1ra_14_7,arbeit,vorkeuset Sein arbeit er vorleuset,arbeit,ambiguous,lemma_269|lemma_270
WZB_1ra_15_0,er,Sein arbeit er vorleuset Wenne,er,ambiguous,lemma_1281|lemma_1282|lemma_1517|lemma_25157|lemma_5454|lemma_56116|lemma_56117
WZB_1ra_15_1,vorleuset,arbeit er vorleuset Wenne also,vorleuset,unmatched,
WZB_1ra_15_4,Wenne,er vorleuset Wenne also sp,wenne,matched,lemma_7385
WZB_1ra_15_5,also,vorleuset Wenne also sp spricht,also,matched,lemma_152
WZB_1ra_15_6,sp,Wenne also sp spricht dein,sp,unmatched,
WZB_1ra_16_0,spricht,also sp spricht dein werder,spricht,matched,lemma_5693
WZB_1ra_16_1,dein,sp spricht dein werder svn,dein,matched,lemma_1242
WZB_1ra_16_2,werder,spricht dein werder svn An,werder,matched,lemma_7500
WZB_1ra_16_3,svn,dein werder svn An mich,svn,matched,lemma_5883
WZB_1ra_16_6,An,werder svn An mich mugt,an,ambiguous,lemma_13|lemma_1331|lemma_199|lemma_210|lemma_2570
WZB_1ra_16_7,mich,svn An mich mugt ir,mich,matched,lemma_3001
WZB_1ra_17_0,mugt,An mich mugt ir nicht,mugt,matched,lemma_4240
WZB_1ra_17_1,ir,mich mugt ir nicht getvn,ir,ambiguous,lemma_1517|lemma_5454|lemma_56116|lemma_56117
WZB_1ra_17_2,nicht,mugt ir nicht getvn Dorvmbe,nicht,matched,lemma_4377
WZB_1ra_17_3,getvn,ir nicht getvn Dorvmbe rufe,getvn,matched,lemma_6301
WZB_1ra_17_6,Dorvmbe,nicht getvn Dorvmbe rufe ich,dorvmbe,unmatched,
WZB_1ra_18_0,rufe,getvn Dorvmbe rufe ich herre,rufe,matched,lemma_5028
WZB_1ra_18_1,ich,Dorvmbe rufe ich herre czu,ich,matched,lemma_3001
WZB_1ra_18_2,herre,rufe ich herre czu dir,herre,ambiguous,lemma_2684|lemma_2761
WZB_1ra_18_3,czu,ich herre czu dir Und,czu,matched,lemma_7770
WZB_1ra_18_4,dir,herre czu dir Und bite,dir,ambiguous,lemma_1169|lemma_1242
WZB_1ra_18_6,Und,czu dir Und bite dich,und,matched,lemma_6467
WZB_1ra_18_7,bite,dir Und bite dich das,bite,ambiguous,lemma_687|lemma_722
WZB_1ra_19_0,dich,Und bite dich das du,dich,matched,lemma_1242
WZB_1ra_19_2,das,bite dich das du sendest,das,ambiguous,lemma_1097|lemma_13169
WZB_1ra_19_3,du,dich das du sendest mir,du,ambiguous,lemma_1139|lemma_1180|lemma_1241|lemma_1242
WZB_1ra_19_4,sendest,das du sendest mir Deiner,sendest,unmatched,
WZB_1ra_19_5,mir,du sendest mir Deiner gnaden,mir,matched,lemma_3001
WZB_1ra_19_7,Deiner,sendest mir Deiner gnaden stew̆er,deiner,matched,lemma_1242
WZB_1ra_20_0,gnaden,mir Deiner gnaden stew̆er Des,gnaden,matched,lemma_2110
WZB_1ra_20_1,stew̆er,Deiner gnaden stew̆er Des heiligen,stew̆er,unmatched,
WZB_1ra_20_4,Des,gnaden stew̆er Des heiligen geistes,des,ambiguous,lemma_1097|lemma_1119|lemma_1186
WZB_1ra_20_5,heiligen,stew̆er Des heiligen geistes fewer,heiligen,matched,lemma_2708
WZB_1ra_20_6,geistes,Des heiligen geistes fewer Das,geistes,matched,lemma_2044
WZB_1ra_21_0,fewer,heiligen geistes fewer Das mein,fewer,matched,lemma_7108
WZB_1ra_21_3,Das,geistes fewer Das mein sinne,das,ambiguous,lemma_1097|lemma_13169
WZB_1ra_21_4,mein,fewer Das mein sinne durchfeuchte,mein,ambiguous,lemma_3001|lemma_4048|lemma_4051
WZB_1ra_21_5,sinne,Das mein sinne durchfeuchte Und,sinne,ambiguous,lemma_5432|lemma_5484|lemma_5491
WZB_1ra_21_6,durchfeuchte,mein sinne durchfeuchte Und mein,durchfeuchte,unmatched,
WZB_1ra_22_1,Und,sinne durchfeuchte Und mein sele,und,matched,lemma_6467
WZB_1ra_22_2,mein,durchfeuchte Und mein sele erleuchte,mein,ambiguous,lemma_3001|lemma_4048|lemma_4051
WZB_1ra_22_3,sele,Und mein sele erleuchte Und,sele,matched,lemma_5349
WZB_1ra_22_4,erleuchte,mein sele erleuchte Und mir,erleuchte,unmatched,
WZB_1ra_23_0,Und,sele erleuchte Und mir entsliesse,und,matched,lemma_6467
WZB_1ra_23_1,mir,erleuchte Und mir entsliesse meinen,mir,matched,lemma_3001
WZB_1ra_23_2,entsliesse,Und mir entsliesse meinen mvnt,entsliesse,unmatched,
WZB_1ra_23_3,meinen,mir entsliesse meinen mvnt Das,meinen,ambiguous,lemma_3001|lemma_4051
WZB_1ra_23_4,mvnt,entsliesse meinen mvnt Das ich,mvnt,matched,lemma_4252
WZB_1ra_24_0,Das,meinen mvnt Das ich mvze,das,ambiguous,lemma_1097|lemma_13169
WZB_1ra_24_1,ich,mvnt Das ich mvze czu,ich,matched,lemma_3001
WZB_1ra_24_2,mvze,Das ich mvze czu aller,mvze,unmatched,
WZB_1ra_24_3,czu,ich mvze czu aller stvnt,czu,matched,lemma_7770
WZB_1ra_24_4,aller,mvze czu aller stvnt In,aller,matched,lemma_106
WZB_1ra_24_5,stvnt,czu aller stvnt In PROLOGUS,stvnt,matched,lemma_5842
WZB_1ra_24_7,In,aller stvnt In PROLOGUS trewen,in,ambiguous,lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472
WZB_1rb_1_0,PROLOGUS,stvnt In PROLOGUS trewen ymmer,prologus,matched,lemma_26634
WZB_1rb_2_0,trewen,In PROLOGUS trewen ymmer meren,trewen,matched,lemma_6215
WZB_1rb_2_1,ymmer,PROLOGUS trewen ymmer meren Das,ymmer,matched,lemma_3009
WZB_1rb_2_2,meren,trewen ymmer meren Das lop,meren,ambiguous,lemma_3922|lemma_4034|lemma_4035
WZB_1rb_2_4,Das,ymmer meren Das lop deiner,das,ambiguous,lemma_1097|lemma_13169
WZB_1rb_2_5,lop,meren Das lop deiner eren,lop,ambiguous,lemma_3830|lemma_3849
WZB_1rb_2_6,deiner,Das lop deiner eren Das,deiner,matched,lemma_1242
WZB_1rb_3_0,eren,lop deiner eren Das ich,eren,ambiguous,lemma_1282|lemma_5454|lemma_56116|lemma_57649
WZB_1rb_3_3,Das,deiner eren Das ich die,das,ambiguous,lemma_1097|lemma_13169
WZB_1rb_3_4,ich,eren Das ich die pfunt,ich,matched,lemma_3001
WZB_1rb_3_5,die,Das ich die pfunt die,die,ambiguous,lemma_1139|lemma_1161
WZB_1rb_3_6,pfunt,ich die pfunt die du,pfunt,matched,lemma_4661
WZB_1rb_3_8,die,die pfunt die du mir,die,ambiguous,lemma_1139|lemma_1161
WZB_1rb_3_9,du,pfunt die du mir Hast,du,ambiguous,lemma_1139|lemma_1180|lemma_1241|lemma_1242
WZB_1rb_4_0,mir,die du mir Hast vorlihen,mir,matched,lemma_3001
WZB_1rb_4_2,Hast,du mir Hast vorlihen brenge,hast,ambiguous,lemma_2598|lemma_2681
WZB_1rb_4_3,vorlihen,mir Hast vorlihen brenge dir,vorlihen,unmatched,
WZB_1rb_4_5,brenge,Hast vorlihen brenge dir m,brenge,matched,lemma_868
WZB_1rb_4_6,dir,vorlihen brenge dir m Mit,dir,ambiguous,lemma_1169|lemma_1242
WZB_1rb_4_8,m,brenge dir m Mit reichem,m,matched,lemma_13826
WZB_1rb_5_0,Mit,dir m Mit reichem wucher,mit,matched,lemma_4172
WZB_1rb_5_1,reichem,m Mit reichem wucher vrolich,reichem,matched,lemma_4872
WZB_1rb_5_2,wucher,Mit reichem wucher vrolich Das,wucher,matched,lemma_7730
WZB_1rb_5_3,vrolich,reichem wucher vrolich Das dein,vrolich,matched,lemma_7257
WZB_1rb_5_6,Das,wucher vrolich Das dein mvnt,das,ambiguous,lemma_1097|lemma_13169
WZB_1rb_6_0,dein,vrolich Das dein mvnt so,dein,matched,lemma_1242
WZB_1rb_6_1,mvnt,Das dein mvnt so fruntlich,mvnt,matched,lemma_4252
WZB_1rb_6_2,so,dein mvnt so fruntlich Mir,so,matched,lemma_5601
WZB_1rb_6_3,fruntlich,mvnt so fruntlich Mir denne,fruntlich,matched,lemma_7248
WZB_1rb_6_5,Mir,so fruntlich Mir denne gutlich,mir,matched,lemma_3001
WZB_1rb_6_6,denne,fruntlich Mir denne gutlich spreche,denne,matched,lemma_1117
WZB_1rb_7_0,gutlich,Mir denne gutlich spreche czu,gutlich,matched,lemma_2574
WZB_1rb_7_1,spreche,denne gutlich spreche czu Vrewe,spreche,matched,lemma_5693
WZB_1rb_7_2,czu,gutlich spreche czu Vrewe dich,czu,matched,lemma_7770
WZB_1rb_7_5,Vrewe,spreche czu Vrewe dich lieber,vrewe,matched,lemma_7256
WZB_1rb_7_6,dich,czu Vrewe dich lieber diener,dich,matched,lemma_1242
WZB_1rb_7_7,lieber,Vrewe dich lieber diener nv,lieber,matched,lemma_3765
WZB_1rb_8_0,diener,dich lieber diener nv Sint,diener,matched,lemma_1144
WZB_1rb_8_1,nv,lieber diener nv Sint du,nv,matched,lemma_4432
WZB_1rb_8_4,Sint,diener nv Sint du bist,sint,ambiguous,lemma_5432|lemma_5434|lemma_5496
WZB_1rb_8_5,du,nv Sint du bist czu,du,ambiguous,lemma_1139|lemma_1180|lemma_1241|lemma_1242
WZB_1rb_8_6,bist,Sint du bist czu disen,bist,matched,lemma_5432
WZB_1rb_8_7,czu,du bist czu disen stunden,czu,matched,lemma_7770
WZB_1rb_8_8,disen,bist czu disen stunden Getrewe,disen,matched,lemma_1169
WZB_1rb_9_0,stunden,czu disen stunden Getrewe vber,stunden,ambiguous,lemma_5710|lemma_5842
WZB_1rb_9_2,Getrewe,disen stunden Getrewe vber wenig,getrewe,matched,lemma_2278
WZB_1rb_9_3,vber,stunden Getrewe vber wenig sunden,vber,ambiguous,lemma_6359|lemma_6698
WZB_1rb_9_4,wenig,Getrewe vber wenig sunden Ich,wenig,matched,lemma_7428
WZB_1rb_10_0,sunden,vber wenig sunden Ich wil,sunden,matched,lemma_5867
WZB_1rb_10_3,Ich,wenig sunden Ich wil dich,ich,matched,lemma_3001
WZB_1rb_10_4,wil,sunden Ich wil dich deiner,wil,ambiguous,lemma_7473|lemma_7529|lemma_7620
WZB_1rb_10_5,dich,Ich wil dich deiner not,dich,matched,lemma_1242
WZB_1rb_10_6,deiner,wil dich deiner not ergeczen,deiner,matched,lemma_1242
WZB_1rb_10_7,not,dich deiner not ergeczen Und,not,matched,lemma_4400
WZB_1rb_10_8,ergeczen,deiner not ergeczen Und vber,ergeczen,matched,lemma_1560
WZB_1rb_11_1,Und,not ergeczen Und vber vil,und,matched,lemma_6467
WZB_1rb_11_2,vber,ergeczen Und vber vil gutes,vber,ambiguous,lemma_6359|lemma_6698
WZB_1rb_11_3,vil,Und vber vil gutes seczen,vil,ambiguous,lemma_6741|lemma_7053|lemma_7075
WZB_1rb_11_4,gutes,vber vil gutes seczen Reiche,gutes,matched,lemma_2573
WZB_1rb_11_5,seczen,vil gutes seczen Reiche ouch,seczen,matched,lemma_5423
WZB_1rb_12_0,Reiche,gutes seczen Reiche ouch herre,reiche,matched,lemma_4872
WZB_1rb_12_1,ouch,seczen Reiche ouch herre deine,ouch,matched,lemma_4523
WZB_1rb_12_2,herre,Reiche ouch herre deine stewer,herre,ambiguous,lemma_2684|lemma_2761
WZB_1rb_12_3,deine,ouch herre deine stewer Czu,deine,matched,lemma_1242
WZB_1rb_12_4,stewer,herre deine stewer Czu diser,stewer,matched,lemma_5779
WZB_1rb_13_1,Czu,deine stewer Czu diser lieben,czu,matched,lemma_7770
WZB_1rb_13_2,diser,stewer Czu diser lieben abenttewer,diser,matched,lemma_1169
WZB_1rb_13_3,lieben,Czu diser lieben abenttewer Dem,lieben,ambiguous,lemma_3756|lemma_3765
WZB_1rb_13_4,abenttewer,diser lieben abenttewer Dem vromen,abenttewer,unmatched,
WZB_1rb_14_1,Dem,lieben abenttewer Dem vromen herren,dem,ambiguous,lemma_1097|lemma_1119
WZB_1rb_14_2,vromen,abenttewer Dem vromen herren der,vromen,ambiguous,lemma_7274|lemma_7275|lemma_7276
WZB_1rb_14_3,herren,Dem vromen herren der den,herren,ambiguous,lemma_2684|lemma_42447
WZB_1rb_14_5,der,vromen herren der den rat,der,ambiguous,lemma_1055|lemma_1119|lemma_8031
WZB_1rb_15_0,den,herren der den rat Uon,den,matched,lemma_1119
WZB_1rb_15_1,rat,der den rat Uon dir,rat,ambiguous,lemma_4786|lemma_4787|lemma_4813
WZB_1rb_15_3,Uon,den rat Uon dir selbe,uon,matched,lemma_7193
WZB_1rb_15_4,dir,rat Uon dir selbe enpfangen,dir,ambiguous,lemma_1169|lemma_1242
WZB_1rb_15_5,selbe,Uon dir selbe enpfangen hat,selbe,matched,lemma_5385
WZB_1rb_15_6,enpfangen,dir selbe enpfangen hat Dem,enpfangen,matched,lemma_1436
WZB_1rb_16_0,hat,selbe enpfangen hat Dem werden,hat,matched,lemma_2598
WZB_1rb_16_3,Dem,enpfangen hat Dem werden getrewen,dem,ambiguous,lemma_1097|lemma_1119
WZB_1rb_16_4,werden,hat Dem werden getrewen diener,werden,ambiguous,lemma_62628|lemma_7489|lemma_7500
WZB_1rb_16_5,getrewen,Dem werden getrewen diener dein,getrewen,ambiguous,lemma_2278|lemma_2282
WZB_1rb_16_6,diener,werden getrewen diener dein Dem,diener,matched,lemma_1144
WZB_1rb_17_0,dein,getrewen diener dein Dem Der,dein,matched,lemma_1242
WZB_1rb_17_3,Dem,diener dein Dem Der in,dem,ambiguous,lemma_1097|lemma_1119
WZB_1rb_17_6,Der,dein Dem Der in rechter,der,ambiguous,lemma_1055|lemma_1119|lemma_8031
WZB_1rb_17_7,in,Dem Der in rechter tugende,in,ambiguous,lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472
WZB_1rb_17_8,rechter,Der in rechter tugende kern,rechter,matched,lemma_4840
WZB_1rb_17_9,tugende,in rechter tugende kern Brinnet,tugende,matched,lemma_6280
WZB_1rb_17_10,kern,rechter tugende kern Brinnet als,kern,ambiguous,lemma_3266|lemma_3288
WZB_1rb_18_0,Brinnet,tugende kern Brinnet als ein,brinnet,matched,lemma_870
WZB_1rb_18_1,als,kern Brinnet als ein liechter,als,matched,lemma_148
WZB_1rb_18_2,ein,Brinnet als ein liechter morgenstern,ein,ambiguous,lemma_119|lemma_13|lemma_1331|lemma_2975
WZB_1rb_18_3,liechter,als ein liechter morgenstern Und,liechter,matched,lemma_3759
WZB_1rb_18_4,morgenstern,ein liechter morgenstern Und sich,morgenstern,matched,lemma_4205
WZB_1rb_19_1,Und,liechter morgenstern Und sich vnder,und,matched,lemma_6467
WZB_1rb_19_2,sich,morgenstern Und sich vnder deinen,sich,ambiguous,lemma_42100|lemma_5366|lemma_5445|lemma_5455
WZB_1rb_19_3,vnder,Und sich vnder deinen dienst,vnder,matched,lemma_6471
WZB_1rb_19_4,deinen,sich vnder deinen dienst beuget,deinen,matched,lemma_1242
WZB_1rb_19_5,dienst,vnder deinen dienst beuget Vnd,dienst,matched,lemma_1146
WZB_1rb_20_0,beuget,deinen dienst beuget Vnd manch,beuget,unmatched,
WZB_1rb_20_2,Vnd,dienst beuget Vnd manch gut,vnd,matched,lemma_6467
WZB_1rb_20_3,manch,beuget Vnd manch gut testament,manch,matched,lemma_3962
WZB_1rb_20_4,gut,Vnd manch gut testament czeuget,gut,ambiguous,lemma_2551|lemma_2573
WZB_1rb_20_5,testament,manch gut testament czeuget Vnd,testament,matched,lemma_29460
WZB_1rb_21_0,czeuget,gut testament czeuget Vnd meret,czeuget,unmatched,
WZB_1rb_21_2,Vnd,testament czeuget Vnd meret deine,vnd,matched,lemma_6467
WZB_1rb_21_3,meret,czeuget Vnd meret deine heilige,meret,matched,lemma_4035
WZB_1rb_21_4,deine,Vnd meret deine heilige schrift,deine,matched,lemma_1242
WZB_1rb_21_5,heilige,meret deine heilige schrift Der,heilige,matched,lemma_2708
WZB_1rb_22_0,schrift,deine heilige schrift Der ouch,schrift,matched,lemma_5315
WZB_1rb_22_3,Der,heilige schrift Der ouch stiftet,der,ambiguous,lemma_1055|lemma_1119|lemma_8031
WZB_1rb_22_4,ouch,schrift Der ouch stiftet dise,ouch,matched,lemma_4523
WZB_1rb_22_5,stiftet,Der ouch stiftet dise gestift,stiftet,matched,lemma_5771
WZB_1rb_22_6,dise,ouch stiftet dise gestift Czu,dise,matched,lemma_1169
WZB_1rb_22_7,gestift,stiftet dise gestift Czu lobe,gestift,ambiguous,lemma_2256|lemma_5771
WZB_1rb_23_0,Czu,dise gestift Czu lobe deiner,czu,matched,lemma_7770
WZB_1rb_23_1,lobe,gestift Czu lobe deiner heilicheit,lobe,ambiguous,lemma_3830|lemma_3849
WZB_1rb_23_2,deiner,Czu lobe deiner heilicheit Gib,deiner,matched,lemma_1242
WZB_1rb_23_3,heilicheit,lobe deiner heilicheit Gib im,heilicheit,matched,lemma_10957
WZB_1rb_23_6,Gib,deiner heilicheit Gib im herre,gib,matched,lemma_1961
WZB_1rb_24_0,im,heilicheit Gib im herre steticheit,im,ambiguous,lemma_10734|lemma_1517|lemma_1762
WZB_1rb_24_1,herre,Gib im herre steticheit Und,herre,ambiguous,lemma_2684|lemma_2761
WZB_1rb_24_2,steticheit,im herre steticheit Und dorczu,steticheit,matched,lemma_5714
WZB_1rb_24_4,Und,herre steticheit Und dorczu vrolichen,und,matched,lemma_6467
WZB_1rb_24_5,dorczu,steticheit Und dorczu vrolichen mut,dorczu,matched,lemma_1095
WZB_1rb_25_0,vrolichen,Und dorczu vrolichen mut Das,vrolichen,matched,lemma_7257
WZB_1rb_25_1,mut,dorczu vrolichen mut Das er,mut,ambiguous,lemma_4238|lemma_4264|lemma_4265
WZB_1rb_25_4,Das,vrolichen mut Das er dicz,das,ambiguous,lemma_1097|lemma_13169
WZB_1rb_25_5,er,mut Das er dicz werke,er,ambiguous,lemma_1281|lemma_1282|lemma_1517|lemma_25157|lemma_5454|lemma_56116|lemma_56117
WZB_1rb_25_6,dicz,Das er dicz werke gut,dicz,matched,lemma_1169
WZB_1rb_25_7,werke,er dicz werke gut Muze,werke,matched,lemma_7487
WZB_1rb_26_0,gut,dicz werke gut Muze volfuren,gut,ambiguous,lemma_2551|lemma_2573
WZB_1rb_26_2,Muze,werke gut Muze volfuren in,muze,ambiguous,lemma_4226|lemma_4238
WZB_1rb_26_3,volfuren,gut Muze volfuren in seinen,volfuren,unmatched,
WZB_1rb_26_4,in,Muze volfuren in seinen tagen,in,ambiguous,lemma_1331|lemma_1517|lemma_2975|lemma_3028|lemma_3038|lemma_5454|lemma_6467|lemma_8472
WZB_1rb_26_5,seinen,volfuren in seinen tagen Das,seinen,matched,lemma_1517
WZB_1rb_27_0,tagen,in seinen tagen Das er,tagen,ambiguous,lemma_5994|lemma_6003
WZB_1rb_27_3,Das,seinen tagen Das er do,das,ambiguous,lemma_1097|lemma_13169
WZB_1rb_27_4,er,tagen Das er do mite,er,ambiguous,lemma_1281|lemma_1282|lemma_1517|lemma_25157|lemma_5454|lemma_56116|lemma_56117
WZB_1rb_27_5,do,Das er do mite muze,do,ambiguous,lemma_1055|lemma_1180|lemma_1242|lemma_4445
WZB_1rb_27_6,mite,er do mite muze beiagen,mite,matched,lemma_4172
WZB_1rb_27_7,muze,do mite muze beiagen Der,muze,ambiguous,lemma_4226|lemma_4238
WZB_1rb_27_8,beiagen,mite muze beiagen Der ewigen,beiagen,matched,lemma_477
WZB_1rb_28_1,Der,muze beiagen Der ewigen selden,der,ambiguous,lemma_1055|lemma_1119|lemma_8031
WZB_1rb_28_2,ewigen,beiagen Der ewigen selden hort,ewigen,matched,lemma_1292
WZB_1rb_28_3,selden,Der ewigen selden hort Vreude,selden,ambiguous,lemma_5051|lemma_5387
WZB_1rb_28_4,hort,ewigen selden hort Vreude beide,hort,ambiguous,lemma_2885|lemma_2908
WZB_1rb_29_0,Vreude,selden hort Vreude beide hie,vreude,matched,lemma_7252
WZB_1rb_29_1,beide,hort Vreude beide hie vnd,beide,matched,lemma_468
WZB_1rb_29_2,hie,Vreude beide hie vnd dort,hie,ambiguous,lemma_1517|lemma_2588|lemma_2705|lemma_2825|lemma_2923
WZB_1rb_29_3,vnd,beide hie vnd dort Gib,vnd,matched,lemma_6467
