form	count	sample_contexts
erstlinge	19	sint die erstlinge vnd die || euch die erstlinge der gaben || alleine die erstlinge irr fruchte
geperungen	18	in seinen geperungen Mit gote || in iren geperungen vnd landen || in iren geperungen Das ist
camelen	18	eslinne vnd camelen Aber vnser || gab allen camelen aber gener || heten die camelen do czoch
barmherczicheit	18	gegrŏzet dein barmherczicheit die du || ir Die barmherczicheit die tu || geslechte sunder barmherczicheit die ich
჻	18	was ir ჻ hec dicit || Jeremia ppherr ჻ EXO sullet || ouf ey ჻ hec dicit
veiern	18	sult in veiern herlichn in || hochczeit zu veiern wirdiclichen Nichtesnicht || so saltu veiern disen heiligen
ichtesicht	18	seinem nehsten ichtesicht der leie || das her ichtesicht an ruret || im - ichtesicht bis vru
iacincten	18	do heissen iacincten vnd purpur || von seideinen iacincten vnd von || von seideinen iacincten vnd von
leuchter	18	eynen gehemerten leuchter von reinem || an dem leuchter selben werden || ouf den leuchter das sie
eingange	18	In dem eingange vorwar des || in dem eingange des geczeldis || in dem eingange des geczeldis
spicze	17	richten die spicze in dem || in seiner spicze nazareer vnder || in der spicze des pergis
hŏre	17	dir saget hŏre ir stimme || Herre meiner hŏre Die erde || ł SIS hŏre meine stimme
czorne	17	sprach mit czorne Ŭmb was || sachen Deinen czorne h hastu || wirt mein czorne vnd slahe
vmringe	17	in dem vmringe irr purge || in irem vmringe giessende vir || in dem vmringe dicz geczeldis
silberein	17	ir houbt silberein durch graben || werkis ergrabnusse silberein Gleicher weise || der seulen silberein durch graben
vnreinikeit	17	posheit vnd vnreinikeit vnd svnde || vorgisset seiner vnreinikeit schuldig ist || von der vnreinikeit des menschen
vorlasenheit	17	vornymet sein vorlasenheit der leiste || vnd die vorlasenheit Die man || vmme die vorlasenheit Und die
genvmen	16	dem manne genvmen Umb dise || der du genvmen bist wenne || er was genvmen Und aus
ew̆er	16	erde Und ew̆er vorchte vnd || vorchte vnd ew̆er erschrecken sei || wassers das ew̆er fuze werden
wenn̆	16	die breite wenn̆ dir wil || seinem volke wenn̆ er hat || er ny wenn̆ sie sich
heissen	16	namen saltu heissen do von || saltu nymmer heissen svnder Und || ł saltu heissen vnd dem
kvme	16	her wider kvme geluclichen zu || meinen neuen kvme her dorumbe || czwein scharen kvme ich her
vressen	16	hat in vressen Und denne || hat in vressen Ein wildes || tyr hat vressen Und zu
puluer	16	vnd thymiamischen puluer czu machen || das thimiamisch puluer aus sethimischem || ewige thimiamische puluer in ewer
vmhenge	16	alle dise vmhenge werden funf || werden funf vmhenge sullen gleich || vorhenge der vmhenge zu samen
enczunden	16	alter zu enczunden das thimiamisch || her das enczunden vnd wenne || nicht fewer enczunden in allen
behutest	16	got vnd behutest alle seine || du sie behutest vnd sie || sele Und behutest die gepot
czihe	15	erwelest so czihe ich zu || das ich czihe zu meýnem || Und dornach czihe sie Nicht
groses	15	in ein groses vnd in || in ein groses geslechte wil || steigen ł groses vnd vbir
dorouf	15	vnd legte dorouf zu sammen || gos ŏle dorouf vnd nante || saczte sich dorouf Und do
racional	15	vnd das racional vnd machen || ouch ein racional des gesichtes || an dem racional keten die
veldungen	15	geteilten slechten veldungen durch graben || in den veldungen ouf ERI || ouf den veldungen bei dem
veier	15	Behutet meinen veier tack DUS || tage ist veier heilige ru || ousgenomenlich der veier tage vnsers
ganczenczunten	15	alter des ganczenczunten opfers in || zu einem ganczenczunten opfer vnd || ICUS des ganczenczunten opfers in
ganczenczunte	15	vnd das ganczenczunte opfer das || das stetliche ganczenczunte opfer das || wirt das ganczenczunte opfer czu
creissen	15	in ewern creissen Und werdet || zu den creissen werden geen || zu den creissen vnd Und
streitenden	15	iarczal der streitenden von seinem || czal seiner streitenden vier vnd || here der streitenden von seinem
gegenwortigen	15	in dem gegenwortigen tage Und || in dem gegenwortigen tage Wisse || in disen gegenwortigen tak Umme
vorslossen	14	wasser vnd vorslossen wurden die || got hette vorslossen alle beuche || der brvnne vorslossen was vnd
egiptischen	14	von dem egiptischen wasser vncz || aller ł egiptischen erden was || reichtume des egiptischen landes werden
vorkouft	14	hat vns vorkouft vnd hat || den ir vorkouft xlv GENE || ir mich vorkouft habt in
gebrouchen	14	sold her gebrouchen also sam || der pfafheit gebrouchen vnd vnd || der pfafheit gebrouchen Und nemen
tŏten	14	vnsern bruder tŏten vnd vorheln || wiltu mich tŏten alls du || wolde in tŏten Do nam
czeuhest	14	du ein czeuhest Nicht wil || du ein czeuhest nicht do || CAPITULUM Du czeuhest heute vber
sethimischem	14	geczeldis von sethimischem holcze der || riegel von sethimischem holcze zu || vorgulden von sethimischem holcze vor
=	13	nymmer ersterbe = nota bene PROLOGUS || vaters s = svn Nu || lucem quod esset bona = = Primus
nŏrden	13	bist gen nŏrden XIII cap̄ || ŏsten gegen nŏrden vnd e || war gegen nŏrden furte die
samens	13	vnd deines samens noch dir || flus des samens wirt vnrein || flus des samens wirt vnrein
czweier	13	vnd seiner czweier e e || Und der czweier meide vnd || mitte der czweier cherubin die
seule	13	ein salcz seule stund ouf || in einer seule weisser wolken || gebrach der seule der wolken
heutigen	13	ouf den heutigen tag Und || ouf disen heutigen tag vorwar || ouf disen heutigen tack Von
achsil	13	ouf die achsil vnd gab || ouf der achsil gar ein || von der achsil vnd saczte
getŏtet	13	sie heten getŏtet Und santen || gestern hast getŏtet den egipten || sol werden getŏtet in dem
vienk	13	hies vnd vienk sie noch || do vmbe vienk her seinen || do vmbe vienk her sie
erstgepornen	13	an den erstgepornen der meide || vnd die erstgepornen Und die || vmb die erstgepornen tousent vnd
humeral	13	cziren das humeral vnd das || vnd ein humeral einen rock || Aber das humeral sullen sie
vassen	13	allen seinen vassen sol haben || mit seinen vassen den leuchter || mit seinen vassen vnd die
Uorvluchet	13	DEUTRO amen Uorvluchet sei der || volk amen Uorvluchet sei der || volk amen Uorvluchet sei der
vorterbte	12	bruder vnd vorterbte in Und || wolken vnd vorterbte ir her || das her vorterbte ouf den
herczens	12	gedancken des herczens geneiget waren || leide des herczens Ich wil || gedancken menschliches herczens zu bŏzem
vorgossen	12	sol werden vorgossen wenne czu || das do vorgossen ist vmme || das do vorgossen ist vmme
guldeinen	12	sach die guldeinen ŏrringe vnd || im einen guldeinen lebs vmb || werden die guldeinen ringe Und
werkis	12	vnd etwas werkis hette svnderliches || sint des werkis vnd weis || sol des werkis gemynnert werden
vorbrante	12	vnd nicht vorbrante Nu sprach || gemachet vnd vorbrante das vnd || vnd miste vorbrante her ouserhalb
entvn	12	werke nicht entvn vnd dein || doran nicht entvn Und sult || an nicht entvn vnd siben
weihunge	12	wider der weihunge vnd einen || wider der weihunge heb ouf || vor die weihunge vnd von
lucernen	12	seczet die lucernen wirt her || mit seinen lucernen Und ŏl || her siben lucernen mit iren
veistikeit	12	herren Die veistikeit die do || alle seine veistikeit als man || sol die veistikeit ouf dem
morserl	12	ein guldein morserl wegende czehen || ein guldein morserl wegende czehn || ein guldein morserl wegende czehen
gleichnusse	11	noch vnserem gleichnusse das er || Czu der gleichnusse gotes macht || noch seinem gleichnusse vnd noch
schŏne	11	czu sehen schŏne was vnd || was vnd schŏne in den || das sie schŏne waren vnd
bovme	11	den edeln bovme vnd den || das der bovme gut czu || von dem bovme gessen den
yeclicher	11	erden Ein yeclicher dorumbe der || also svnder yeclicher der do || Und ein yeclicher der nicht
ereine	11	in alle ereine vnd eisereine || Und funfczig ereine heftel mit || hantreich DUS ereine tŏpfe die
dreissick	11	hundert vnd dreissick iare vnd || breite vnd dreissick dovm elen || Und lebte dreissick iare vnd
czweihundert	11	iar vnd czweihundert iare vnd || er geperte czweihundert vnd siben || funf vnd czweihundert iar vnd
ESIS	11	die tochter ESIS des vaters || hat geschep ESIS fet himel || sich besneit ESIS vnd sein
eslinne	11	gesinde vnd eslinne vnd camelen || also vil eslinne die do || svn sein eslinne In weine
ŏsten	11	czuden gen ŏsten vnd gegen || vnd gegen ŏsten gegen nŏrden || lant gegen ŏsten vnde sach
pilgereim	11	vnd ein pilgereim bin ich || das kein pilgereim wolle czihen || ir ouch pilgereim seit gewesen
vorbrant	11	hat mich vorbrant der ł || sullen werden vorbrant Und ist || few̆er hat vorbrant vnd lege
knechtils	11	werden alle knechtils geslechte Denne || sprechende Was knechtils geslechte geborn || von Alle knechtils geslechte das
heusern	11	in irn heusern vnd ouf || in den heusern als vf || von den heusern vnd von
snvr	11	zu seiner snvr Bis ein || gesaget seiner snvr so das || were sein snvr Und si
hŏren	11	ich dich hŏren gar weislichen || dein stimme hŏren vnd du || werden nicht hŏren mein stimme
besiczest	11	das du besiczest Und aldo || das du besiczest Secht ewer || gemerest vnd besiczest die erde
vorkart	11	erde werde vorkart in ein || hat das vorkart in gut || sie werde vorkart in ein
geachtet	11	sie mir geachtet Aber die || yclichem grunde geachtet Aber von || werden ouch geachtet vnder den
czouberer	11	vras der czouberer ruten Und || weise die czouberer der in || weise die czouberer mit irr
wonungen	11	allen ewern wonungen sult ir || mit iren wonungen noch der || allen ewern wonungen an dem
vbirdecke	11	lenge einer vbirdecke schol haben || die sechste vbirdecke an der || savme einer vbirdecke das man
ereinen	11	bedecke mit ereinen blechen vnd || also vil ereinen grunden die || also vil ereinen grunden vnd
geweihet	11	pfafheit werde geweihet Nim eyn || dem ist geweihet vnd heilige || von dem geweihet ist vnd
opfertires	11	des siges opfertires gotis Und || ouf des opfertires houbet vnd || kalbe des opfertires des fridsamen
meiligt	11	wer den meiligt des todes || sulcher speise meiligt der vbirkerunge || heilig Nicht meiligt ewer selen
ganczenczuntes	11	Ist das ganczenczuntes opfer sein || dor ouf ganczenczuntes opfer vnd || vnd opfern ganczenczuntes opfer vnserm
svndet	11	die do svndet vnwissende vnd || ist gesalbt svndet machende svnden || das do svndet der furste
opfernde	11	vor yn opfernde den wider || sie beide opfernde vnserm herren || ŏle besprenget opfernde Wenne heute
Numeri	11	gnant ist Numeri vnd ist || burden v Numeri NUM zu || hasses vi Numeri NUM vnd
flute	10	wasser der flute auf die || wasser der flute ergussen auf || wasser der flute Und von
brochen	10	menedis zu brochen wurden alle || des zu brochen meles vnd || es zu brochen werden Ein
vortilgte	10	Und er vortilgte alle habe || vnd sie vortilgte von der || ich icht vortilgte in meinem
czeucht	10	als man czeucht zu dem || als man czeucht in Und || man ein czeucht in das
wustnunge	10	in der wustnunge der sprache || in die wustnunge So her || In diser wustnunge wirt sie
Uorwar	10	er sprach Uorwar alhie hab || varbe ł Uorwar wenne er || den blinden Uorwar ich Czeuch
vorterbe	10	sprach Ich vorterbe ir nicht || er vns vorterbe Und quam || lŏsen so vorterbe es Aber
wŏlle	10	der gassen wŏlle wir bleiben || Dorumb dich wŏlle wir mere || ich sein wŏlle spotten vnd
vŏrchte	10	tuestu nicht vŏrchte dich wenne || vaters Nicht vŏrchte dich wenne || des so vŏrchte ich das
hŏret	10	toten so hŏret mich vnd || er vnd hŏret ir kinder || ir kinder hŏret ewern vater
eldisten	10	zu dem eldisten knechte seines || ir die eldisten der alden || selben stat eldisten sullen ouf
tŏte	10	vindest den tŏte man vor || dan vnd tŏte wir in || svne die tŏte Ist das
Czihet	10	den knechten Czihet vor mir || weicz zu Czihet hin abe || vater sprach Czihet hin wider
gesamment	10	vnd wurden gesamment in die || Ich werde gesamment zu meinem || haben sich gesamment die wasser
besasen	10	den das besasen Besweret wart || swertis Und besasen seine lant || sie vnd besasen ire besiczer
czehende	10	ist das czehende teil der || semýl das czehende teil einer || kresemunge Das czehende teil der
ochsens	10	nicht seines ochsens Nicht seines || herre des ochsens bleibt vnschuldig || herre des ochsens gewost das
stengil	10	geende Sechs stengil sullen von || seiten Drei stengil ous einer || einen yclichen stengil vnd ringel
Gepeut	10	seine grunde Gepeut das sie || zu sprechende Gepeut das sie || zu sprechende Gepeut so das
vngemeiligte	10	vnd czwen vngemeiligte wider vnd || opfer ein vngemeiligte czige vnd || her czwei vngemeiligte lemmer vnd
nirlein	10	di czwei nirlein vnd das || mit den nirlein Und enczunden || Die czwei nirlein mit dem
opfertiren	10	den geduldigen opfertiren die man || in den opfertiren der fridsamen || von den opfertiren der fridsamen
gerete	10	vnd sein gerete vnd den || male das gerete das zu || zu seinem gerete ma DUS
gesvndet	10	volk hat gesvndet grose svnde || Der mir gesvndet hat den || vnd hat gesvndet Und ist
bedakte	10	Aber her bedakte wider sein || die rigel bedakte er mit || die her bedakte mit gold
vngemeiligtes	10	rindern ein vngemeiligtes knechtil opfer || ein sie vngemeiligtes opfer her || LEUIT ein vngemeiligtes kalp vnserm
enczunte	10	das gancz enczunte opfer sol || das gancz enczunte opfer do || irem smerlein enczunte her ouf
geczelden	10	in den geczelden so das || ich in geczelden hab gemachet || von den geczelden vnd vnd
Dorvmbe	9	nicht getvn Dorvmbe rufe ich || namen tichten Dorvmbe das dein || vnd bŏses Dorvmbe nv das
meidel	9	geslechte vnd meidel Und von || knechtil vnd meidel Sunder auch || knechtel vnd meidel als gepoten
grosem	9	als in grosem vihe vnd || vsczihen mit grosem gute Aber || erschrak mit grosem erschrecksal vnd
hebreer	9	das dem hebreer der do || hebammen der hebreer Der hiesse || sach czwen hebreer mit ein
geczeugnusse	9	in ein geczeugnusse mir wenne || das ein geczeugnusse sei czwischen || zu einem geczeugnusse vnd sprach
friede	9	sunder mit friede habe wir || im mit friede wider heim || wir einen friede das ein
pilgereimen	9	veter zu pilgereimen in dein || von den pilgereimen die do || die do pilgereimen bei euch
keuchel	9	garten sein keuchel vnd an || czwei touben keuchel vnserm herren || czwei touben keuchel so opfer
vorgiengen	9	geheisse Dornach vorgiengen vierczig tage || V Und vorgiengen von der || die do vorgiengen in dem
nymet	9	einen andern nymet so sol || Wer do nymet sein swester || bruders housvrowe nymet vnczimlich dink
vorporgen	9	der diep vorporgen so sol || ebrechn ist vorporgen vnd das || geprufet Die vorporgen sint von
steineine	9	geben czwu steineine tafeln vnd || ouff cwu steineine tafeln durch || an czwu steineine tafeln Und
ringel	9	kŏpfe vnd ringel vnd lilgen || stengil vnd ringel e EXO || stengil vnd ringel vnd ein
winkeln	9	irn czwein winkeln vnderligen Und || in den winkeln ouf gericht || in den winkeln sullen werden
vndergank	9	der svnnen vndergank die do || der svnnen vndergank werden die || der svnnen vndergank in der
ouserhalb	9	den tisch ouserhalb des furhangs || der mitternacht ouserhalb des vorhanges || her opfern ouserhalb den purgen
horner	9	hŏe Aber horner von den || ouf die horner des alters || ouf die horner des alters
gebleichter	9	mit czwir gebleichter pfelle Und || von czwir gebleichter pfelle vnd || von czwir gebleichter pfelle von
stvnd	9	geczelde so stvnd ouf alles || wolken seule stvnd an der || Nu ERI stvnd ouf vru
neczil	9	vnd daz neczil der lebern || Und das neczil mit der || vnd das neczil das do
weirouches	9	des thimiamischen weirouches des genemsten || nichtesnicht w weirouches lege her || houflegunge des weirouches vnd das
giesse	9	ander blut giesse her bei || das ander giesse her an || das ander giesse LEUITICUS her
gehere	9	vnd das gehere weislecht vnd || vnd das gehere swarcz so || vnd das gehere seiner varbe
vorlasen	9	wenne die vorlasen wirt von || herren vnd vorlasen peichtigen sullen || geczelt het vorlasen so czugen
kvnigs	9	menige der kvnigs vogil Wer || clank des kvnigs ist in || kvnicreich des kvnigs der Und
vorsteten	9	mit iren vorsteten Und die || mit iren vorsteten nevn stete || mit iren vorsteten vier stete
schepfte	8	N anegenge schepfte got himel || Und got schepfte grose GENESIS || Und got schepfte einen menschen
erczurnet	8	Und wart erczurnet sterclich vnd || herren Und erczurnet ł wart || vorbrant Und erczurnet wart her
dreihundert	8	gepar d dreihundert iare vnd || iar vnd dreihundert iar Und || her geperte dreihundert iar vnd
czigel	8	mache wir czigel vnd bruen || hatten die czigel fur steine || vnd mit czigel vnd mit
czwisschen	8	sein geczelt czwisschen vnd an || few̆ers geende czwisschen den teilungen || andern geteilt czwisschen in beiden
bŏze	8	die waren bŏze vnd groze || tvn das bŏze Ich habe || ich das bŏze getvn vnd
stosen	8	tur ouf stosen wolden Und || stŏsil zu stosen gleich einem || stŏseln zu stosen das steticlich
fried	8	machen einen fried also das || Ein ewiger fried ist das || erden Und fried wil ich
geheisse	8	seines vaters geheisse erfulte Do || erfulten sein geheisse Dornach vorgiengen || vnsers herren geheisse Ouch saczte
vorsmehet	8	ich bin vorsmehet vnd hat || her sie vorsmehet Ist das || meine gerichte vorsmehet so das
wechsilnde	8	ein ander wechsilnde vnser tŏchter || vnd sprachen wechsilnde Waz ist || vnd sprachen wechsilnde Umb das
eckern	8	ouf irn eckern daz roubten || vf den eckern alle seine || von den eckern ł Und
reisse	8	vnd zu reisse sein gewant || Und zu reisse sein gewant || leichte zu reisse Niden vorwar
weintrouben	8	ich die weintrouben czeitigen Und || blute der weintrouben seinen mantil || ous der weintrouben gedrukt wirt
trouben	8	dorumbe die trouben vnd druckte || weingarten die trouben speierl vnd || Und die trouben deiner ersten
brenget	8	ir vnd brenget das getreide || angesichte ir brenget ł denne || vas vnd brenget dem manne
neigende	8	iren henden neigende ouf die || GENE her neigende sich ouf || im vnd neigende ouf die
besiczet	8	vnd erden besiczet Nemet samen || gekoufet hat besiczet das vnd || ein vnd besiczet die erde
streitende	8	vnd bruder streitende was der || keinen siten streitende muge sie || Und alle streitende man czihen
dorvber	8	Und ouch dorvber hat er || seinen herren dorvber besworn hat || die bettafel dorvber Und do
geusse	8	bach vnd geusse das ouf || zuden Den geusse virczig silbereine || hoube vnd geusse im ouf
ŏpfil	8	was do ŏpfil was ouf || fuzen granat ŏpfil gemacht von || die granat ŏpfil Und an
bedecke	8	holcze vnd bedecke sie mit || des halbenteil bedecke ł das || sein Und bedecke den alter
endlisten	8	an den endlisten drumern des || in deinen endlisten teilen vlehen || von den endlisten teilen der
geczeuknus	8	geczeldis des geczeuknus sullen sie || geczeldis des geczeuknus vor dem || geczeldis des geczeuknus Und den
bleiblinge	8	Uorbru die bleiblinge in dem || vorlisen die bleiblinge der stat || halt wenig bleiblinge Und tat
thimiamischen	8	alter des thimiamischen puluers Und || alter der thimiamischen zu houf || alter des thimiamischen puluers Der
wanderst	8	das du wanderst mit vns || gepot Und wanderst in seinen || got vnd wanderst in seinen
vberige	8	alter das vberige giesse her || in das vberige teil vorwar || her das vberige an seinen
anruret	8	ichtesicht vnreines anruret sol nicht || was das anruret das wirt || Wer do anruret ire toten
derlei	8	das keiner derlei ein totes || vnrein Wer derlei totis an || do duldet derlei seuche so
enczuntem	8	eynem gancz enczuntem opfer vnd || zu gancz enczuntem opfer das || zu gancz enczuntem opfer Und
volken	8	von andern volken Svndert ouch || vor den volken so das || ous allen volken die do
czigenpock	8	opfer einen czigenpock vor die || vnd einen czigenpock vor die || vnd einen czigenpock vor die
