file;xml_id;form;vers;action;review_grund;geaendert;alt_pos;neu_pos;alt_lemmaRef;neu_lemmaRef;alt_corresp;neu_corresp;verdict_lemma;verdict_pos;confidence;begruendung;kontext;vorgaenger;vorgaenger_pos
FR3.tei.xml;FR3_112206030480_4;minne;48;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Nach Praeposition 'gein der woren minne' mit Artikel und Adjektiv.;daz es sich uff entslisse / baz gein der woren **minne** , / so blibet an mir wernde;woren;VRB
PRT.tei.xml;PRT_19238_1;minne;19238;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_4133;;variants.xml#type_38651;lemma_4133;VRB;high;1. Sg. Praes. mit Subjekt ich und Akkusativobjekt: ouch minne ich si.;daz si mir holdez herze treit . / ouch **minne** ich si mit staetekeit / ob allen frouwen iemer .;ouch;CNJ
RVBR.tei.xml;RVBR_2002_3;minne;2002;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Bestimmungsglied in 'minne stricke' nach Praeposition 'in'.;an ir widerblicke . / die blicke in **minne** stricke / ir beider herze knupften;in;(ohne)
MWE.tei.xml;MWE_10804080_4;minne;8;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Possessiv 'ir' davor, Subjekt zu 'enzündet': ihre minne entzuendet mich.;si dringent in mîns herzen grunt : / so enzündet mich ir **minne** , / daz ich von ir liebe enbrinne .;ir;(ohne)
ENG.tei.xml;ENG_2275_4;minne;2275;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Praeposition und Possessiv: naach ir minne.;daz der vil saeldenbaere / sô vaste nâch ir **minne** qual , / zehant diu schoene sich dô stal;ir;(ohne)
BVSN.tei.xml;BVSN_15310_8;minne;;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Possessiv davor (mit seiner minne), nach Praeposition.;dem chusse seinez mundes daz als vil gesprochen ist , er chom selber mit seiner **minne** gaistleichen czu meiner sêl . aus dirr senleichen minne spricht der weissage : als der;seiner;(ohne)
HTR.tei.xml;HTR_204920_2;minne;20492;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Nach Praeposition ân mit Genitivattribut gotes: nominal.;sô sint gehôrsam und dêmuot / ân gotes **minne** ein heiziu gluot . / cxxxi . von beichte vnd von sele gerete vnd von den getrewen handen .;gotes;NOM
WGI.tei.xml;WGI_405290_2;minne;;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_4133;;variants.xml#type_38651;lemma_4133;VRB;high;"Konjunktiv mit Akkusativobjekt 'unvertige liute'; Folgesatz hat 'sol minnen'.";enphelhen . daz man ere minne fuer guot , und daz man niht unvertige liute **minne** . wa von man guot und guoten rat sol minnen . daz ein wip niht;liute;NOM
SFE.tei.xml;SFE_15490_1;minne;1549;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Possessiv in Reihung nominaler Subjekte: 'ir minne, ir guete und ir reht'.;die vrouwen die sint baz gedigen : / ir **minne** , ir güete und ir reht / sint so getriuwelichen sleht;ir;(ohne)
FR3.tei.xml;FR3_105218010010_6;minne;1;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Koordinierte Nominalreihe 'die triuwe und ware minne, wisheit, zucht'.;gesundert uß ( ) virdumeter diet vor dime kinde criste . / nu secht die triuwe und ware **minne** , wisheit , ( ) zucht / mit sigenucht ,;ware;(ohne)
NLC.tei.xml;NLC_13730_4;minne;3;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_4133;;variants.xml#type_38651;lemma_4133;VRB;high;Relativsatz 'die ich von herzen minne': 1. Sg. Praes. des Verbs minnen.;daz ich die maget edele mit ougen müge gesehen , / die ich von herzen **minne** und lange hân getân ? / diu ist mir vil vremde : des muoz ich dicke trûric stân . >;herzen;NOM
FLG1.tei.xml;FLG1_4124120320_2;minne;;ANNOTATE;;ja;;VRB;;lexicon.xml#lemma_4133;;variants.xml#type_38651;lemma_4133;VRB;high;1. Sg. Praes. mit ich und Akkusativobjekt: mine viende minne ich.;min lieber . mine irdensche frunt minne ich in einer himmelscher geselleschaft und mine viende **minne** ich in einem heiligen jamer nach ir selekeit . got hat alles dinges genuog ,;viende;NOM
OVG.tei.xml;OVG_1800700_2;minne;18007;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;in ir minne ric: Genitivattribut zu ric (Fessel der Liebe).;si begund in ziehen / in ir **minne** ric . / manic senlicher blic;ir;(ohne)
UVL.tei.xml;UVL_270200100_3;minne;1;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Genitivattribut werder wibe davor, Objekt zu wil.;dem got vil êren hât gegeben . / swer werder wîbe **minne** wil / unde ir gruoz verdienen , der sî hôchgemuot ,;wîbe;NOM
FLG1.tei.xml;FLG1_6238300020_3;minne;;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Artikel, Adjektiv, Genitivattribut: die luter gottes minne hat disú ding.;die luter gottes **minne** hat disú ding an ir : das man also eintrachtig si mit gotte , swas;gottes;NOM
TA.tei.xml;TA_31101_4;minne;101;ANNOTATE;;ja;;NOM;;lexicon.xml#lemma_4130;;variants.xml#type_14385;lemma_4130;NOM;high;Possessiv 'ir', Subjekt von 'twinget mir'.;got lône ir alles guotes / sô twinget mir ir **minne** / was ist , das si mir tuot;ir;(ohne)
