folder,file,ext,kategorie,bytes,geaendert
ERLEDIGT,Hans von Bühelv Dyocl.doc,.doc,text,1168384,2013-02-10
ERLEDIGT,Heinrich Münsinger.doc,.doc,text,54784,2006-12-29
ERLEDIGT,Helmaspergersche Notariatsinstrument.doc,.doc,text,47104,2006-12-31
ERLEDIGT,HNI.txt,.txt,text,10513,2013-02-10
ERLEDIGT,Hospitalregel Eichstätt.doc,.doc,text,72704,2007-01-02
ERLEDIGT,Hugo-von-Montfort_EdHofmeister.pdf,.pdf,pdf,1636900,2016-11-11
ERLEDIGT,HvMONTFORT.txt,.txt,text,173677,2010-03-12
ERLEDIGT,Lamprecht von R. Wiegand.doc,.doc,text,39936,2010-02-13
ERLEDIGT,Lamprecht von Regensbg.doc,.doc,text,53391,2010-03-05
ERLEDIGT,Lamprecht von Regensbg.pdf,.pdf,pdf,418395,2010-02-13
ERLEDIGT,LCH.txt,.txt,text,93295,2013-02-10
ERLEDIGT,Leiden Christi.doc,.doc,text,107520,2013-02-20
ERLEDIGT,LUU.txt,.txt,text,127517,2013-03-14
ERLEDIGT,Lyrik-Corpus Info.doc,.doc,text,40448,2013-10-29
ERLEDIGT,Lyrik-Corpus MHDBDB.doc,.doc,text,39936,2011-01-26
ERLEDIGT,mai und beaflor.rtf,.rtf,text,1437442,2006-05-17
ERLEDIGT,Meister Albrant Rossarzneibuch.doc,.doc,text,46080,2006-11-06
ERLEDIGT,MHM.txt,.txt,text,7186,2011-05-24
ERLEDIGT,Minnereden.doc,.doc,text,693248,2013-02-18
ERLEDIGT,Moench_geistliche_Lieder.doc,.doc,text,414720,2004-05-10
ERLEDIGT,Moench_weltliche_Lieder.doc,.doc,text,209408,2004-05-10
ERLEDIGT,MR1.txt,.txt,text,492984,2016-02-27
ERLEDIGT,MR2.doc,.doc,text,770048,2015-06-25
ERLEDIGT,MR2.txt,.txt,text,475707,2015-12-07
ERLEDIGT,MSG-Endfassg.doc,.doc,text,483328,2004-06-07
ERLEDIGT,MSP.txt,.txt,text,33753,2013-03-13
ERLEDIGT,MSW-Endfassg.dot,.dot,text,315392,2004-06-07
ERLEDIGT,MvS gL.doc,.doc,text,414720,2004-02-19
ERLEDIGT,MvS wL.doc,.doc,text,209408,2004-02-19
ERLEDIGT,MWE.txt,.txt,text,13289,2002-06-17
ERLEDIGT,MWE1.txt,.txt,text,13602,2002-06-27
ERLEDIGT,Mönch von Heilsbronn.txt,.txt,text,71978,2006-12-01
ERLEDIGT,NAR.txt,.txt,text,405679,2013-06-22
ERLEDIGT,Narrenschiff.doc,.doc,text,614400,2013-06-22
ERLEDIGT,neidhart-1.doc,.doc,text,736256,2009-02-04
ERLEDIGT,NLA.txt,.txt,text,546164,2015-07-16
ERLEDIGT,NST.txt,.txt,text,4093,2013-03-14
ERLEDIGT,OsvoWo.doc,.doc,text,1026560,2004-08-20
ERLEDIGT,Oswald von Wolkenstein.doc,.doc,text,706048,2004-05-10
ERLEDIGT,OVB.txt.bak,.bak,text,11785,2009-08-14
ERLEDIGT,OVW-1_08.doc,.doc,text,686592,2008-11-17
ERLEDIGT,OvW.doc,.doc,text,1032192,2008-07-21
ERLEDIGT,OvW.txt,.txt,text,266182,2004-08-11
ERLEDIGT,OvW.zip,.zip,archiv,221571,2004-09-15
ERLEDIGT,Probebestand Herzogenburg.doc,.doc,text,218624,2006-06-12
ERLEDIGT,PUC_korr_12_3_2013.txt,.txt,text,615521,2013-03-13
ERLEDIGT,REG.txt,.txt,text,1178,2013-03-13
ERLEDIGT,Reimchronik der Stadt Cöln.doc,.doc,text,9569792,2013-01-11
ERLEDIGT,Reinfrid von Braunschweig.pdf,.pdf,pdf,13101657,2013-02-05
ERLEDIGT,RVBR-backup.doc,.doc,text,2183680,2014-10-22
ERLEDIGT,RVBR-ohneLinecode.txt,.txt,text,804695,2015-11-24
ERLEDIGT,RVBR.txt,.txt,text,1357233,2014-10-23
ERLEDIGT,SBF.txt,.txt,text,2598,2013-09-27
ERLEDIGT,Sebastian Brant Narrenschiff.doc,.doc,text,615936,2013-02-20
ERLEDIGT,TANN.txt,.txt,text,22796,2013-01-18
ERLEDIGT,TUN.txt,.txt,text,97367,2013-06-03
ERLEDIGT,Tundalus.txt,.txt,text,74075,2013-01-11
ERLEDIGT,Tutsch-kronik+Abriss--Metadaten.txt,.txt,text,2732,2012-09-01
ERLEDIGT,Tutsch-kronik-Metadaten.txt,.txt,text,896,2012-08-30
ERLEDIGT,Tutsch_kronik_txt_1.txt,.txt,text,417126,2012-08-21
ERLEDIGT,Tutsch_kronik_txt_3_Ueberschr.txt,.txt,text,17240,2012-08-27
ERLEDIGT,Ulrich v. Winterstetten.doc,.doc,text,22528,2005-03-31
ERLEDIGT,Vita_Caroli_dt_gesamt (1).txt,.txt,text,86222,2012-11-23
ERLEDIGT,Vita_Caroli_dt_gesamt.txt,.txt,text,86222,2012-11-22
ERLEDIGT,Vita_Caroli_dt_gesamt_linecode_mit_tags.txt,.txt,text,123749,2012-12-11
ERLEDIGT,Vita_Caroli_dt_gesamt_linecode_TEST.txt,.txt,text,123750,2012-12-06
ERLEDIGT,Vita_Caroli_dt_ohne_Ueberschriften.txt,.txt,text,85887,2012-11-22
ERLEDIGT,Vita_Caroli_dt_Ueberschriften.txt,.txt,text,378,2012-11-23
ERLEDIGT,Vita_Caroli_Metadata.txt,.txt,text,2200,2012-12-11
ERLEDIGT,Vita_Caroli_Namen.txt,.txt,text,4714,2012-12-11
ERLEDIGT,VTC_neu.txt,.txt,text,123171,2013-03-13
ERLEDIGT,VUA.txt,.txt,text,60938,2013-02-11
ERLEDIGT,W18WzSZz.htm.part,.part,text,29614,2009-03-20
ERLEDIGT,WaltherAnhangOhneCodes.rtf,.rtf,text,82468,2003-11-13
ERLEDIGT,WaltherHaupttext.txt,.txt,text,259259,2004-07-16
ERLEDIGT,WaltherHaupttext1.txt,.txt,text,259186,2004-07-30
ERLEDIGT,WaltherHaupttext2.txt,.txt,text,258513,2004-07-30
ERLEDIGT,WaltherHaupttext3.txt,.txt,text,258417,2004-08-09
ERLEDIGT,WaltherHaupttext3.zip,.zip,archiv,83050,2004-10-29
ERLEDIGT,WaltherHaupttext_cn.txt,.txt,text,14034,2004-06-21
ERLEDIGT,WaltherHaupttextOhneCodes.rtf,.rtf,text,422913,2004-05-06
ERLEDIGT,WaltherLeich.txt,.txt,text,9043,2003-11-18
ERLEDIGT,WVV-Code.doc,.doc,text,23040,2004-08-03
ERLEDIGT/Alte Texte,AC2 - Bibl.doc,.doc,text,27648,2009-12-14
ERLEDIGT/Alte Texte,AC2.doc,.doc,text,863728,2009-12-14
ERLEDIGT/Alte Texte,AC2.txt,.txt,text,85455,2009-12-18
ERLEDIGT/Alte Texte,AC3-new.txt,.txt,text,91589,2009-12-15
ERLEDIGT/Alte Texte,AC3.txt,.txt,text,91588,2009-12-15
ERLEDIGT/Alte Texte,Ackermann aus Böhmen.doc,.doc,text,88576,2009-11-04
ERLEDIGT/Alte Texte,ADP.doc,.doc,text,919040,2007-01-13
ERLEDIGT/Alte Texte,ADP.txt,.txt,text,721182,2007-01-19
ERLEDIGT/Alte Texte,AKKON.TXT,.txt,text,427444,2008-09-21
ERLEDIGT/Alte Texte,AUP.doc,.doc,text,80302,2010-12-23
ERLEDIGT/Alte Texte,AUP.txt,.txt,text,27152,2010-12-23
ERLEDIGT/Alte Texte,BAB - 0001.doc,.doc,text,7202,2009-12-29
ERLEDIGT/Alte Texte,BAB - 0002.doc,.doc,text,8343,2009-12-29
ERLEDIGT/Alte Texte,BAB - 0003.doc,.doc,text,8613,2009-12-29
ERLEDIGT/Alte Texte,BAB - 0004.doc,.doc,text,8539,2009-12-29
ERLEDIGT/Alte Texte,BAB - 0005.doc,.doc,text,9138,2009-12-29
ERLEDIGT/Alte Texte,BAB - 0006.doc,.doc,text,8663,2009-12-29
ERLEDIGT/Alte Texte,BAB - 0007.doc,.doc,text,13984,2009-12-29
ERLEDIGT/Alte Texte,BAB - 0008.doc,.doc,text,2940,2009-12-29
ERLEDIGT/Alte Texte,BAB.txt,.txt,text,13253,2010-01-03
ERLEDIGT/Alte Texte,Backup of ADP.wbk,.wbk,text,721184,2007-01-18
ERLEDIGT/Alte Texte,Backup of APO.wbk,.wbk,text,103689,2007-10-12
ERLEDIGT/Alte Texte,Backup of Apollonius.wbk,.wbk,text,263680,2006-12-29
ERLEDIGT/Alte Texte,Backup of Buch von Troja.wbk,.wbk,text,93673,2006-12-01
ERLEDIGT/Alte Texte,Backup of Johannes Rothe Ritterspiegel.wbk,.wbk,text,327168,2006-12-31
ERLEDIGT/Alte Texte,Backup of Predigten1.wbk,.wbk,text,609851,2006-11-15
ERLEDIGT/Alte Texte,Backup of RSP.wbk,.wbk,text,132312,2007-01-12
ERLEDIGT/Alte Texte,BAD - 0001.doc,.doc,text,7337,2009-12-29
ERLEDIGT/Alte Texte,BAD - 0002.doc,.doc,text,9048,2009-12-29
ERLEDIGT/Alte Texte,BAD - 0003.doc,.doc,text,8646,2009-12-29
ERLEDIGT/Alte Texte,BAD - 0004.doc,.doc,text,9106,2009-12-29
ERLEDIGT/Alte Texte,BAD - 0005.doc,.doc,text,8514,2009-12-29
ERLEDIGT/Alte Texte,BAD - 0006.doc,.doc,text,2409,2009-12-29
ERLEDIGT/Alte Texte,BAD.txt,.txt,text,9104,2010-01-03
ERLEDIGT/Alte Texte,BAR_export.txt,.txt,text,470191,2016-03-18
ERLEDIGT/Alte Texte,Bruno von H2.ashx,.ashx,text,1162610,2009-03-20
ERLEDIGT/Alte Texte,Bruno von H3.ashx,.ashx,text,1136082,2009-03-20
ERLEDIGT/Alte Texte,Bruno von H4.ashx,.ashx,text,1130936,2009-03-20
ERLEDIGT/Alte Texte,Brunwart von O3.ashx,.ashx,text,1120384,2009-03-20
ERLEDIGT/Alte Texte,Brunwart von O4.ashx,.ashx,text,1130936,2009-03-20
ERLEDIGT/Alte Texte,BST.doc,.doc,text,28672,2011-06-08
ERLEDIGT/Alte Texte,BST.txt,.txt,text,3689,2011-06-13
ERLEDIGT/Alte Texte,Buochein0001.tif,.tif,scan,1136404,2009-03-20
ERLEDIGT/Alte Texte,Buochein0002.tif,.tif,scan,1113332,2009-03-20
ERLEDIGT/Alte Texte,Buochein0003.tif,.tif,scan,1131578,2009-03-20
ERLEDIGT/Alte Texte,cron-teil2-knapp-einsch.doc,.doc,text,27648,2010-09-30
ERLEDIGT/Alte Texte,Crone-TEIL-2.TEX,.tex,text,759831,2009-10-05
ERLEDIGT/Alte Texte,crone-teil1-Endfssg.tex,.tex,text,1292814,2009-10-05
ERLEDIGT/Alte Texte,Crone-test.txt,.txt,text,794,2006-12-03
ERLEDIGT/Alte Texte,Crone.txt,.txt,text,1443281,2010-09-30
ERLEDIGT/Alte Texte,crone1.txt,.txt,text,580461,2010-09-27
ERLEDIGT/Alte Texte,Crone2.txt,.txt,text,860689,2010-09-30
ERLEDIGT/Alte Texte,DAH_export.txt,.txt,text,43341,2016-03-18
ERLEDIGT/Alte Texte,DBW.doc,.doc,text,30720,2010-12-23
ERLEDIGT/Alte Texte,DBW.txt,.txt,text,7843,2011-01-23
ERLEDIGT/Alte Texte,DDL.doc,.doc,text,43008,2011-06-08
ERLEDIGT/Alte Texte,DDL.txt,.txt,text,12308,2011-06-13
ERLEDIGT/Alte Texte,DDM.doc,.doc,text,43756,2010-12-23
ERLEDIGT/Alte Texte,DDM.txt,.txt,text,20313,2011-02-23
ERLEDIGT/Alte Texte,DDS.txt,.txt,text,3253,2011-05-24
ERLEDIGT/Alte Texte,DFE.doc,.doc,text,25426,2010-12-23
ERLEDIGT/Alte Texte,DFE.txt,.txt,text,15039,2011-02-02
ERLEDIGT/Alte Texte,DFS.doc,.doc,text,21213,2010-12-23
ERLEDIGT/Alte Texte,DFS.txt,.txt,text,10690,2011-01-23
ERLEDIGT/Alte Texte,DFT.doc,.doc,text,168636,2010-12-23
ERLEDIGT/Alte Texte,DFT.txt,.txt,text,20219,2010-12-23
ERLEDIGT/Alte Texte,DGA.txt,.txt,text,2491,2011-05-24
ERLEDIGT/Alte Texte,DGM.doc,.doc,text,25088,2011-06-08
ERLEDIGT/Alte Texte,DGM.txt,.txt,text,2406,2011-06-13
ERLEDIGT/Alte Texte,DGS.doc,.doc,text,28672,2011-06-07
ERLEDIGT/Alte Texte,DGS.docx,.docx,text,5244,2011-06-07
ERLEDIGT/Alte Texte,DGS.txt,.txt,text,2577,2011-06-13
ERLEDIGT/Alte Texte,DIS.doc,.doc,text,28955,2010-12-23
ERLEDIGT/Alte Texte,DIS.txt,.txt,text,22235,2011-01-23
ERLEDIGT/Alte Texte,DKN.doc,.doc,text,26624,2011-06-08
ERLEDIGT/Alte Texte,DKN.txt,.txt,text,3226,2011-06-13
ERLEDIGT/Alte Texte,DL1-Iinfo-txt.doc,.doc,text,22528,2007-03-25
ERLEDIGT/Alte Texte,DL1-Info.doc,.doc,text,25600,2007-05-18
ERLEDIGT/Alte Texte,DL1.txt,.txt,text,197106,2007-05-18
ERLEDIGT/Alte Texte,DLF.doc,.doc,text,59133,2010-12-23
ERLEDIGT/Alte Texte,DLF.txt,.txt,text,28923,2011-02-02
ERLEDIGT/Alte Texte,DMN.doc,.doc,text,97075,2010-12-23
ERLEDIGT/Alte Texte,DMN.txt,.txt,text,26952,2011-02-23
ERLEDIGT/Alte Texte,DNT.txt,.txt,text,30773,2011-02-22
ERLEDIGT/Alte Texte,DRE.doc,.doc,text,43422,2010-12-23
ERLEDIGT/Alte Texte,DRE.txt,.txt,text,26546,2011-02-02
ERLEDIGT/Alte Texte,DSU.doc,.doc,text,30208,2011-06-08
ERLEDIGT/Alte Texte,DSU.txt,.txt,text,4650,2011-06-13
ERLEDIGT/Alte Texte,DSW.doc,.doc,text,31232,2011-06-08
ERLEDIGT/Alte Texte,DSW.txt,.txt,text,6220,2011-06-13
ERLEDIGT/Alte Texte,DUE.txt,.txt,text,2368,2011-05-24
ERLEDIGT/Alte Texte,DUM.doc,.doc,text,67132,2010-12-23
ERLEDIGT/Alte Texte,DUM.txt,.txt,text,38735,2011-02-02
ERLEDIGT/Alte Texte,DUR.txt,.txt,text,10166,2011-05-24
ERLEDIGT/Alte Texte,DWA.txt,.txt,text,31609,2011-05-24
ERLEDIGT/Alte Texte,DZB.doc,.doc,text,28160,2011-06-08
ERLEDIGT/Alte Texte,DZB.txt,.txt,text,4289,2011-06-13
ERLEDIGT/Alte Texte,EBW.txt,.txt,text,5975,2011-06-13
ERLEDIGT/Alte Texte,ER_export.txt,.txt,text,278815,2016-03-18
ERLEDIGT/Alte Texte,FGP.doc,.doc,text,45883,2010-12-23
ERLEDIGT/Alte Texte,FGP.txt,.txt,text,17122,2011-01-24
ERLEDIGT/Alte Texte,FRAN1.doc,.doc,text,177664,2010-02-05
ERLEDIGT/Alte Texte,FRAN1.txt,.txt,text,90696,2010-02-05
ERLEDIGT/Alte Texte,FUE.doc,.doc,text,31232,2011-05-01
ERLEDIGT/Alte Texte,FUE.txt,.txt,text,3973,2011-06-13
ERLEDIGT/Alte Texte,FWE.docx,.docx,text,5520,2011-04-30
ERLEDIGT/Alte Texte,FWE.txt,.txt,text,3777,2011-06-13
ERLEDIGT/Alte Texte,GEG.txt,.txt,text,4372,2011-05-24
ERLEDIGT/Alte Texte,GEORGR.doc,.doc,text,440832,2011-05-06
ERLEDIGT/Alte Texte,GER_export.txt,.txt,text,203348,2016-03-18
ERLEDIGT/Alte Texte,GR_export.txt,.txt,text,109828,2016-03-18
ERLEDIGT/Alte Texte,GSL.doc,.doc,text,37286,2010-12-23
ERLEDIGT/Alte Texte,GSL.txt,.txt,text,14601,2011-02-22
ERLEDIGT/Alte Texte,GVN.txt,.txt,text,92310,2011-05-24
ERLEDIGT/Alte Texte,Hans Mair Buch von Troja.doc,.doc,text,170496,2010-02-02
ERLEDIGT/Alte Texte,HEI.doc,.doc,text,247341,2010-01-02
ERLEDIGT/Alte Texte,HEI.txt,.txt,text,93163,2010-01-03
ERLEDIGT/Alte Texte,HPF.doc,.doc,text,26624,2011-06-08
ERLEDIGT/Alte Texte,HPF.txt,.txt,text,3166,2011-06-13
ERLEDIGT/Alte Texte,HUG.txt,.txt,text,286266,2010-11-15
ERLEDIGT/Alte Texte,HUG1.txt,.txt,text,8222,2010-11-11
ERLEDIGT/Alte Texte,Hugo von MONTFORT.txt,.txt,text,181567,2010-10-15
ERLEDIGT/Alte Texte,IW_export.txt,.txt,text,231368,2016-03-18
ERLEDIGT/Alte Texte,Johannes Rothe Ritterspiegel.doc,.doc,text,173568,2007-01-12
ERLEDIGT/Alte Texte,JUD.doc,.doc,text,362835,2011-04-02
ERLEDIGT/Alte Texte,JUD.txt,.txt,text,93758,2011-04-03
ERLEDIGT/Alte Texte,Jüngstes Gericht-Frau Ava.doc,.doc,text,32256,2007-01-02
ERLEDIGT/Alte Texte,Konrad von Megenberg.txt,.txt,text,113767,2006-12-01
ERLEDIGT/Alte Texte,Krone-Brief.txt,.txt,text,4588,2001-06-29
ERLEDIGT/Alte Texte,Krone-fragm.txt,.txt,text,15872,2001-06-29
ERLEDIGT/Alte Texte,Krone1-1.txt,.txt,text,5064,2001-06-29
ERLEDIGT/Alte Texte,Krone1.txt,.txt,text,1198420,2006-11-15
ERLEDIGT/Alte Texte,Krone2-1.txt,.txt,text,5062,2001-06-29
ERLEDIGT/Alte Texte,Krone2.txt,.txt,text,780323,2001-11-05
ERLEDIGT/Alte Texte,KVM.doc,.doc,text,1668096,2010-10-15
ERLEDIGT/Alte Texte,KVM.txt,.txt,text,128154,2006-11-30
ERLEDIGT/Alte Texte,KVM1.doc,.doc,text,187392,2006-11-29
ERLEDIGT/Alte Texte,KVM1.txt,.txt,text,112930,2006-11-29
ERLEDIGT/Alte Texte,KVM2.txt,.txt,text,2168,2006-11-30
ERLEDIGT/Alte Texte,Kölner fechtbuch[1].doc,.doc,text,51712,2010-04-20
ERLEDIGT/Alte Texte,Kölner fechtbuch[1].txt,.txt,text,25500,2010-10-30
ERLEDIGT/Alte Texte,MaiundBeaflor-1.doc,.doc,text,1631842,2008-04-24
ERLEDIGT/Alte Texte,MaiundBeaflor-1.pdf,.pdf,pdf,683664,2008-04-24
ERLEDIGT/Alte Texte,MaiundBeaflor.txt,.txt,text,335439,2008-04-24
ERLEDIGT/Alte Texte,MLB.doc,.doc,text,186741,2010-12-23
ERLEDIGT/Alte Texte,MLB.txt,.txt,text,17968,2010-12-23
ERLEDIGT/Alte Texte,OSW1.doc.docx,.docx,text,135803,2011-03-25
ERLEDIGT/Alte Texte,OSW1.doc.txt,.txt,text,189948,2011-04-14
ERLEDIGT/Alte Texte,OVG.txt,.txt,text,4558795,2008-10-10
ERLEDIGT/Alte Texte,OVG8 insert.txt,.txt,text,4440,2008-09-24
ERLEDIGT/Alte Texte,OvW Digital[1].doc,.doc,text,114176,2010-10-14
ERLEDIGT/Alte Texte,PIK.doc,.doc,text,30208,2011-06-08
ERLEDIGT/Alte Texte,PIK.txt,.txt,text,5539,2011-06-13
ERLEDIGT/Alte Texte,PMS.doc,.doc,text,39424,2011-06-08
ERLEDIGT/Alte Texte,PMS.txt,.txt,text,10235,2011-06-13
ERLEDIGT/Alte Texte,PUT.txt,.txt,text,23956,2010-01-07
ERLEDIGT/Alte Texte,RBE.txt,.txt,text,20812,2010-01-10
ERLEDIGT/Alte Texte,RBE1.txt,.txt,text,13939,2010-01-08
ERLEDIGT/Alte Texte,RDL.doc,.doc,text,61610,2010-12-23
ERLEDIGT/Alte Texte,RDL.txt,.txt,text,26603,2011-04-13
ERLEDIGT/Alte Texte,RDL1.doc.docx,.docx,text,31455,2011-04-13
ERLEDIGT/Alte Texte,RF1.txt,.txt,text,67554,2011-09-15
ERLEDIGT/Alte Texte,RUZ.doc,.doc,text,38241,2010-12-23
ERLEDIGT/Alte Texte,RUZ.txt,.txt,text,20207,2011-02-23
ERLEDIGT/Alte Texte,SBV.doc,.doc,text,54541,2011-06-13
ERLEDIGT/Alte Texte,SBV.txt,.txt,text,3736,2011-06-13
ERLEDIGT/Alte Texte,SFL.doc,.doc,text,418816,2010-03-03
ERLEDIGT/Alte Texte,SFL.txt,.txt,text,249850,2010-03-03
ERLEDIGT/Alte Texte,SFL.txt.doc,.doc,text,500224,2010-03-03
ERLEDIGT/Alte Texte,SFL0.txt,.txt,text,147840,2010-02-19
ERLEDIGT/Alte Texte,SFL1.txt,.txt,text,247148,2010-02-19
ERLEDIGT/Alte Texte,SKS1.doc,.doc,text,8076,2011-06-09
ERLEDIGT/Alte Texte,SKS10.doc,.doc,text,62081,2011-06-08
ERLEDIGT/Alte Texte,SKS11.doc,.doc,text,9242,2011-06-08
ERLEDIGT/Alte Texte,SKS12.doc,.doc,text,26273,2011-06-08
ERLEDIGT/Alte Texte,SKS13.doc,.doc,text,32852,2011-06-08
ERLEDIGT/Alte Texte,SKS14.doc,.doc,text,37099,2011-06-08
ERLEDIGT/Alte Texte,SKS3.doc.docx,.docx,text,5889,2011-04-30
ERLEDIGT/Alte Texte,SKS5.doc,.doc,text,28601,2011-06-08
ERLEDIGT/Alte Texte,SKS6.doc,.doc,text,17112,2011-06-08
ERLEDIGT/Alte Texte,SKS7.doc,.doc,text,21463,2011-06-08
ERLEDIGT/Alte Texte,SKS8.doc,.doc,text,18042,2011-06-08
ERLEDIGT/Alte Texte,ST-I1.doc,.doc,text,273786,2009-06-10
ERLEDIGT/Alte Texte,ST2.doc,.doc,text,7335470,2009-06-23
ERLEDIGT/Alte Texte,ST3.doc,.doc,text,655604,2009-06-29
ERLEDIGT/Alte Texte,ST4.doc,.doc,text,1574423,2009-07-07
ERLEDIGT/Alte Texte,ST5.doc,.doc,text,3037153,2009-07-12
ERLEDIGT/Alte Texte,Stricker-I1.doc,.doc,text,96944,2009-06-10
ERLEDIGT/Alte Texte,SVP.txt,.txt,text,34290,2010-01-29
ERLEDIGT/Alte Texte,SVP1.txt,.txt,text,21998,2010-01-29
ERLEDIGT/Alte Texte,Syon1.png,.png,scan,68819,2010-03-25
ERLEDIGT/Alte Texte,VOR.doc,.doc,text,23040,2011-06-09
ERLEDIGT/Alte Texte,VOR.txt,.txt,text,941,2011-06-09
ERLEDIGT/Alte Texte,WAF.doc,.doc,text,73431,2011-06-08
ERLEDIGT/Alte Texte,WAF.txt,.txt,text,5229,2011-06-13
ERLEDIGT/Alte Texte,ZWB.docx,.docx,text,5793,2011-05-09
ERLEDIGT/Alte Texte,ZWB.txt,.txt,text,4884,2011-06-13
ERLEDIGT/Alte Texte,ZWR.doc,.doc,text,24064,2011-06-08
ERLEDIGT/Alte Texte,ZWR.txt,.txt,text,1249,2011-06-13
ERLEDIGT/Alte Texte/Carl von Kraus,Anhalte0002.ashx,.ashx,text,66721,2010-12-23
ERLEDIGT/Alte Texte/Carl von Kraus,BRH (1).txt,.txt,text,6081,2011-06-21
ERLEDIGT/Alte Texte/Carl von Kraus,BUH (1).txt,.txt,text,37202,2011-06-11
ERLEDIGT/Alte Texte/Carl von Kraus,BVL (1).txt,.txt,text,4463,2011-06-10
ERLEDIGT/Alte Texte/Carl von Kraus,BVO (1).txt,.txt,text,6073,2011-06-09
ERLEDIGT/Alte Texte/Carl von Kraus,CKI (1).txt,.txt,text,12197,2011-06-09
ERLEDIGT/Alte Texte/Carl von Kraus,DDS (1).txt,.txt,text,3354,2011-06-09
ERLEDIGT/Alte Texte/Carl von Kraus,DGA (1).txt,.txt,text,2576,2011-06-09
ERLEDIGT/Alte Texte/Carl von Kraus,DUE (1).txt,.txt,text,2468,2011-06-09
ERLEDIGT/Alte Texte/Carl von Kraus,DUR (1).txt,.txt,text,10501,2011-06-09
ERLEDIGT/Alte Texte/Carl von Kraus,DWA (1).txt,.txt,text,32374,2011-06-12
ERLEDIGT/Alte Texte/Carl von Kraus,FVL (1).txt,.txt,text,2871,2011-06-09
ERLEDIGT/Alte Texte/Carl von Kraus,GEG (1).txt,.txt,text,4520,2011-06-09
ERLEDIGT/Alte Texte/Carl von Kraus,GVE (1).txt,.txt,text,3630,2011-06-09
ERLEDIGT/Alte Texte/Carl von Kraus,GVN (1).txt,.txt,text,94881,2011-06-27
ERLEDIGT/Alte Texte/Carl von Kraus,GVS (1).txt,.txt,text,4856,2011-07-29
ERLEDIGT/Alte Texte/Carl von Kraus,GVV (1).txt,.txt,text,18350,2011-07-27
ERLEDIGT/Alte Texte/Carl von Kraus,GVV.txt,.txt,text,17534,2011-07-29
ERLEDIGT/Alte Texte/Carl von Kraus,HAW (1).txt,.txt,text,8874,2011-07-29
ERLEDIGT/Alte Texte/Carl von Kraus,HDM (1).txt,.txt,text,4176,2011-07-29
ERLEDIGT/Alte Texte/Carl von Kraus,HHP (1).txt,.txt,text,4338,2011-07-29
ERLEDIGT/Alte Texte/Carl von Kraus,HHW (1).txt,.txt,text,9227,2011-07-29
ERLEDIGT/Alte Texte/Carl von Kraus,HMU (1).txt,.txt,text,755,2011-07-29
ERLEDIGT/Alte Texte/Carl von Kraus,HSB (1).txt,.txt,text,2599,2011-07-29
ERLEDIGT/Alte Texte/Carl von Kraus,HVM(1).txt,.txt,text,7409,2011-07-30
ERLEDIGT/Alte Texte/Carl von Kraus,HVM.txt,.txt,text,7409,2011-07-30
ERLEDIGT/Alte Texte/Carl von Kraus,HVS (1).txt,.txt,text,21322,2011-07-29
ERLEDIGT/Alte Texte/Carl von Kraus,HVW (1).txt,.txt,text,6843,2011-07-29
